Ontology,Status
micro,Failed
biopax,Failed
gsso,Failed
nomen,No Output
pso,No Output
peco,No Output
ppo,No Output
cio,No Output
ohpi,No Output
hom,No Output
psdo,No Output
ornaseq,No Output
obib,No Output
ohd,No Output
cob,No Output
geo,No Output
pdro,No Output
fao,No Output
mco,No Output
obcs,No Output
eco,No Output
proco,No Output
po,No Output
ecosim,No Output
rbo,No Output
duo,No Output
cro,No Output
omo,No Output
ogsf,No Output
ico,No Output
iceo,No Output
hsapdv,No Output
ohmi,No Output
ecto,No Output
gecko,No Output
phipo,No Output
bco,No Output
mop,No Output
pco,No Output
doid,No Output
ovae,No Output
