unique_id,label,all_evidence,is_process,is_quality,is_chemical_entity,is_biome,is_environmental_material,is_aquatic_biome,is_terrestrial_biome,obsolete,historical_permissible_values_count,NMDC_soil_count,NCBI_mims_soil_trusting_CURIe_count,NCBI_mims_soil_trusting_labels_count,GOLD_env_terr_soil_count,historical_permissible_values_frequency,NMDC_soil_frequency,NCBI_mims_soil_trusting_CURIe_frequency,NCBI_mims_soil_trusting_labels_frequency,GOLD_env_terr_soil_frequency,CJM_Vote,CJM_Comments,MAM vote,MAM comments,MLS_vote,MLS_comments,NMW_vote,NMW_comment,SM_vote,SM_comment,Yes = 1 No = -1 Maybe = 0
CHEBI:15377,water,0.001097187465,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,235,0,0,0,0,0.00438874986,0,,,0,,0,,,,0,,0
CHEBI:18248,iron atom,0.00000467,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,0,0,0,0,0.0000187,0,,,0,,0,,,,0,,0
CHEBI:26020,phosphate,0.0000187,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,4,0,0,0,0,0.0000747,0,,,0,,0,,,,0,,0
CHEBI:46662,mineral,0.0003735106264,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,80,0,0,0,0,0.001494042506,0,,,0,,0,,,,0,,0
ENVO:00000003,mine tailing,0.001227916184,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,263,0,0,0,0,0.004911664737,0,,,-1,not soil,0,what is this?,,,1,,0
ENVO:00000035,marsh,0.0002661263213,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,57,0,0,0,0,0.001064505285,0,,,0,,0,,,,0,,0
ENVO:00000044,peatland,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00000064,road,0.0000374,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,8,0,0,0,0,0.0001494042506,0,,,0,,0,,,,0,,0
ENVO:00000077,agricultural ecosystem,0.0009477832144,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,203,0,0,0,0,0.003791132858,0,,,0,,0,,,,0,,0
ENVO:00000078,farm,0.0008332437372,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,31,0,0,0,0,0.003332974949,0,0,,,0,,0,,,,0,,0
ENVO:00000111,forested area,0.0005360490904,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,9,63,0,0,0,0.0009676378884,0.001176558473,0,,,0,,0,,,,0,,0
ENVO:00000114,agricultural field,0.001143876293,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,245,0,0,0,0,0.004575505173,0,,,0,,0,,,,0,,0
ENVO:00000115,orchard,0.0000374,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,8,0,0,0,0,0.0001494042506,0,,,0,,0,,,,0,,0
ENVO:00000134,permafrost,0.0704857683,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,94,239,0,0,0,0.001755499944,0.2801875733,,,1,,0,the sample is permafrost or surrounded by permafrost?,,,1,,2
ENVO:00000190,abyssal feature,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00000232,fen,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00000243,freshwater wetland ecosystem,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00000266,pasture,0.001542303524,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,48,54,0,0,0,0.005160735405,0.001008478691,0,,,0,,0,,,,0,,0
ENVO:00000300,scrubland area,0.0007843723154,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,168,0,0,0,0,0.003137489262,0,,,0,,0,,,,0,,0
ENVO:00000486,shoreline,0.003709278572,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,138,0,0,0,0,0.01483711429,0,0,,,0,,0,,,,0,,0
ENVO:00001048,,0.0004031824535,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,15,0,0,0,0,0.001612729814,0,0,,,0,,0,,,,0,,0
ENVO:00001995,rock,0.001213299132,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,17,162,0,0,0,0.001827760456,0.003025436074,0,,,-1,not soil,-1,rock is not soil,,,-1, not soil?,-3
ENVO:00001998,soil,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,5292,9301,53546,853,0,1,1,1,1,,,1,,-1,,,,0,think we need to decide if we're going to enumerate all the kinds of soil or only have a grouping term to annotate to here.,0
ENVO:00002005,air,0.00007,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,15,0,0,0,0,0.0002801329698,0,,,-1,not soil,-1,not soil,,,-1,not soil,-3
ENVO:00002007,sediment,0.001983926831,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,25,281,0,0,0,0.002687883023,0.005247824301,0,,,0,,-1,sediment,,,0,,-1
ENVO:00002034,biofilm,0.001487411397,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,47,48,0,0,0,0.005053220084,0.0008964255033,0,,,0,,0,,,,0,,0
ENVO:00002040,wood,0.001014064685,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,28,56,0,0,0,0.003010428986,0.001045829754,0,,,-1,not soil,-1,not soil,,,-1,not soil,-3
