# curie_map:
#   ECOSIM: http://w3id.org/sssom/unknown_prefix/ecosim/
#   ECOSIMCONCEPT: http://w3id.org/sssom/unknown_prefix/ecosimconcept/
#   ENVO: http://purl.obolibrary.org/obo/ENVO_
#   PO: http://purl.obolibrary.org/obo/PO_
#   obo: http://w3id.org/sssom/unknown_prefix/obo/
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/c0469027-4071-4dbd-9d4f-5ae5066e3116
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
ECOSIM:ALTZ	altitude	skos:closeMatch	ECOSIMCONCEPT:Altitude	Altitude	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	altitude
ECOSIM:ARLFZ	branch leaf area	skos:closeMatch	obo:ECOSIM#_CanopyBranchLeafA_pft	branch leaf area	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	area branch leaf
ECOSIM:ARSTX	total canopy stem area	skos:closeMatch	ECOSIM:StemAreag	total canopy stem area	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	area canopy stem total
ECOSIM:ATCA	mean annual air temperature	skos:closeMatch	ECOSIM:TairKClimMean	mean annual air temperature	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	air annual mean temperature
ECOSIM:ATCS	mean annual soil temperature	skos:closeMatch	ECOSIM:ATKS	mean annual soil temperature	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	annual mean soil temperature
ECOSIM:BndlResistCanG	canopy boundary layer resistance	skos:closeMatch	ECOSIM:CanPbndlResist	canopy boundary layer resistance	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	boundary canopy layer resistance
ECOSIM:CCO2EI	initial atmospheric CO2 concentration	skos:closeMatch	ECOSIM:CO2EI	initial atmospheric CO2 concentration	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	atmospheric co2 concentration initial
ECOSIM:CER	soil detachment/deposition	skos:closeMatch	ECOSIM:XER	soil detachment/deposition	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	detachment/deposition soil
ECOSIM:CKAQ	surface irrigation K concentration	skos:closeMatch	ECOSIM:CKASQ	surface irrigation K concentration	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	concentration irrigation k surface
ECOSIM:CKAR	precipitation K concentration	skos:closeMatch	ECOSIM:CKASR	precipitation K concentration	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	concentration k precipitation
ECOSIM:CKASU	subsurface irrigation K concentration	skos:closeMatch	ECOSIM:CNAU	subsurface irrigation K concentration	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	concentration irrigation k subsurface
ECOSIM:CNETX	total net canopy CO2 exchange	skos:closeMatch	ECOSIM:TCNET	total canopy net CO2 exchange	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	canopy co2 exchange net total
ECOSIM:CO2B	bundle sheath nonstructural C3 content in C4 photosynthesis	skos:closeMatch	ECOSIM:HCOB	bundle sheath nonstructural C3 content in C4 photosynthesis	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	bundle c3 c4 content in nonstructural photosynthesis sheath
ECOSIM:CSTRQ	surface irrigation ion strength	skos:closeMatch	ECOSIM:CSTRR	surface irrigation ion strength	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	ion irrigation strength surface
ECOSIM:CanPHeight4WatUptake	canopy height	skos:closeMatch	ECOSIM:CanopyHeight	canopy height	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	canopy height
ECOSIM:CanPHeight4WatUptake	canopy height	skos:closeMatch	ECOSIM:GridMaxCanopyHeight	canopy height	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	canopy height
ECOSIM:CanopyHeight	canopy height	skos:closeMatch	ECOSIM:GridMaxCanopyHeight	canopy height	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	canopy height
ECOSIM:DH	number of EW grid cells	skos:closeMatch	ECOSIM:DV	number of EW grid cells	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	cells ew grid number
ECOSIM:EPOOLN	root layer nonstructural element	skos:closeMatch	ECOSIM:EPOOLR	root layer nonstructural element	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	element layer nonstructural root
ECOSIM:ESNC	plant litterfall element	skos:closeMatch	ECOSIM:HESNC	plant element litterfall	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	element litterfall plant
ECOSIM:F1PR	F1PR	skos:closeMatch	ECOSIMCONCEPT:F1PR	F1PR	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	f1pr
ECOSIM:FDBK4	down-regulation of C4 photosynthesis	skos:closeMatch	ECOSIM:FDBKX	down-regulation of C4 photosynthesis	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	c4 down-regulation photosynthesis
ECOSIM:FWatIrrigate2MicP	underground irrigation	skos:closeMatch	ECOSIM:IrrigSubsurf	underground irrigation	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	irrigation underground
ECOSIM:GSTGF	normalized node number during reproductive growth stages	skos:closeMatch	ECOSIM:TGSTGF	normalized node number during reproductive growth stages	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	during growth node normalized number reproductive stages
ECOSIM:GSTGI	normalized node number during vegetative growth stages	skos:closeMatch	ECOSIM:TGSTGI	normalized node number during vegetative growth stages	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	during growth node normalized number stages vegetative
ECOSIM:H2OVapDifscSno	water vapor diffusivity	skos:closeMatch	ECOSIM:VaporDiffusivityLitR	water vapor diffusivity	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	diffusivity vapor water
ECOSIM:H2OVapDifscSno	water vapor diffusivity	skos:closeMatch	ECOSIM:WGSGA	water vapor diffusivity	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	diffusivity vapor water
ECOSIM:H2OVapDifscSno	water vapor diffusivity	skos:closeMatch	ECOSIM:WGSGL	water vapor diffusivity	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	diffusivity vapor water
ECOSIM:HTNODE	internode height	skos:closeMatch	ECOSIM:HTNODX	internode height	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	height internode
ECOSIM:LWRadSky	sky longwave radiation	skos:closeMatch	ECOSIM:THSX	sky longwave radiation	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	longwave radiation sky
ECOSIM:MPa	MPa	skos:closeMatch	ECOSIM:Mpa	Mpa	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	mpa
ECOSIM:MaxCanPStomaResistH2O	maximum stomatal resistance to vapor	skos:closeMatch	ECOSIM:RSMX	maximum stomatal resistance to vapor	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	maximum resistance stomatal to vapor
ECOSIM:PPX	plant population	skos:closeMatch	ECOSIM:pftPlantPopulation	plant population	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	plant population
ECOSIM:PRECB	precipitation at ground surface used to calculate soil erosion	skos:closeMatch	ECOSIM:PRECD	precipitation at ground surface used to calculate soil erosion	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	at calculate erosion ground precipitation soil surface to used
ECOSIM:RN2BX	total root + microbial NO2 uptake band	skos:closeMatch	ECOSIM:RN2BY	total root + microbial NO2 uptake band	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	+ band microbial no2 root total uptake
ECOSIM:RN2G	microbial net N2 exchange	skos:closeMatch	ECOSIM:XN2GS	net microbial N2 exchange	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	exchange microbial n2 net
ECOSIM:RN2OX	total root + microbial N2O uptake	skos:closeMatch	ECOSIM:RN2OY	total root + microbial N2O uptake	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	+ microbial n2o root total uptake
ECOSIM:RN3BX	total root + microbial NO3 uptake band	skos:closeMatch	ECOSIM:RN3BY	total root + microbial NO3 uptake band	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	+ band microbial no3 root total uptake
ECOSIM:RNH4X	total root + microbial NH4 uptake non-band	skos:closeMatch	ECOSIM:RNH4Y	total root + microbial NH4 uptake non-band	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	+ microbial nh4 non-band root total uptake
ECOSIM:RNHBX	total root + microbial NH4 uptake band	skos:closeMatch	ECOSIM:RNHBY	total root + microbial NH4 uptake band	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	+ band microbial nh4 root total uptake
ECOSIM:RNO2X	total root + microbial NO2 uptake non-band	skos:closeMatch	ECOSIM:RNO2Y	total root + microbial NO2 uptake non-band	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	+ microbial no2 non-band root total uptake
ECOSIM:RNO3X	total root + microbial NO3 uptake non-band	skos:closeMatch	ECOSIM:RNO3Y	total root + microbial NO3 uptake non-band	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	+ microbial no3 non-band root total uptake
ECOSIM:ROQAX	total root + microbial acetate uptake	skos:closeMatch	ECOSIM:ROQAY	total root + microbial acetate uptake	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	+ acetate microbial root total uptake
ECOSIM:ROQCX	total root + microbial DOC uptake	skos:closeMatch	ECOSIM:ROQCY	total root + microbial DOC uptake	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	+ doc microbial root total uptake
ECOSIM:ROXYX	total root + microbial O2 uptake	skos:closeMatch	ECOSIM:ROXYY	total root + microbial O2 uptake	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	+ microbial o2 root total uptake
ECOSIM:RPO4X	total root + microbial PO4 uptake non-band	skos:closeMatch	ECOSIM:RPO4Y	total root + microbial PO4 uptake non-band	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	+ microbial non-band po4 root total uptake
ECOSIM:RPOBX	total root + microbial PO4 uptake band	skos:closeMatch	ECOSIM:RPOBY	total root + microbial PO4 uptake band	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	+ band microbial po4 root total uptake
ECOSIM:SL	slope	skos:closeMatch	ECOSIMCONCEPT:Slope	Slope	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	slope
ECOSIM:SL	slope	skos:closeMatch	ENVO:00002000	slope	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	slope
ECOSIM:SoilDetachability4Erosion1	soil detachment	skos:closeMatch	ECOSIMCONCEPT:SoilDetachment	Soil detachment	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	detachment soil
ECOSIM:TCA	air temperature	skos:closeMatch	ECOSIM:TairK	air temperature	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	air temperature
ECOSIM:TCC	canopy temperature	skos:closeMatch	ECOSIM:TKC	canopy temperature	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	canopy temperature
