# curie_map:
#   EDAM: http://w3id.org/sssom/unknown_prefix/edam/
#   ENVO: http://purl.obolibrary.org/obo/ENVO_
#   dce: http://w3id.org/sssom/unknown_prefix/dce/
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/c64f00da-a7b5-4a44-b233-ae193ad5c565
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
EDAM:citation	Citation	skos:closeMatch	EDAM:data_0970	Citation	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	citation
EDAM:data_0006	Data	skos:closeMatch	EDAM:format_1915	Format	semapv:LexicalMatching	oaklib	0.5	skos:broadMatch	skos:broadMatch	bfo:0000002
EDAM:data_0006	Data	skos:closeMatch	EDAM:format_1915	Format	semapv:LexicalMatching	oaklib	0.5	skos:broadMatch	skos:broadMatch	http://www.onto-med.de/ontologies/gfo.owl#perpetuant
EDAM:data_0006	Data	skos:closeMatch	EDAM:operation_0004	Operation	semapv:LexicalMatching	oaklib	0.5	skos:broadMatch	skos:broadMatch	bfo:0000002
EDAM:data_0006	Data	skos:closeMatch	EDAM:operation_0004	Operation	semapv:LexicalMatching	oaklib	0.5	skos:broadMatch	skos:broadMatch	http://www.onto-med.de/ontologies/gfo.owl#perpetuant
EDAM:data_0006	Data	skos:closeMatch	EDAM:topic_0003	Topic	semapv:LexicalMatching	oaklib	0.5	skos:broadMatch	skos:broadMatch	bfo:0000002
EDAM:data_0006	Data	skos:closeMatch	EDAM:topic_0003	Topic	semapv:LexicalMatching	oaklib	0.5	skos:broadMatch	skos:broadMatch	http://www.onto-med.de/ontologies/gfo.owl#perpetuant
EDAM:data_0582	Ontology	skos:closeMatch	EDAM:topic_0089	Ontology and terminology	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasNarrowSynonym	ontology
EDAM:data_0858	Sequence signature matches	skos:closeMatch	EDAM:operation_0300	Sequence profile alignment	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasNarrowSynonym	alignment profile-profile
EDAM:data_0858	Sequence signature matches	skos:closeMatch	EDAM:operation_0300	Sequence profile alignment	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasNarrowSynonym	alignment sequence-profile
EDAM:data_0858	Sequence signature matches	skos:closeMatch	EDAM:operation_0300	Sequence profile alignment	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	rdfs:label	alignment profile sequence
EDAM:data_0863	Sequence alignment	skos:closeMatch	EDAM:operation_0292	Sequence alignment	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	alignment sequence
EDAM:data_0863	Sequence alignment	skos:closeMatch	EDAM:operation_0492	Multiple sequence alignment	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	alignment multiple sequence
EDAM:data_0872	Phylogenetic tree	skos:closeMatch	EDAM:topic_0084	Phylogeny	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	phylogeny
EDAM:data_0878	Protein secondary structure alignment	skos:closeMatch	EDAM:operation_2488	Protein secondary structure comparison	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasNarrowSynonym	alignment protein secondary structure
EDAM:data_0881	RNA secondary structure alignment	skos:closeMatch	EDAM:operation_0502	RNA secondary structure alignment	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	alignment rna secondary structure
EDAM:data_0886	Structure alignment	skos:closeMatch	EDAM:operation_0295	Structure alignment	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	alignment structure
EDAM:data_0890	Structural (3D) profile alignment	skos:closeMatch	EDAM:operation_0295	Structure alignment	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasNarrowSynonym	alignment profile structural
EDAM:data_0893	Sequence-structure alignment	skos:closeMatch	EDAM:operation_0302	Protein threading	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	alignment sequence-structure
EDAM:data_0897	Protein property	skos:closeMatch	EDAM:topic_0123	Protein properties	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	properties protein
EDAM:data_0925	Sequence assembly	skos:closeMatch	EDAM:operation_0310	Sequence assembly	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	assembly sequence
EDAM:data_0925	Sequence assembly	skos:closeMatch	EDAM:topic_0196	Sequence assembly	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	assembly sequence
EDAM:data_0945	Peptide identification	skos:closeMatch	EDAM:operation_3631	Peptide identification	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	identification peptide
EDAM:data_0945	Peptide identification	skos:closeMatch	EDAM:topic_0121	Proteomics	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasNarrowSynonym	identification peptide
EDAM:data_1008	Polypeptide chain ID	skos:closeMatch	EDAM:data_2626	PeptideAtlas ID	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	pdbml:pdbx_pdb_strand_id
EDAM:data_1016	Sequence position	skos:closeMatch	EDAM:data_2012	Sequence coordinates	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	pdbml:_atom_site.id
EDAM:data_1025	Gene identifier	skos:closeMatch	EDAM:data_2727	Promoter ID	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	moby:geneaccessionlist
EDAM:data_1239	Restriction digest	skos:closeMatch	EDAM:operation_0365	Restriction digest	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	digest restriction
EDAM:data_1255	Sequence features	skos:closeMatch	EDAM:operation_0253	Sequence feature detection	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasRelatedSynonym	so:0000110
EDAM:data_1255	Sequence features	skos:closeMatch	EDAM:topic_0160	Sequence sites, features and motifs	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasNarrowSynonym	features sequence
EDAM:data_1261	Sequence composition report	skos:closeMatch	EDAM:topic_0157	Sequence composition, complexity and repeats	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasNarrowSynonym	composition sequence
EDAM:data_1274	Map	skos:closeMatch	EDAM:format_3285	MAP	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	map
EDAM:data_1352	Regular expression	skos:closeMatch	EDAM:regex	Regular expression	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	expression regular
EDAM:data_1459	Nucleic acid structure	skos:closeMatch	EDAM:topic_0097	Nucleic acid structure analysis	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	acid nucleic structure
EDAM:data_1460	Protein structure	skos:closeMatch	EDAM:topic_2814	Protein structure analysis	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	protein structure
EDAM:data_1463	Small molecule structure	skos:closeMatch	EDAM:topic_0154	Small molecules	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasRelatedSynonym	chebi:23367
EDAM:data_1464	DNA structure	skos:closeMatch	EDAM:topic_0097	Nucleic acid structure analysis	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasNarrowSynonym	dna structure
EDAM:data_1465	RNA structure	skos:closeMatch	EDAM:topic_0097	Nucleic acid structure analysis	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasNarrowSynonym	rna structure
EDAM:data_1493	RNA structure alignment	skos:closeMatch	EDAM:topic_0097	Nucleic acid structure analysis	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasNarrowSynonym	alignment rna structure
EDAM:data_1872	Taxonomic classification	skos:closeMatch	EDAM:operation_3460	Taxonomic classification	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	classification taxonomic
EDAM:data_1916	Alignment	skos:closeMatch	EDAM:operation_2928	Alignment	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	alignment
EDAM:data_2956	Protein secondary structure	skos:closeMatch	EDAM:operation_2488	Protein secondary structure comparison	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	protein secondary structure
EDAM:data_2956	Protein secondary structure	skos:closeMatch	EDAM:topic_3542	Protein secondary structure	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	protein secondary structure
EDAM:data_2977	Nucleic acid sequence	skos:closeMatch	EDAM:data_3494	DNA sequence	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	rdfs:label	dna sequence
EDAM:data_3028	Taxonomy	skos:closeMatch	EDAM:topic_0637	Taxonomy	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	taxonomy
EDAM:data_3134	Gene transcript report	skos:closeMatch	EDAM:topic_3512	Gene transcripts	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasNarrowSynonym	features mrna
EDAM:data_3275	Phenotype name	skos:closeMatch	EDAM:topic_0625	Genotype and phenotype	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasNarrowSynonym	phenotype
EDAM:data_3505	Bibliography	skos:closeMatch	EDAM:topic_3068	Literature and language	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasNarrowSynonym	bibliography
EDAM:data_3717	Isolation report	skos:closeMatch	EDAM:data_3720	Geographic location	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	rdfs:label	geographic location
EDAM:data_3717	Isolation report	skos:closeMatch	EDAM:data_3721	Isolation source	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	rdfs:label	isolation source
EDAM:data_3756	Localisation score	skos:closeMatch	EDAM:operation_3755	PTM localisation	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	rdfs:label	localisation ptm
EDAM:documentation	Documentation	skos:closeMatch	EDAM:topic_3068	Literature and language	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasNarrowSynonym	documentation
EDAM:format_1212	dna	skos:closeMatch	EDAM:topic_0654	DNA	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	dna
