# curie_map:
#   ENVO: http://purl.obolibrary.org/obo/ENVO_
#   GOLDTERMS: http://w3id.org/sssom/unknown_prefix/goldterms/
#   GOLDVOCAB: http://w3id.org/sssom/unknown_prefix/goldvocab/
#   PO: http://purl.obolibrary.org/obo/PO_
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/224d119d-3df8-4bf0-9c77-131698e6df14
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
ENVO:00000011	garden	skos:closeMatch	GOLDTERMS:5774	Environmental > Terrestrial > Soil > Garden	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch	envo:00000011
ENVO:00000011	garden	skos:closeMatch	GOLDTERMS:5774	Environmental > Terrestrial > Soil > Garden	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	garden
ENVO:00000011	garden	skos:closeMatch	GOLDTERMS:5774	Environmental > Terrestrial > Soil > Garden	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	rdf:ID	goldterms:5774
ENVO:00000011	garden	skos:closeMatch	GOLDVOCAB:Garden	Garden	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch	envo:00000011
ENVO:00000011	garden	skos:closeMatch	GOLDVOCAB:Garden	Garden	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	garden
ENVO:00000011	garden	skos:closeMatch	GOLDVOCAB:Garden	Garden	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	rdf:ID	goldvocab:garden
ENVO:00000014	canal	skos:closeMatch	GOLDTERMS:4401	Engineered > Built environment > Canal	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch	envo:00000014
ENVO:00000014	canal	skos:closeMatch	GOLDTERMS:4401	Engineered > Built environment > Canal	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	canal
ENVO:00000014	canal	skos:closeMatch	GOLDTERMS:4401	Engineered > Built environment > Canal	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	rdf:ID	goldterms:4401
ENVO:00000014	canal	skos:closeMatch	GOLDVOCAB:Canal	Canal	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch	envo:00000014
ENVO:00000014	canal	skos:closeMatch	GOLDVOCAB:Canal	Canal	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	canal
ENVO:00000014	canal	skos:closeMatch	GOLDVOCAB:Canal	Canal	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	rdf:ID	goldvocab:canal
ENVO:00000015	ocean	skos:closeMatch	GOLDVOCAB:Oceanic	Oceanic	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch	envo:00000015
ENVO:00000015	ocean	skos:closeMatch	GOLDVOCAB:Oceanic	Oceanic	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	ocean
ENVO:00000015	ocean	skos:closeMatch	GOLDVOCAB:Oceanic	Oceanic	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	rdf:ID	goldvocab:oceanic
ENVO:00000016	sea	skos:closeMatch	GOLDTERMS:4032	Environmental > Aquatic > Marine > Marginal Sea	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:narrowMatch	envo:00000016
ENVO:00000016	sea	skos:closeMatch	GOLDTERMS:4032	Environmental > Aquatic > Marine > Marginal Sea	semapv:LexicalMatching	oaklib	0.5	skos:narrowMatch-INVERSE	rdf:ID	goldterms:4032
ENVO:00000016	sea	skos:closeMatch	GOLDVOCAB:Marginal-Sea	Marginal Sea	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:narrowMatch	envo:00000016
ENVO:00000016	sea	skos:closeMatch	GOLDVOCAB:Marginal-Sea	Marginal Sea	semapv:LexicalMatching	oaklib	0.5	skos:narrowMatch-INVERSE	rdf:ID	goldvocab:marginal-sea
ENVO:00000020	lake	skos:closeMatch	GOLDVOCAB:Lake	Lake	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch	envo:00000020
ENVO:00000020	lake	skos:closeMatch	GOLDVOCAB:Lake	Lake	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	lake
ENVO:00000020	lake	skos:closeMatch	GOLDVOCAB:Lake	Lake	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	rdf:ID	goldvocab:lake
ENVO:00000021	freshwater lake	skos:closeMatch	GOLDTERMS:4179	Environmental > Aquatic > Freshwater > Lake	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch	envo:00000021
ENVO:00000021	freshwater lake	skos:closeMatch	GOLDTERMS:4179	Environmental > Aquatic > Freshwater > Lake	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	freshwater lake
ENVO:00000021	freshwater lake	skos:closeMatch	GOLDTERMS:4179	Environmental > Aquatic > Freshwater > Lake	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	rdf:ID	goldterms:4179
ENVO:00000022	river	skos:closeMatch	GOLDVOCAB:River	River	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch	envo:00000022
ENVO:00000022	river	skos:closeMatch	GOLDVOCAB:River	River	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	river
ENVO:00000022	river	skos:closeMatch	GOLDVOCAB:River	River	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	rdf:ID	goldvocab:river
ENVO:00000023	stream	skos:closeMatch	GOLDVOCAB:Creek	Creek	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch	envo:00000023
ENVO:00000023	stream	skos:closeMatch	GOLDVOCAB:Creek	Creek	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	rdf:ID	goldvocab:creek
ENVO:00000025	reservoir	skos:closeMatch	GOLDTERMS:5237	Environmental > Aquatic > Freshwater > Reservoir	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch	envo:00000025
ENVO:00000025	reservoir	skos:closeMatch	GOLDTERMS:5237	Environmental > Aquatic > Freshwater > Reservoir	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	reservoir
ENVO:00000025	reservoir	skos:closeMatch	GOLDTERMS:5237	Environmental > Aquatic > Freshwater > Reservoir	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	rdf:ID	goldterms:5237
ENVO:00000025	reservoir	skos:closeMatch	GOLDVOCAB:Reservoir	Reservoir	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch	envo:00000025
ENVO:00000025	reservoir	skos:closeMatch	GOLDVOCAB:Reservoir	Reservoir	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	reservoir
ENVO:00000025	reservoir	skos:closeMatch	GOLDVOCAB:Reservoir	Reservoir	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	rdf:ID	goldvocab:reservoir
ENVO:00000027	spring	skos:closeMatch	GOLDVOCAB:Spring	Spring	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch	envo:00000027
ENVO:00000027	spring	skos:closeMatch	GOLDVOCAB:Spring	Spring	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	spring
ENVO:00000027	spring	skos:closeMatch	GOLDVOCAB:Spring	Spring	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	rdf:ID	goldvocab:spring
ENVO:00000033	pond	skos:closeMatch	GOLDTERMS:4380	Environmental > Aquatic > Freshwater > Pond	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch	envo:00000033
ENVO:00000033	pond	skos:closeMatch	GOLDTERMS:4380	Environmental > Aquatic > Freshwater > Pond	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	pond
ENVO:00000033	pond	skos:closeMatch	GOLDTERMS:4380	Environmental > Aquatic > Freshwater > Pond	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	rdf:ID	goldterms:4380
ENVO:00000033	pond	skos:closeMatch	GOLDVOCAB:Pond	Pond	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch	envo:00000033
ENVO:00000033	pond	skos:closeMatch	GOLDVOCAB:Pond	Pond	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	pond
