# curie_map:
#   ENVO: http://purl.obolibrary.org/obo/ENVO_
#   MS: http://purl.obolibrary.org/obo/MS_
#   UO: http://purl.obolibrary.org/obo/UO_
#   obo: http://w3id.org/sssom/unknown_prefix/obo/
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/bd982a29-2d0e-464f-8a1f-59abce970997
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
ENVO:00000025	reservoir	skos:closeMatch	MS:1000067	reservoir	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	reservoir
ENVO:00002042	surface water	skos:closeMatch	ENVO:01001191	water surface	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	surface water
ENVO:00003096	tap water	skos:closeMatch	ENVO:03600052	water tap	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	tap water
MS:1000025	magnetic field strength	skos:closeMatch	UO:0000227	magnetic flux density unit	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	b
MS:1000109	conversion dynode photomultiplier	skos:closeMatch	MS:1000349	ion-to-photon detector	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	detector ion-to-photon
MS:1000273	photoionization	skos:closeMatch	MS:1000862	isoelectric point	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	pi
MS:1000514	m/z array	skos:closeMatch	MS:1000515	intensity array	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	binary-data-type:ms:1000521
MS:1000514	m/z array	skos:closeMatch	MS:1000515	intensity array	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	binary-data-type:ms:1000523
MS:1000514	m/z array	skos:closeMatch	MS:1000517	signal to noise array	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	binary-data-type:ms:1000521
MS:1000514	m/z array	skos:closeMatch	MS:1000517	signal to noise array	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	binary-data-type:ms:1000523
