# curie_map:
#   ENVO: http://purl.obolibrary.org/obo/ENVO_
#   PO: http://purl.obolibrary.org/obo/PO_
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
#   sweet: http://w3id.org/sssom/unknown_prefix/sweet/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/8716ed0f-7691-4819-8a4c-1635efaa769d
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
ENVO:00000014	canal	skos:closeMatch	sweet:realmHydroBody/Canal	canal	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	canal
ENVO:00000015	ocean	skos:closeMatch	sweet:realm/Ocean	ocean	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	ocean
ENVO:00000020	lake	skos:closeMatch	sweet:realmHydroBody/Lake	lake	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	lake
ENVO:00000021	freshwater lake	skos:closeMatch	sweet:realmHydroBody/FreshwaterLake	freshwater lake	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	freshwater lake
ENVO:00000022	river	skos:closeMatch	sweet:realmHydroBody/River	river	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	river
ENVO:00000023	stream	skos:closeMatch	sweet:realmHydroBody/Stream	stream	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	stream
ENVO:00000025	reservoir	skos:closeMatch	sweet:realmHydroBody/Reservoir	reservoir	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	reservoir
ENVO:00000025	reservoir	skos:closeMatch	sweet:reprSciComponent/Reservoir	reservoir	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	reservoir
ENVO:00000026	well	skos:closeMatch	sweet:matrEquipment/Well	well	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	well
ENVO:00000026	well	skos:closeMatch	sweet:reprMathFunction/Well	well	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	well
ENVO:00000026	well	skos:closeMatch	sweet:stateOrdinal/Well	well	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	well
ENVO:00000027	spring	skos:closeMatch	sweet:realmHydroBody/Spring	spring	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	spring
ENVO:00000027	spring	skos:closeMatch	sweet:reprTimeSeason/Spring	spring	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	spring
ENVO:00000032	bay	skos:closeMatch	sweet:realmHydroBody/Bay	bay	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	bay
ENVO:00000033	pond	skos:closeMatch	sweet:realmHydroBody/Pond	pond	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	pond
ENVO:00000035	marsh	skos:closeMatch	sweet:realmHydroBody/Marsh	marsh	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	marsh
ENVO:00000039	fjord	skos:closeMatch	sweet:realmHydroBody/Fjord	fjord	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	fjord
ENVO:00000044	peatland	skos:closeMatch	sweet:realmHydroBody/Peatland	peatland	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	peatland
ENVO:00000045	estuary	skos:closeMatch	sweet:realmHydroBody/Estuary	estuary	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	estuary
ENVO:00000050	geyser	skos:closeMatch	sweet:realmLandVolcanic/Geyser	geyser	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	geyser
ENVO:00000067	cave	skos:closeMatch	sweet:realmLandFluvial/Cave	cave	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	cave
ENVO:00000068	tunnel	skos:closeMatch	sweet:realmLandFluvial/Tunnel	tunnel	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	tunnel
ENVO:00000076	mine	skos:closeMatch	sweet:matrFacility/Mine	mine	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	mine
ENVO:00000078	farm	skos:closeMatch	sweet:matrFacility/Farm	farm	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	farm
ENVO:00000081	mountain	skos:closeMatch	sweet:realmLandOrographic/Mountain	mountain	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	mountain
ENVO:00000083	hill	skos:closeMatch	sweet:realmLandOrographic/Hill	hill	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	hill
ENVO:00000086	plain	skos:closeMatch	sweet:realmLandform/Plain	plain	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	plain
ENVO:00000087	cliff	skos:closeMatch	sweet:realmLandOrographic/Cliff	cliff	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	cliff
ENVO:00000091	beach	skos:closeMatch	sweet:realmLandCoastal/Beach	beach	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	beach
ENVO:00000096	caldera	skos:closeMatch	sweet:realmLandVolcanic/Caldera	caldera	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	caldera
ENVO:00000098	island	skos:closeMatch	sweet:realmLandCoastal/Island	island	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	island
ENVO:00000100	valley	skos:closeMatch	sweet:realmLandFluvial/Valley	valley	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	valley
ENVO:00000101	delta	skos:closeMatch	sweet:realmLandCoastal/Delta	delta	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	delta
ENVO:00000117	plantation	skos:closeMatch	sweet:matrFacility/Plantation	plantation	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	plantation
ENVO:00000133	glacier	skos:closeMatch	sweet:realmCryo/Glacier	glacier	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch	envo:00000133
ENVO:00000133	glacier	skos:closeMatch	sweet:realmCryo/Glacier	glacier	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	glacier
ENVO:00000133	glacier	skos:closeMatch	sweet:realmCryo/Glacier	glacier	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	rdf:ID	sweet:realmcryo/glacier
ENVO:00000141	bank	skos:closeMatch	sweet:realmHydro/Bank	bank	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	bank
ENVO:00000150	coral reef	skos:closeMatch	sweet:realmBiolBiome/CoralReef	coral reef	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	coral reef
ENVO:00000155	cirque	skos:closeMatch	sweet:realmLandGlacial/Cirque	cirque	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	cirque
ENVO:00000167	bar	skos:closeMatch	sweet:realmLandCoastal/Bar	bar	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	bar
ENVO:00000170	dune	skos:closeMatch	sweet:realmLandAeolian/Dune	dune	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	dune
ENVO:00000174	isthmus	skos:closeMatch	sweet:realmLandCoastal/Isthmus	isthmus	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	isthmus
