# curie_map:
#   CHEBI: http://purl.obolibrary.org/obo/CHEBI_
#   ENVO: http://purl.obolibrary.org/obo/ENVO_
#   GO: http://purl.obolibrary.org/obo/GO_
#   NCIT: http://purl.obolibrary.org/obo/NCIT_
#   PATO: http://purl.obolibrary.org/obo/PATO_
#   mixs: http://w3id.org/sssom/unknown_prefix/mixs/
#   nmdc: http://w3id.org/sssom/unknown_prefix/nmdc/
#   obo: http://w3id.org/sssom/unknown_prefix/obo/
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/0306003b-77f8-4b14-990d-24c3e35e0cb0
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
mixs:address	address	skos:closeMatch	NCIT:C25407	Address	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	address
mixs:address	address	skos:closeMatch	NCIT:C86945	Address	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	address
mixs:address	address	skos:closeMatch	mixs:address	address	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	address
mixs:alt	alt	skos:closeMatch	CHEBI:37708	altrose	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	alt
mixs:alt	alt	skos:closeMatch	GO:0004021	L-alanine:2-oxoglutarate aminotransferase activity	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	alt
mixs:alt	alt	skos:closeMatch	mixs:alt	alt	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	alt
mixs:ammonium	ammonium	skos:closeMatch	CHEBI:28938	ammonium	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	ammonium
mixs:ammonium	ammonium	skos:closeMatch	CHEBI:28938	ammonium	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	ammonium
mixs:ammonium	ammonium	skos:closeMatch	mixs:ammonium	ammonium	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	ammonium
mixs:basin	basin	skos:closeMatch	ENVO:00000104	undersea feature	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasNarrowSynonym	basin
mixs:basin	basin	skos:closeMatch	ENVO:00000151	sabkha	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasBroadSynonym	basin
mixs:basin	basin	skos:closeMatch	ENVO:00000165	asphalt lake	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasBroadSynonym	basin
mixs:basin	basin	skos:closeMatch	ENVO:00000195	sinkhole	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasBroadSynonym	basin
mixs:basin	basin	skos:closeMatch	ENVO:00000291	drainage basin	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	basin
mixs:basin	basin	skos:closeMatch	ENVO:00000311	kettle	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasBroadSynonym	basin
mixs:basin	basin	skos:closeMatch	ENVO:00002277	back-arc basin	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasBroadSynonym	basin
