# curie_map:
#   BFO: http://purl.obolibrary.org/obo/BFO_
#   CHEBI: http://purl.obolibrary.org/obo/CHEBI_
#   ENVO: http://purl.obolibrary.org/obo/ENVO_
#   GO: http://purl.obolibrary.org/obo/GO_
#   HP: http://purl.obolibrary.org/obo/HP_
#   IAO: http://purl.obolibrary.org/obo/IAO_
#   MP: http://purl.obolibrary.org/obo/MP_
#   dcterms: http://w3id.org/sssom/unknown_prefix/dcterms/
#   linkml: http://w3id.org/sssom/unknown_prefix/linkml/
#   mixs: http://w3id.org/sssom/unknown_prefix/mixs/
#   nmdc: http://w3id.org/sssom/unknown_prefix/nmdc/
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   ror: http://w3id.org/sssom/unknown_prefix/ror/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/8f0a8084-a324-449e-ab37-8f608142f4b4
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
BFO:0000050	part_of	skos:closeMatch	nmdc:basic_classes/:part_of	part_of	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	part_of
CHEBI:13193	hydrogen acceptor	skos:closeMatch	CHEBI:15339	acceptor	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasRelatedSynonym	
CHEBI:15022	electron donor	skos:closeMatch	CHEBI:39144	Lewis base	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	donor electron
CHEBI:15022	electron donor	skos:closeMatch	CHEBI:39144	Lewis base	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	donor electron
CHEBI:15377	water	skos:closeMatch	ENVO:00002006	water	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	water
CHEBI:15377	water	skos:closeMatch	nmdc:DNASampleFormatEnum#Water	Water	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	water
CHEBI:15377	water	skos:closeMatch	nmdc:PlantGrowthMedEnum#water	water	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	water
CHEBI:15377	water	skos:closeMatch	nmdc:RNASampleFormatEnum#Water	Water	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	water
CHEBI:15377	water	skos:closeMatch	nmdc:SampleTypeEnum#water	water	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	water
CHEBI:17654	electron acceptor	skos:closeMatch	CHEBI:39143	Lewis acid	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	acceptor electron
CHEBI:17654	electron acceptor	skos:closeMatch	CHEBI:39143	Lewis acid	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	acceptor electron
CHEBI:20854	ATP synthase inhibitor	skos:closeMatch	CHEBI:73214	H(+)-transporting two-sector ATPase inhibitor	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	atp inhibitor synthase
CHEBI:22153	acaricide	skos:closeMatch	CHEBI:36053	acaricide drug	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	wikipedia:acaricide
CHEBI:23100	chitin synthesis inhibitor	skos:closeMatch	CHEBI:59672	chitin synthase inhibitor	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	chitin inhibitor synthesis
CHEBI:25212	metabolite	skos:closeMatch	nmdc:ExtractionTargetEnum#metabolite	metabolite	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	metabolite
CHEBI:25212	metabolite	skos:closeMatch	nmdc:ExtractionTargetEnum#metabolite	metabolite	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	metabolite
CHEBI:33284	nutrient	skos:closeMatch	nmdc:SurfAirContEnum#nutrients	nutrients	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	nutrients
CHEBI:35472	anti-inflammatory drug	skos:closeMatch	CHEBI:67079	anti-inflammatory agent	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasRelatedSynonym	agent antiinflammatory
CHEBI:35617	flavouring agent	skos:closeMatch	CHEBI:64047	food additive	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	additive food
CHEBI:37699	protein kinase inhibitor	skos:closeMatch	CHEBI:50925	non-specific serine/threonine protein kinase inhibitor	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasRelatedSynonym	inhibitors kinase protein
CHEBI:37699	protein kinase inhibitor	skos:closeMatch	CHEBI:50925	non-specific serine/threonine protein kinase inhibitor	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	inhibitor kinase protein
CHEBI:37955	H1-receptor antagonist	skos:closeMatch	CHEBI:37956	histamine antagonist	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	citexplore:22035879
CHEBI:38323	cholinergic drug	skos:closeMatch	CHEBI:38324	cholinergic agonist	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasRelatedSynonym	cholinomimetic
CHEBI:38325	muscarinic agonist	skos:closeMatch	CHEBI:47958	nicotinic agonist	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasRelatedSynonym	agonists muscarinic
