# curie_map:
#   envthes: http://w3id.org/sssom/unknown_prefix/envthes/
#   mixs: http://w3id.org/sssom/unknown_prefix/mixs/
#   nmdc: http://w3id.org/sssom/unknown_prefix/nmdc/
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/6a9626f9-b2da-4cda-b0cc-163bbd353f82
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
mixs:alkalinity	alkalinity	skos:closeMatch	envthes:21450	alkalinity	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	alkalinity
mixs:alkalinity	alkalinity	skos:closeMatch	mixs:alkalinity	alkalinity	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	alkalinity
mixs:ammonium	ammonium	skos:closeMatch	envthes:20836	Ammonium	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	ammonium
mixs:ammonium	ammonium	skos:closeMatch	mixs:ammonium	ammonium	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	ammonium
mixs:basin	basin	skos:closeMatch	envthes:20529	basin	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	basin
mixs:basin	basin	skos:closeMatch	mixs:basin	basin	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	basin
mixs:calcium	calcium	skos:closeMatch	envthes:20804	Calcium	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	calcium
mixs:calcium	calcium	skos:closeMatch	mixs:calcium	calcium	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	calcium
mixs:chlorophyll	chlorophyll	skos:closeMatch	envthes:20784	Chlorophyll	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	chlorophyll
mixs:chlorophyll	chlorophyll	skos:closeMatch	envthes:20785	chlorophyll a	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	chlorophyll
