# curie_map:
#   BFO: http://purl.obolibrary.org/obo/BFO_
#   CHEBI: http://purl.obolibrary.org/obo/CHEBI_
#   ECOCORE: http://purl.obolibrary.org/obo/ECOCORE_
#   EDAM: http://w3id.org/sssom/unknown_prefix/edam/
#   ENVO: http://purl.obolibrary.org/obo/ENVO_
#   GO: http://purl.obolibrary.org/obo/GO_
#   IAO: http://purl.obolibrary.org/obo/IAO_
#   NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
#   NCIT: http://purl.obolibrary.org/obo/NCIT_
#   OBI: http://purl.obolibrary.org/obo/OBI_
#   PATO: http://purl.obolibrary.org/obo/PATO_
#   RO: http://purl.obolibrary.org/obo/RO_
#   TO: http://purl.obolibrary.org/obo/TO_
#   dcterms: http://w3id.org/sssom/unknown_prefix/dcterms/
#   linkml: http://w3id.org/sssom/unknown_prefix/linkml/
#   mixs: http://w3id.org/sssom/unknown_prefix/mixs/
#   nmdc: http://w3id.org/sssom/unknown_prefix/nmdc/
#   obo: http://w3id.org/sssom/unknown_prefix/obo/
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   ror: http://w3id.org/sssom/unknown_prefix/ror/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/eab0ddf5-b11c-4e02-9853-622d80496bf5
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
nmdc:AnalysisTypeEnum#metabolomics	metabolomics	skos:closeMatch	EDAM:topic_3172	Metabolomics	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	metabolomics
nmdc:AnalysisTypeEnum#metabolomics	metabolomics	skos:closeMatch	NCIT:C49019	Metabolomics	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	metabolomics
nmdc:AnalysisTypeEnum#metabolomics	metabolomics	skos:closeMatch	nmdc:AnalysisTypeEnum#metabolomics	metabolomics	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	metabolomics
nmdc:AnalysisTypeEnum#metabolomics	metabolomics	skos:closeMatch	obo:MESH_D055432	Metabolomics	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	metabolomics
nmdc:AnalysisTypeEnum#metabolomics	metabolomics	skos:closeMatch	obo:MESH_D055432	Metabolomics	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	metabolomics
nmdc:AnalysisTypeEnum#metagenomics	metagenomics	skos:closeMatch	EDAM:topic_3174	Metagenomics	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	metagenomics
nmdc:AnalysisTypeEnum#metagenomics	metagenomics	skos:closeMatch	NCIT:C153191	Metagenomics	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	metagenomics
nmdc:AnalysisTypeEnum#metagenomics	metagenomics	skos:closeMatch	nmdc:AnalysisTypeEnum#metagenomics	metagenomics	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	metagenomics
nmdc:AnalysisTypeEnum#metagenomics	metagenomics	skos:closeMatch	obo:MESH_D056186	Metagenomics	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	metagenomics
nmdc:AnalysisTypeEnum#metagenomics	metagenomics	skos:closeMatch	obo:MESH_D056186	Metagenomics	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	metagenomics
