# curie_map:
#   biolink: http://w3id.org/sssom/unknown_prefix/biolink/
#   nmdc: http://w3id.org/sssom/unknown_prefix/nmdc/
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/52189169-924a-46c6-b56c-70ab7ad41bfc
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
nmdc:Biosample	Biosample	skos:closeMatch	biolink:MaterialSample	material sample	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	skos:exactMatch	obi:0000747
nmdc:DoorMoveEnum#folding	folding	skos:closeMatch	biolink:GeneOrGeneProductOrChemicalEntityAspectEnum#folding	folding	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	folding
nmdc:ExtractionTargetEnum#metabolite	metabolite	skos:closeMatch	biolink:ChemicalEntityDerivativeEnum#metabolite	metabolite	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	metabolite
nmdc:ExtractionTargetEnum#protein	protein	skos:closeMatch	biolink:Protein	protein	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	protein
nmdc:FunctionalAnnotation	FunctionalAnnotation	skos:closeMatch	biolink:GeneToGoTermAssociation	gene to go term association	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:narrowMatch-INVERSE	nmdc:functionalannotation
nmdc:FunctionalAnnotation	FunctionalAnnotation	skos:closeMatch	biolink:GeneToGoTermAssociation	gene to go term association	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:narrowMatch-INVERSE	nmdc:functionalannotation
nmdc:FunctionalAnnotation	FunctionalAnnotation	skos:closeMatch	biolink:GeneToGoTermAssociation	gene to go term association	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	skos:narrowMatch-INVERSE	nmdc:functionalannotation
nmdc:FunctionalAnnotation	FunctionalAnnotation	skos:closeMatch	biolink:GeneToGoTermAssociation	gene to go term association	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	skos:narrowMatch-INVERSE	nmdc:functionalannotation
nmdc:FunctionalAnnotation	FunctionalAnnotation	skos:closeMatch	biolink:GeneToGoTermAssociation	gene to go term association	semapv:LexicalMatching	oaklib	0.5	skos:narrowMatch	rdf:ID	biolink:genetogotermassociation
nmdc:OrthologyGroup	OrthologyGroup	skos:closeMatch	biolink:GeneFamily	gene family	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch-INVERSE	nmdc:orthologygroup
nmdc:OrthologyGroup	OrthologyGroup	skos:closeMatch	biolink:GeneFamily	gene family	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch-INVERSE	nmdc:orthologygroup
nmdc:OrthologyGroup	OrthologyGroup	skos:closeMatch	biolink:GeneFamily	gene family	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	rdf:ID	biolink:genefamily
nmdc:OrthologyGroup	OrthologyGroup	skos:closeMatch	biolink:GeneFamily	gene family	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	rdf:ID	biolink:genefamily
nmdc:OrthologyGroup	OrthologyGroup	skos:closeMatch	biolink:GeneFamily	gene family	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	rdf:ID	biolink:genefamily
nmdc:OrthologyGroup	OrthologyGroup	skos:closeMatch	biolink:GeneFamily	gene family	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	rdf:ID	biolink:genefamily
nmdc:OrthologyGroup	OrthologyGroup	skos:closeMatch	biolink:GeneFamily	gene family	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	rdf:ID	biolink:genefamily
nmdc:OrthologyGroup	OrthologyGroup	skos:closeMatch	biolink:GeneFamily	gene family	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	skos:exactMatch-INVERSE	nmdc:orthologygroup
nmdc:OrthologyGroup	OrthologyGroup	skos:closeMatch	biolink:GeneFamily	gene family	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	skos:exactMatch-INVERSE	nmdc:orthologygroup
nmdc:Pathway	Pathway	skos:closeMatch	biolink:Pathway	pathway	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch-INVERSE	nmdc:pathway
nmdc:Pathway	Pathway	skos:closeMatch	biolink:Pathway	pathway	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch-INVERSE	nmdc:pathway
nmdc:Pathway	Pathway	skos:closeMatch	biolink:Pathway	pathway	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	pathway
nmdc:Pathway	Pathway	skos:closeMatch	biolink:Pathway	pathway	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	rdf:ID	biolink:pathway
nmdc:Pathway	Pathway	skos:closeMatch	biolink:Pathway	pathway	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	rdf:ID	biolink:pathway
nmdc:Pathway	Pathway	skos:closeMatch	biolink:Pathway	pathway	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	rdf:ID	biolink:pathway
nmdc:Pathway	Pathway	skos:closeMatch	biolink:Pathway	pathway	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	rdf:ID	biolink:pathway
nmdc:Pathway	Pathway	skos:closeMatch	biolink:Pathway	pathway	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	skos:exactMatch-INVERSE	nmdc:pathway
nmdc:Pathway	Pathway	skos:closeMatch	biolink:Pathway	pathway	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	skos:exactMatch-INVERSE	nmdc:pathway
