# curie_map:
#   CCO: http://w3id.org/sssom/unknown_prefix/cco/
#   nmdc: http://w3id.org/sssom/unknown_prefix/nmdc/
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/368d6b36-01f2-4a3c-ac00-e5a314c76233
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
nmdc:BuildOccupTypeEnum#airport	airport	skos:closeMatch	CCO:Airport	Airport	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	airport
nmdc:BuildOccupTypeEnum#school	school	skos:closeMatch	CCO:School	School	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	school
nmdc:ChemicalConversionCategoryEnum#combustion	combustion	skos:closeMatch	CCO:Combustion	Combustion	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	combustion
nmdc:Database	Database	skos:closeMatch	CCO:Database	Database	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	database
nmdc:MechStrucEnum#bus	bus	skos:closeMatch	CCO:Bus	Bus	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	bus
nmdc:MechStrucEnum#train	train	skos:closeMatch	CCO:Train	Train	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	train
nmdc:RoomTypeEnum#warehouse	warehouse	skos:closeMatch	CCO:Warehouse	Warehouse	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	warehouse
nmdc:TrainLineEnum#green	green	skos:closeMatch	CCO:Green	Green	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	green
nmdc:TrainLineEnum#orange	orange	skos:closeMatch	CCO:Orange	Orange	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	orange
nmdc:TrainLineEnum#red	red	skos:closeMatch	CCO:Red	Red	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	red
nmdc:language	language	skos:closeMatch	CCO:Language	Language	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	language
nmdc:mass	mass	skos:closeMatch	CCO:Mass	Mass	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	mass
nmdc:objective	objective	skos:closeMatch	CCO:Objective	Objective	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	objective
nmdc:temperature	temperature	skos:closeMatch	CCO:Temperature	Temperature	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	temperature
