# curie_map:
#   comet: http://w3id.org/sssom/unknown_prefix/comet/
#   nmdc: http://w3id.org/sssom/unknown_prefix/nmdc/
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/f616e82b-77d1-45cc-b5e8-6c36d786eb51
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
nmdc:ArchStrucEnum#building	building	skos:closeMatch	comet:Building	Building	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	building
nmdc:CeilFinishMatEnum#metal	metal	skos:closeMatch	comet:ExtractiveIndustryProductType#METAL	METAL	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	metal
nmdc:CollectingBiosamplesFromSite	CollectingBiosamplesFromSite	skos:closeMatch	comet:SampleCollectionProcess	SampleCollectionProcess	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch	nmdc:collectingbiosamplesfromsite
nmdc:CollectingBiosamplesFromSite	CollectingBiosamplesFromSite	skos:closeMatch	comet:SampleCollectionProcess	SampleCollectionProcess	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch	nmdc:collectingbiosamplesfromsite
nmdc:CollectingBiosamplesFromSite	CollectingBiosamplesFromSite	skos:closeMatch	comet:SampleCollectionProcess	SampleCollectionProcess	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	skos:exactMatch	nmdc:collectingbiosamplesfromsite
nmdc:CollectingBiosamplesFromSite	CollectingBiosamplesFromSite	skos:closeMatch	comet:SampleCollectionProcess	SampleCollectionProcess	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	rdf:ID	comet:samplecollectionprocess
nmdc:CollectingBiosamplesFromSite	CollectingBiosamplesFromSite	skos:closeMatch	comet:SampleCollectionProcess	SampleCollectionProcess	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	skos:exactMatch	nmdc:collectingbiosamplesfromsite
nmdc:CreditEnum#Investigation	Investigation	skos:closeMatch	comet:Investigation	Investigation	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	investigation
nmdc:CurLandUseEnum#gravel	gravel	skos:closeMatch	comet:ExtractiveIndustryProductType#GRAVEL	GRAVEL	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	gravel
nmdc:CurLandUseEnum#sand	sand	skos:closeMatch	comet:ExtractiveIndustryProductType#SAND	SAND	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	sand
