# curie_map:
#   ito: http://w3id.org/sssom/unknown_prefix/ito/
#   nmdc: http://w3id.org/sssom/unknown_prefix/nmdc/
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/389a2eff-69e2-48f9-92ef-904154cb7f73
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
nmdc:ArchStrucEnum#home	home	skos:closeMatch	ito:ITO_19417	HOME	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	home
nmdc:BiolStatEnum#hybrid	hybrid	skos:closeMatch	ito:ITO_32925	Hybrid	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	hybrid
nmdc:BiolStatEnum#hybrid	hybrid	skos:closeMatch	ito:ITO_32939	Hybrid	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	hybrid
nmdc:BiolStatEnum#hybrid	hybrid	skos:closeMatch	ito:ITO_40386	hybrid	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	hybrid
nmdc:CeilTypeEnum#cove	cove	skos:closeMatch	ito:ITO_36630	CoVe	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	cove
nmdc:CreditEnum#Software	Software	skos:closeMatch	ito:Software	Software	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	software
nmdc:CreditEnum#Validation	Validation	skos:closeMatch	ito:ITO_15338	Validation	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	validation
nmdc:DeposEnvEnum#other	other	skos:closeMatch	ito:ITO_27225	other	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	other
nmdc:DeposEnvEnum#other	other	skos:closeMatch	ito:ITO_49510	Other	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	other
nmdc:DoorLocEnum#east	east	skos:closeMatch	ito:ITO_32268	EAST	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	east
nmdc:DrawingsEnum#sketch	sketch	skos:closeMatch	ito:ITO_00245	Sketch	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	sketch
nmdc:ExtWallOrientEnum#east	east	skos:closeMatch	ito:ITO_32268	EAST	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	east
nmdc:ExtWindowOrientEnum#east	east	skos:closeMatch	ito:ITO_32268	EAST	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	east
nmdc:FailureWhatEnum#other	other	skos:closeMatch	ito:ITO_27225	other	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	other
nmdc:FailureWhatEnum#other	other	skos:closeMatch	ito:ITO_49510	Other	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	other
nmdc:FloorFinishMatEnum#none	none	skos:closeMatch	ito:ITO_32564	None	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	none
nmdc:FloorFinishMatEnum#none	none	skos:closeMatch	ito:ITO_i9O0WkNVNbXasY3JA	None	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	none
nmdc:FloorFinishMatEnum#none	none	skos:closeMatch	ito:ITO_iXHxJLul3P8uqosNQ	None	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	none
nmdc:FloorFinishMatEnum#none	none	skos:closeMatch	ito:ITO_ihN7oOunpW9UnJEfL	None	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	none
nmdc:FreqCleanEnum#other	other	skos:closeMatch	ito:ITO_27225	other	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	other
nmdc:FreqCleanEnum#other	other	skos:closeMatch	ito:ITO_49510	Other	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	other
nmdc:FurnitureEnum#chair	chair	skos:closeMatch	ito:ITO_27398	CHAIR	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	chair
nmdc:FurnitureEnum#chair	chair	skos:closeMatch	ito:ITO_ihLGIJilsyi7qzUqa	CHAIR	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	chair
nmdc:HcProducedEnum#Gas	Gas	skos:closeMatch	ito:ITO_28371	GAS	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	gas
nmdc:HcProducedEnum#other	other	skos:closeMatch	ito:ITO_27225	other	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	other
nmdc:HcProducedEnum#other	other	skos:closeMatch	ito:ITO_49510	Other	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	other
nmdc:HcrEnum#other	other	skos:closeMatch	ito:ITO_27225	other	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	other
nmdc:HcrEnum#other	other	skos:closeMatch	ito:ITO_49510	Other	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	other
nmdc:HcrGeolAgeEnum#other	other	skos:closeMatch	ito:ITO_27225	other	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	other
nmdc:HcrGeolAgeEnum#other	other	skos:closeMatch	ito:ITO_49510	Other	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	other
