# curie_map:
#   MS: http://purl.obolibrary.org/obo/MS_
#   nmdc: http://w3id.org/sssom/unknown_prefix/nmdc/
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/c633472e-5905-4721-bea5-205cbd1e163b
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
nmdc:CreditEnum#Software	Software	skos:closeMatch	MS:1000531	software	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	software
nmdc:ExtractionTargetEnum#metabolite	metabolite	skos:closeMatch	MS:1003036	metabolite	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	metabolite
nmdc:ExtractionTargetEnum#protein	protein	skos:closeMatch	MS:1000882	protein	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	protein
nmdc:MassAnalyzerEnum#Orbitrap	Orbitrap	skos:closeMatch	MS:1000484	orbitrap	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	orbitrap
nmdc:MassAnalyzerEnum#quadrupole	quadrupole	skos:closeMatch	MS:1000081	quadrupole	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	quadrupole
nmdc:Sample	Sample	skos:closeMatch	MS:1000457	sample	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	sample
nmdc:SampleStateEnum#liquid	liquid	skos:closeMatch	MS:1002975	LIQUID	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	liquid
nmdc:basic_classes/:Doi	Doi	skos:closeMatch	MS:1001922	Digital Object Identifier (DOI)	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	doi
nmdc:basic_classes/:Instrument	Instrument	skos:closeMatch	MS:1000463	instrument	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	instrument
nmdc:inchi	inchi	skos:closeMatch	MS:1003403	InChI	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	inchi
nmdc:input_mass	input_mass	skos:closeMatch	MS:1000004	sample mass	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch-INVERSE	nmdc:input_mass
nmdc:input_mass	input_mass	skos:closeMatch	MS:1000004	sample mass	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch-INVERSE	nmdc:input_mass
nmdc:ionization_source	ionization_source	skos:closeMatch	MS:1000008	ionization type	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch-INVERSE	nmdc:ionization_source
nmdc:mass_analyzers	mass_analyzers	skos:closeMatch	MS:1000443	mass analyzer type	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch-INVERSE	nmdc:mass_analyzers
nmdc:mass_spectrometry_acquisition_strategy	mass_spectrometry_acquisition_strategy	skos:closeMatch	MS:1003213	mass spectrometry acquisition method	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:exactMatch-INVERSE	nmdc:mass_spectrometry_acquisition_strategy
