collection	size	count	avgObjSize	storageSize	totalIndexSize	totalSize	scaleFactor
data_generation_set	6392207	9004	709.0	1585152	1556480	3141632	1
material_processing_set	9109580	13311	684.0	2019328	1642496	3661824	1
instrument_set	2625	17	154.0	36864	110592	147456	1
genome_feature_set	0	0		4096	8192	12288	1
workflow_execution_set	525928027	21772	24156.0	121683968	8376320	130060288	1
biosample_set	25446568	13248	1920.0	4190208	1966080	6156288	1
calibration_set	7780	20	389.0	36864	94208	131072	1
functional_annotation_agg	7758469626	47339119	163.0	1456750592	6892224512	8348975104	1
data_object_set	102379995	199091	514.0	26509312	33972224	60481536	1
functional_annotation_set	0	0		4096	8192	12288	1
processed_sample_set	2822161	14515	194.0	864256	1761280	2625536	1
study_set	202141	47	4300.0	188416	212992	401408	1
field_research_site_set	12705	110	115.0	24576	61440	86016	1
configuration_set	21038	19	1107.0	24576	61440	86016	1
collecting_biosamples_from_site_set	0	0		4096	12288	16384	1
storage_process_set	0	0		4096	12288	16384	1
manifest_set	4326	34	127.0	36864	110592	147456	1
