Key	basename	extension	LastModified	Size	obo_foundry_title	use	status
ado.db	ado	db	2022-10-17T16:07:06.000Z	17653760	Alzheimer's Disease Ontology		
ado.db.gz	ado	db.gz	2025-02-05T06:24:16.000Z	4266828	Alzheimer's Disease Ontology		
aeo-relation-graph.tsv.gz	aeo	relation-graph.tsv.gz	2022-06-15T13:38:01.000Z	7761	Anatomical Entity Ontology		
aeo.db	aeo	db	2022-10-17T16:07:06.000Z	1159168	Anatomical Entity Ontology		
aeo.owl	aeo	owl	2022-06-15T13:38:01.000Z	407236	Anatomical Entity Ontology		
agro-relation-graph.tsv.gz	agro	relation-graph.tsv.gz	2022-06-20T01:47:05.000Z	988343	Agronomy Ontology		
agro.db	agro	db	2022-10-17T16:07:06.000Z	43225088	Agronomy Ontology		
agro.db.gz	agro	db.gz	2025-02-05T06:24:16.000Z	11851963	Agronomy Ontology	1	
agro.owl	agro	owl	2022-06-20T01:47:05.000Z	6978509	Agronomy Ontology		
aio.db	aio	db	2022-10-17T16:07:06.000Z	532480			
aio.db.gz	aio	db.gz	2025-02-05T06:24:16.000Z	384897		1	
aism-relation-graph.tsv.gz	aism	relation-graph.tsv.gz	2022-06-20T01:47:05.000Z	6168091	Ontology for the Anatomy of the Insect SkeletoMuscular system (AISM)		
aism.db.gz	aism	db.gz	2025-02-05T06:24:16.000Z	48241287	Ontology for the Anatomy of the Insect SkeletoMuscular system (AISM)		
aism.owl	aism	owl	2022-06-20T01:47:05.000Z	23598556	Ontology for the Anatomy of the Insect SkeletoMuscular system (AISM)		
allotrope.db	allotrope	db	2022-10-17T16:07:06.000Z	49381376			
amphx-relation-graph.tsv.gz	amphx	relation-graph.tsv.gz	2022-06-20T01:47:05.000Z	11918	The Amphioxus Development and Anatomy Ontology		
amphx.db	amphx	db	2022-10-17T16:07:15.000Z	1798144	The Amphioxus Development and Anatomy Ontology		
amphx.db.gz	amphx	db.gz	2025-02-05T06:24:16.000Z	295618	The Amphioxus Development and Anatomy Ontology		
amphx.owl	amphx	owl	2022-06-20T01:47:11.000Z	589457	The Amphioxus Development and Anatomy Ontology		
apo-relation-graph.tsv.gz	apo	relation-graph.tsv.gz	2022-06-20T01:47:12.000Z	6665	Ascomycete phenotype ontology		
apo.db	apo	db	2022-10-17T16:07:17.000Z	1576960	Ascomycete phenotype ontology		
apo.db.gz	apo	db.gz	2025-02-05T06:24:16.000Z	305306	Ascomycete phenotype ontology		
apo.owl	apo	owl	2022-06-20T01:47:15.000Z	716033	Ascomycete phenotype ontology		
apollo_sv-relation-graph.tsv.gz	apollo_sv	relation-graph.tsv.gz	2022-06-20T01:47:16.000Z	235542	Apollo Structured Vocabulary		
apollo_sv.db	apollo_sv	db	2022-10-17T16:07:18.000Z	14520320	Apollo Structured Vocabulary		
apollo_sv.db.gz	apollo_sv	db.gz	2025-02-05T06:24:16.000Z	3588893	Apollo Structured Vocabulary	1	
