class	parent	mixins
Agriculture	Extension	
Air	Extension	
BuiltEnvironment	Extension	
Checklist		
Extension		
FoodAnimalAndAnimalFeed	Extension	
FoodFarmEnvironment	Extension	
FoodFoodProductionFacility	Extension	
FoodHumanFoods	Extension	
HostAssociated	Extension	
HumanAssociated	Extension	
HumanGut	Extension	
HumanOral	Extension	
HumanSkin	Extension	
HumanVaginal	Extension	
HydrocarbonResourcesCores	Extension	
HydrocarbonResourcesFluidsSwabs	Extension	
MicrobialMatBiofilm	Extension	
MigsBa	Checklist	
MigsBaAgriculture	Agriculture	MigsBa
MigsBaAir	Air	MigsBa
MigsBaBuiltEnvironment	BuiltEnvironment	MigsBa
MigsBaFoodAnimalAndAnimalFeed	FoodAnimalAndAnimalFeed	MigsBa
MigsBaFoodFarmEnvironment	FoodFarmEnvironment	MigsBa
MigsBaFoodFoodProductionFacility	FoodFoodProductionFacility	MigsBa
MigsBaFoodHumanFoods	FoodHumanFoods	MigsBa
MigsBaHostAssociated	HostAssociated	MigsBa
MigsBaHumanAssociated	HumanAssociated	MigsBa
MigsBaHumanGut	HumanGut	MigsBa
MigsBaHumanOral	HumanOral	MigsBa
MigsBaHumanSkin	HumanSkin	MigsBa
MigsBaHumanVaginal	HumanVaginal	MigsBa
MigsBaHydrocarbonResourcesCores	HydrocarbonResourcesCores	MigsBa
MigsBaHydrocarbonResourcesFluidsSwabs	HydrocarbonResourcesFluidsSwabs	MigsBa
MigsBaMicrobialMatBiofilm	MicrobialMatBiofilm	MigsBa
MigsBaMiscellaneousNaturalOrArtificialEnvironment	MiscellaneousNaturalOrArtificialEnvironment	MigsBa
MigsBaPlantAssociated	PlantAssociated	MigsBa
MigsBaSediment	Sediment	MigsBa
MigsBaSoil	Soil	MigsBa
MigsBaSymbiontAssociated	SymbiontAssociated	MigsBa
MigsBaWastewaterSludge	WastewaterSludge	MigsBa
MigsBaWater	Water	MigsBa
MigsEu	Checklist	
MigsEuAgriculture	Agriculture	MigsEu
MigsEuAir	Air	MigsEu
