class	slot	annotation_Preferred_unit	prefunit_count	exploded_prefunit	exploded_count	annotation_times_explosion_count
Agriculture	agrochem_addition	gram, mole per liter, milligram per liter	13	gram	10	130
Agriculture	agrochem_addition	gram, mole per liter, milligram per liter	13	mole per liter	7	91
Agriculture	agrochem_addition	gram, mole per liter, milligram per liter	13	milligram per liter	15	195
Agriculture	annual_precpt	millimeter	6	millimeter	2	12
Agriculture	annual_temp	degree Celsius	88	degree Celsius	2	176
Agriculture	crop_yield	kilogram per metre square	2	kilogram per metre square	1	2
Agriculture	depth	meter	72	meter	3	216
Agriculture	elev	meter	72	meter	3	216
Agriculture	farm_equip_san	parts per million	6	parts per million	11	66
Agriculture	fungicide_regm	gram, mole per liter, milligram per liter	13	gram	10	130
Agriculture	fungicide_regm	gram, mole per liter, milligram per liter	13	mole per liter	7	91
Agriculture	fungicide_regm	gram, mole per liter, milligram per liter	13	milligram per liter	15	195
Agriculture	gaseous_environment	micromole per liter	24	micromole per liter	8	192
Agriculture	herbicide_regm	gram, mole per liter, milligram per liter	13	gram	10	130
Agriculture	herbicide_regm	gram, mole per liter, milligram per liter	13	mole per liter	7	91
Agriculture	herbicide_regm	gram, mole per liter, milligram per liter	13	milligram per liter	15	195
Agriculture	host_age	year, day, hour	11	year	2	22
Agriculture	host_age	year, day, hour	11	day	1	11
Agriculture	host_age	year, day, hour	11	hour	2	22
Agriculture	host_dry_mass	kilogram, gram	17	kilogram	4	68
Agriculture	host_dry_mass	kilogram, gram	17	gram	10	170
Agriculture	host_height	centimeter, millimeter, meter	15	centimeter	2	30
Agriculture	host_height	centimeter, millimeter, meter	15	millimeter	2	30
Agriculture	host_height	centimeter, millimeter, meter	15	meter	3	45
Agriculture	host_length	centimeter, millimeter, meter	15	centimeter	2	30
Agriculture	host_length	centimeter, millimeter, meter	15	millimeter	2	30
Agriculture	host_length	centimeter, millimeter, meter	15	meter	3	45
Agriculture	host_tot_mass	kilogram, gram	17	kilogram	4	68
Agriculture	host_tot_mass	kilogram, gram	17	gram	10	170
Agriculture	microbial_biomass	ton, kilogram, gram per kilogram soil	2	ton	2	4
Agriculture	microbial_biomass	ton, kilogram, gram per kilogram soil	2	kilogram	4	8
Agriculture	microbial_biomass	ton, kilogram, gram per kilogram soil	2	gram per kilogram soil	1	2
Agriculture	non_min_nutr_regm	gram, mole per liter, milligram per liter	13	gram	10	130
Agriculture	non_min_nutr_regm	gram, mole per liter, milligram per liter	13	mole per liter	7	91
Agriculture	non_min_nutr_regm	gram, mole per liter, milligram per liter	13	milligram per liter	15	195
Agriculture	pesticide_regm	gram, mole per liter, milligram per liter	13	gram	10	130
Agriculture	pesticide_regm	gram, mole per liter, milligram per liter	13	mole per liter	7	91
Agriculture	pesticide_regm	gram, mole per liter, milligram per liter	13	milligram per liter	15	195
Agriculture	photosynt_activ	mol m-2 s-1	1	mol m-2 s-1	1	1
Agriculture	pool_dna_extracts	gram, milliliter, microliter	5	gram	10	50
Agriculture	pool_dna_extracts	gram, milliliter, microliter	5	milliliter	4	20
Agriculture	pool_dna_extracts	gram, milliliter, microliter	5	microliter	1	5
Agriculture	porosity	percentage	13	percentage	2	26
Agriculture	root_med_carbon	milligram per liter	26	milligram per liter	15	390
Agriculture	root_med_macronutr	milligram per liter	26	milligram per liter	15	390
Agriculture	salt_regm	gram, microgram, mole per liter, gram per liter	2	gram	10	20
Agriculture	salt_regm	gram, microgram, mole per liter, gram per liter	2	microgram	3	6
Agriculture	salt_regm	gram, microgram, mole per liter, gram per liter	2	mole per liter	7	14
Agriculture	salt_regm	gram, microgram, mole per liter, gram per liter	2	gram per liter	4	8
Agriculture	samp_store_temp	degree Celsius	88	degree Celsius	2	176
Agriculture	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132
Agriculture	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330
Agriculture	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99
Agriculture	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33
Agriculture	season_precpt	millimeter	6	millimeter	2	12
Agriculture	season_temp	degree Celsius	88	degree Celsius	2	176
Agriculture	size_frac_low	micrometer	7	micrometer	2	14
Agriculture	size_frac_up	micrometer	7	micrometer	2	14
Agriculture	slope_aspect	degree	2	degree	1	2
Agriculture	slope_gradient	percentage	13	percentage	2	26
Agriculture	soil_conductivity	milliSiemens per centimeter	4	milliSiemens per centimeter	1	4
Agriculture	soil_temp	degree Celsius	88	degree Celsius	2	176
Agriculture	solar_irradiance	kilowatts per square meter per day, ergs per square centimeter per second	3	kilowatts per square meter per day	1	3
Agriculture	solar_irradiance	kilowatts per square meter per day, ergs per square centimeter per second	3	ergs per square centimeter per second	1	3
Agriculture	temp	degree Celsius	88	degree Celsius	2	176
Agriculture	tot_org_carb	gram Carbon per kilogram sample material	5	gram Carbon per kilogram sample material	1	5
Agriculture	tot_phosphate	microgram per liter, micromole per liter	5	microgram per liter	6	30
Agriculture	tot_phosphate	microgram per liter, micromole per liter	5	micromole per liter	8	40
Agriculture	water_temp_regm	degree Celsius	88	degree Celsius	2	176
Agriculture	watering_regm	milliliter, liter	2	milliliter	4	8
Agriculture	watering_regm	milliliter, liter	2	liter	1	2
Air	alt	meter	72	meter	3	216
Air	barometric_press	millibar	1	millibar	1	1
Air	carb_dioxide	micromole per liter, parts per million	3	micromole per liter	8	24
Air	carb_dioxide	micromole per liter, parts per million	3	parts per million	11	33
Air	carb_monoxide	micromole per liter, parts per million	3	micromole per liter	8	24
Air	carb_monoxide	micromole per liter, parts per million	3	parts per million	11	33
Air	elev	meter	72	meter	3	216
Air	methane	micromole per liter, parts per billion, parts per million	3	micromole per liter	8	24
Air	methane	micromole per liter, parts per billion, parts per million	3	parts per billion	1	3
Air	methane	micromole per liter, parts per billion, parts per million	3	parts per million	11	33
Air	oxygen	milligram per liter, parts per million	32	milligram per liter	15	480
Air	oxygen	milligram per liter, parts per million	32	parts per million	11	352
Air	pollutants	gram, mole per liter, milligram per liter, microgram per cubic meter	1	gram	10	10
Air	pollutants	gram, mole per liter, milligram per liter, microgram per cubic meter	1	mole per liter	7	7
Air	pollutants	gram, mole per liter, milligram per liter, microgram per cubic meter	1	milligram per liter	15	15
Air	pollutants	gram, mole per liter, milligram per liter, microgram per cubic meter	1	microgram per cubic meter	2	2
Air	salinity	practical salinity unit, percentage	17	practical salinity unit	1	17
Air	salinity	practical salinity unit, percentage	17	percentage	2	34
Air	samp_store_temp	degree Celsius	88	degree Celsius	2	176
Air	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132
Air	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330
Air	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99
Air	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33
Air	solar_irradiance	kilowatts per square meter per day, ergs per square centimeter per second	3	kilowatts per square meter per day	1	3
Air	solar_irradiance	kilowatts per square meter per day, ergs per square centimeter per second	3	ergs per square centimeter per second	1	3
Air	temp	degree Celsius	88	degree Celsius	2	176
Air	ventilation_rate	cubic meter per minute, liters per second	2	cubic meter per minute	1	2
Air	ventilation_rate	cubic meter per minute, liters per second	2	liters per second	1	2
Air	volatile_org_comp	microgram per cubic meter, parts per million, nanogram per liter	1	microgram per cubic meter	2	2
Air	volatile_org_comp	microgram per cubic meter, parts per million, nanogram per liter	1	parts per million	11	11
Air	volatile_org_comp	microgram per cubic meter, parts per million, nanogram per liter	1	nanogram per liter	2	2
Air	wind_direction	degrees or cardinal direction	2	degrees	1	2
Air	wind_direction	degrees or cardinal direction	2	cardinal direction	1	2
BuiltEnvironment	abs_air_humidity	gram per gram, kilogram per kilogram, kilogram, pound	1	gram per gram	2	2
BuiltEnvironment	abs_air_humidity	gram per gram, kilogram per kilogram, kilogram, pound	1	kilogram per kilogram	1	1
BuiltEnvironment	abs_air_humidity	gram per gram, kilogram per kilogram, kilogram, pound	1	kilogram	4	4
BuiltEnvironment	abs_air_humidity	gram per gram, kilogram per kilogram, kilogram, pound	1	pound	1	1
BuiltEnvironment	air_temp	degree Celsius	88	degree Celsius	2	176
BuiltEnvironment	amount_light	lux, lumens per square meter	1	lux	3	3
BuiltEnvironment	amount_light	lux, lumens per square meter	1	lumens per square meter	1	1
BuiltEnvironment	avg_dew_point	degree Celsius	88	degree Celsius	2	176
BuiltEnvironment	avg_temp	degree Celsius	88	degree Celsius	2	176
BuiltEnvironment	built_struc_age	year	1	year	2	2
BuiltEnvironment	carb_dioxide	micromole per liter, parts per million	3	micromole per liter	8	24
BuiltEnvironment	carb_dioxide	micromole per liter, parts per million	3	parts per million	11	33
BuiltEnvironment	ceil_area	square meter	6	square meter	2	12
BuiltEnvironment	ceil_thermal_mass	joule per degree Celsius	3	joule per degree Celsius	1	3
BuiltEnvironment	dew_point	degree Celsius	88	degree Celsius	2	176
BuiltEnvironment	door_size	square meter	6	square meter	2	12
BuiltEnvironment	exp_duct	square meter	6	square meter	2	12
BuiltEnvironment	floor_age	years, weeks, days	1	years	1	1
BuiltEnvironment	floor_age	years, weeks, days	1	weeks	1	1
BuiltEnvironment	floor_age	years, weeks, days	1	days	4	4
BuiltEnvironment	floor_area	square meter	6	square meter	2	12
BuiltEnvironment	floor_thermal_mass	joule per degree Celsius	3	joule per degree Celsius	1	3
BuiltEnvironment	height_carper_fiber	centimeter	3	centimeter	2	6
BuiltEnvironment	inside_lux	kilowatt per square metre	1	kilowatt per square metre	1	1
BuiltEnvironment	rel_air_humidity	percentage	13	percentage	2	26
BuiltEnvironment	rel_humidity_out	gram of air, kilogram of air	2	gram of air	1	2
BuiltEnvironment	rel_humidity_out	gram of air, kilogram of air	2	kilogram of air	1	2
BuiltEnvironment	room_air_exch_rate	liter per hour	1	liter per hour	1	1
BuiltEnvironment	room_dim	meter	72	meter	3	216
BuiltEnvironment	room_door_dist	meter	72	meter	3	216
BuiltEnvironment	room_net_area	square feet, square meter	1	square feet	1	1
BuiltEnvironment	room_net_area	square feet, square meter	1	square meter	2	2
BuiltEnvironment	room_vol	cubic feet, cubic meter	1	cubic feet	1	1
BuiltEnvironment	room_vol	cubic feet, cubic meter	1	cubic meter	1	1
BuiltEnvironment	samp_time_out	hour	1	hour	2	2
BuiltEnvironment	specific_humidity	gram of air, kilogram of air	2	gram of air	1	2
BuiltEnvironment	specific_humidity	gram of air, kilogram of air	2	kilogram of air	1	2
