class	slot	annotation_Preferred_unit	prefunit_count	exploded_prefunit	exploded_count	annotation_times_explosion_count	ucum	notes	slots	example
Agriculture	agrochem_addition	gram, mole per liter, milligram per liter	13	gram	10	130	g			
Agriculture	agrochem_addition	gram, mole per liter, milligram per liter	13	mole per liter	7	91	mol/h			
Agriculture	agrochem_addition	gram, mole per liter, milligram per liter	13	milligram per liter	15	195	mg/L			
Agriculture	annual_precpt	millimeter	6	millimeter	2	12	mm			
Agriculture	annual_temp	degree Celsius	88	degree Celsius	2	176	Cel			
Agriculture	crop_yield	kilogram per metre square	2	kilogram per metre square	1	2	kg/m2			
Agriculture	depth	meter	72	meter	3	216	m			
Agriculture	elev	meter	72	meter	3	216	m			
Agriculture	farm_equip_san	parts per million	6	parts per million	11	66	[ppm]			
Agriculture	fungicide_regm	gram, mole per liter, milligram per liter	13	gram	10	130	g			
Agriculture	fungicide_regm	gram, mole per liter, milligram per liter	13	mole per liter	7	91	mol/h			
Agriculture	fungicide_regm	gram, mole per liter, milligram per liter	13	milligram per liter	15	195	mg/L			
Agriculture	gaseous_environment	micromole per liter	24	micromole per liter	8	192	umol/L			
Agriculture	herbicide_regm	gram, mole per liter, milligram per liter	13	gram	10	130	g			
Agriculture	herbicide_regm	gram, mole per liter, milligram per liter	13	mole per liter	7	91	mol/h			
Agriculture	herbicide_regm	gram, mole per liter, milligram per liter	13	milligram per liter	15	195	mg/L			
Agriculture	host_age	year, day, hour	11	year	2	22	a	!		
Agriculture	host_age	year, day, hour	11	day	1	11	d			
Agriculture	host_age	year, day, hour	11	hour	2	22	h			
Agriculture	host_dry_mass	kilogram, gram	17	kilogram	4	68	kg			
Agriculture	host_dry_mass	kilogram, gram	17	gram	10	170	g			
Agriculture	host_height	centimeter, millimeter, meter	15	centimeter	2	30	cm			
Agriculture	host_height	centimeter, millimeter, meter	15	millimeter	2	30	mm			
Agriculture	host_height	centimeter, millimeter, meter	15	meter	3	45	m			
Agriculture	host_length	centimeter, millimeter, meter	15	centimeter	2	30	cm			
Agriculture	host_length	centimeter, millimeter, meter	15	millimeter	2	30	mm			
Agriculture	host_length	centimeter, millimeter, meter	15	meter	3	45	m			
Agriculture	host_tot_mass	kilogram, gram	17	kilogram	4	68	kg			
Agriculture	host_tot_mass	kilogram, gram	17	gram	10	170	g			
Agriculture	microbial_biomass	ton, kilogram, gram per kilogram soil	2	ton	2	4		Imperial = [ston_av]; Metric = t	biomass|microbial_biomass	
Agriculture	microbial_biomass	ton, kilogram, gram per kilogram soil	2	kilogram	4	8	kg			
Agriculture	microbial_biomass	ton, kilogram, gram per kilogram soil	2	gram per kilogram soil	1	2	g/kg{soil}			
Agriculture	non_min_nutr_regm	gram, mole per liter, milligram per liter	13	gram	10	130	g			
Agriculture	non_min_nutr_regm	gram, mole per liter, milligram per liter	13	mole per liter	7	91	mol/h			
Agriculture	non_min_nutr_regm	gram, mole per liter, milligram per liter	13	milligram per liter	15	195	mg/L			
Agriculture	pesticide_regm	gram, mole per liter, milligram per liter	13	gram	10	130	g			
Agriculture	pesticide_regm	gram, mole per liter, milligram per liter	13	mole per liter	7	91	mol/h			
Agriculture	pesticide_regm	gram, mole per liter, milligram per liter	13	milligram per liter	15	195	mg/L			
Agriculture	photosynt_activ	mol m-2 s-1	1	mol m-2 s-1	1	1	mol/m2/s			
Agriculture	pool_dna_extracts	gram, milliliter, microliter	5	gram	10	50	g			
Agriculture	pool_dna_extracts	gram, milliliter, microliter	5	milliliter	4	20	mL			
Agriculture	pool_dna_extracts	gram, milliliter, microliter	5	microliter	1	5	uL			
Agriculture	porosity	percentage	13	percentage	2	26	%			
Agriculture	root_med_carbon	milligram per liter	26	milligram per liter	15	390	mg/L			
Agriculture	root_med_macronutr	milligram per liter	26	milligram per liter	15	390	mg/L			
Agriculture	salt_regm	gram, microgram, mole per liter, gram per liter	2	gram	10	20	g			
Agriculture	salt_regm	gram, microgram, mole per liter, gram per liter	2	microgram	3	6	ug			
Agriculture	salt_regm	gram, microgram, mole per liter, gram per liter	2	mole per liter	7	14	mol/h			
