unit_name,total_count,cs_code,followup,confidence
metre,475737,m,,high
week,433473,wk,,high
centimetre,409285,cm,,high
day,274854,d,,high
year,260373,a,1,high
month,243117,mo,,high
degree Celsius,170818,Cel,,high
cubic centimetre,103522,cm3,,high
gram,66408,g,,high
millimetre,50973,mm,,high
milligram,33190,mg,,high
hour,30689,h,,high
dime,29919,d,Misinterpretation of days by q3,high
litre,28920,L,,high
tesla,22973,T,Spurious findings in description geo_loc_name env_broad_scale,high
milligram per litre,22035,mg/L,,high
watt,21619,W,,high
percentage,21343,%,,high
micrometre,20412,um,,high
minute of arc,15910,min,almost certainly time not angle,high
watt kibibyte,14588,wk,,high
degree angle degree Celsius,14301,Cel,,high
watt kibibyte second,12762,wk,,high
siemens,12093,S,mostly spurious in description temp env_broad_scale geo_loc_name,high
unk mole per litre,11932,umol/L,,high
kilogram,10031,kg,,high
degree angle,9503,deg,probably temperature and probably Celsius,high
foot,8555,[ft_i],1,high
inch,7837,[in_i],1,high
kilometre,7819,km,,high
newton,7069,N,spurious including latitude longitude with ordinal directions ,high
horsepower farad,4685,,hours post fertilization in age,low
per metre to the 40 metre,4418,,depth:[0m-40m],low
candela per square metre atomic mass unit,4244,,"Nephelometric Turbidity Units in turbidity, not in UCUM",low
dime pint degree fahrenheit,4169,,days post fertilization in age,low
unk,4117,,numerous units with greek lowercase mu as a prefix,low
square centimetre,3876,cm2,,high
microsecond mole per kilogram,3607,umoll/kg,,high
atomic mass unit metre,3532,um,,high
unk per litre,3213,ug/L,,high
megaampere second litre,3016,,meters above sea level,low
gram per litre,2984,g/L,,high
poise siemens atomic mass unit,2968,,practical salinity unit,low
pint second atomic mass unit,2777,,practical salinity unit,low
parts-per-trillion,2664,[ppm],1,high
cubic millimetre,2419,mm3,,high
milligram per kilogram,2391,mg/kg,,high
centavo,2282,,"could be degrees Celsius, but may be spurious with many other harmonized names",low
atomic mass unit poise,2280,,days after planting in age?,low
mile,2101,[mi_i],1,high
newton gram per atomic mass unit per litre,2077,ng/ul,in description!,high
parts-per-million,1986,[ppm],1,high
second of arc,1910,"""","inches in depth; seconds of time in age, also spurious uses (quotation marks)",high
minute,1848,min,"Minutes tim ein age; samp_size:3.4 ml/5min; temp:42°C for 10 min, then 30°C for 9h50 min; ",high
millivolt,1835,mV,,high
microsecond per centimetre,1774,uS/cm,microsiemens per centimeter in conductivity,high
atomic mass unit mole per litre,1746,umol/L,,high
atomic mass unit litre,1733,,DAL for age; uL in samp_size,low
mole per litre,1708,mol/L,aka molar,high
megapixel farad,1694,,months post fertilization in age,low
kilogram per cubic metre,1669,kg/m3,,high
degree angle centavo,1588,,spurious in description,low
gross,1580,g,,high
swiss franc watt,1562,,feet of seawater in depth,low
megabyte second litre,1497,,meters below sea level in depth (and elev?!),low
dime pint hour,1476,,days post hatching in age,low
megabyte second farad,1454,,meters below sea floor of seawater in depth,low
dime pint farad,1411,,days post fertilization in age (and also spuriously in depth?!),low
atomic mass unit gram,1391,,ug such as ug N/L in nitrate,low
second,1377,s,seconds inn age; largely spurious,high
centimetre bit second farad,1373,,centimeters below sea floor in depth (and elevation?!),low
milligram per cubic centimetre,1371,,spurious in description,low
microgram per litre,1362,ug/L,,high
atomic mass unit gauss,1337,,days after germination in age,low
inch stere year roentgen,1262,,spurious instar in age,low
millimeter of mercury,1240,mm[Hg],,high
gram per kilogram,1097,g/kg,,high
square metre,1095,m2,,high
ounce,1088,[oz_av],1,high
milligram per cubic metre,1067,mg/m3,,high
ampere,994,,spurious ,low
milligram per gram,967,mg/g,,high
atomic mass unit farad,926,,days after fertilization in age,low
atomic mass unit gram per litre,881,ug/L,,high
square foot,860,[ft_i]2,1,high
year ampere-turn,853,,"years at (diagnosis, treatments, etc)",low
horsepower degree fahrenheit,852,,spurious in description,low
millisecond nanometre,849,,"metros sobre el nivel del mar ""meters above sea level""

",low
millisecond per centimetre,796,,,low
unk mole per kilogram,790,,,low
basis point,781,,,low
degree Celsius to the 57 byte litre,772,,,low
newton centavo roentgen,772,,,low
kilometre newton,771,,,low
milligram second,760,,,low
cubic centimetre pound-mass,757,,,low
revolutions per minute,747,,,low
minute of arc minute of arc,732,,,low
second watt attobarn,722,,,low
volt,689,,,low
per kiloampere to the 181,675,,,low
cubic metre,604,,,low
decibel year roentgen,601,,,low
yard,595,,,low
ampere-turn,594,,,low
microgram,584,,,low
count,574,,,low
dime set,573,,,low
second watt attobarn second,535,,,low
league,532,,,low
kibibyte,525,,,low
kilometre siemens,524,,,low
millisecond metre,514,,,low
dime pint pint,499,,,low
dime petaampere,482,,,low
south african rand henry,476,,,low
mole per kilogram,456,,,low
byte,451,,,low
kilometre watt,451,,,low
microsecond mole per cubic decimetre,426,,,low
year second,426,,,low
farad,419,,,low
milligram degree Celsius per kilogram,398,,,low
mile newton,391,,,low
atomic mass unit siemens,389,,,low
hour ampere-turn,383,,,low
dime petayear,374,,,low
gram atomic mass unit tonne second,365,,,low
cubic volt,342,,,low
microsecond mole per litre,339,,,low
bar,337,,,low
gram dime nanoampere,322,,,low
centavo ell,305,,,low
milligram degree Celsius,295,,,low
microsecond mole per square metre per second,290,,,low
minute ampere-turn,287,,,low
watt kelvin,287,,,low
gram per gallon per ampere-turn,287,,,low
joule,283,,,low
newton gram per cubic centimetre,282,,,low
pound-mass,279,,,low
newton gram,277,,,low
petametre,273,,,low
megaampere millisecond litre,269,,,low
metre dime,267,,,low
henry,264,,,low
megabyte,263,,,low
mile siemens,253,,,low
roentgen,252,,,low
kilometre nanowatt,250,,,low
mile watt,245,,,low
atomic mass unit,240,,,low
kilopascal,239,,,low
gauss,232,,,low
gram per cubic centimetre,232,,,low
atomic mass unit mole per kilogram,229,,,low
inch stere year south african rand,226,,,low
second of arc second of arc,223,,,low
henry tesla,221,,,low
set,205,,,low
dime pint,202,,,low
coulomb,196,,,low
femtowatt,195,,,low
bit,195,,,low
milligram per hectare,192,,,low
attometre,192,,,low
turn,187,,,low
newton litre,186,,,low
kilogram per hectare,186,,,low
litre per hour,186,,,low
millisecond,185,,,low
decibar,183,,,low
kilogram per cubic milligram,168,,,low
dollar,167,,,low
microsecond,166,,,low
standard atmosphere,162,,,low
decibel,161,,,low
megabarn,160,,,low
ampere-turn day,160,,,low
milligram newton per litre,159,,,low
mile nanowatt,152,,,low
microgram degree Celsius per litre per day,152,,,low
dollar dollar,151,,,low
candela per square metre,150,,,low
microsecond mole degree Celsius per litre,148,,,low
week day,147,,,low
micrometre degree Celsius,143,,,low
barn,137,,,low
poise siemens per siemens to the 78,134,,,low
astronomical unit,132,,,low
megabyte siemens farad,131,,,low
atomic mass unit femtobarn,130,,,low
cubic centimetre per litre,129,,,low
siemens per centimetre,129,,,low
microsecond mole,129,,,low
atomic mass unit mole,127,,,low
megaampere siemens litre,124,,,low
kilo base pair,120,,,low
newton metre,120,,,low
pint atomic mass unit petayear,119,,,low
day pint degree fahrenheit,117,,,low
tonne hour,116,,,low
roentgen farad atomic mass unit,114,,,low
gigabit,112,,,low
per second of arc to the 6 second of arc,112,,,low
mile per hour,111,,,low
megaton,111,,,low
parts-per-billion,110,,,low
litre cubic centimetre,108,,,low
degree fahrenheit,108,,,low
set watt,106,,,low
nucleotide,105,,,low
pint mole,104,,,low
day ampere-turn,104,,,low
degree Celsius degree angle,100,,,low
metre maxwell to the 6 millimetre,100,,,low
atomic mass unit hour,98,,,low
week ampere-turn,98,,,low
month ampere-turn,97,,,low
year gram per atomic mass unit per litre,96,,,low
litre picometre,96,,,low
inverse second,96,,,low
per year,95,,,low
minute of arc ampere-turn,93,,,low
,93,,,low
per metre to the 1500 metre,90,,,low
cubic millimetre henry to the 20,88,,,low
atomic mass unit mole kilogram,84,,,low
degree angle to the 12 minute newton,84,,,low
giga base pair,84,,,low
metre mole,83,,,low
megaton hour,81,,,low
atomic mass unit ampere,80,,,low
week year,80,,,low
centavo year,79,,,low
litre acre exayear,79,,,low
gigawatt,78,,,low
centimetre barn second,77,,,low
atomic mass unit gram per kilogram,76,,,low
atomic mass unit per cubic centimetre,74,,,low
minute of arc siemens,74,,,low
steradian roentgen nanoampere,73,,,low
base pair,73,,,low
dime pint gram,72,,,low
square roentgen,72,,,low
degree Celsius day,72,,,low
metre per second,72,,,low
gram per cubic decimetre,71,,,low
millisecond litre,71,,,low
per ampere per exametre,71,,,low
nanometre,69,,,low
millimetre litre,68,,,low
south african rand,67,,,low
gram degree Celsius per kilogram,66,,,low
atomic mass unit gram per atomic mass unit per litre,66,,,low
degree angle roentgen degree Celsius,66,,,low
gram per square metre,65,,,low
ampere siemens litre,65,,,low
farad gram per atomic mass unit per litre,64,,,low
ampere gigayear rutherford,64,,,low
percentage centilitre year year,64,,,low
milligram per litre per minute of arc,64,,,low
megapixel bit,64,,,low
metre minute of arc,64,,,low
gram atomic mass unit tonne,63,,,low
attometre siemens litre,60,,,low
kilogram per square metre,60,,,low
atomic mass unit per metre,59,,,low
millisecond per metre,59,,,low
atomic mass unit byte,58,,,low
metre second,58,,,low
metre standard litre per minute,57,,,low
dime poise henry,57,,,low
degree Celsius minute of arc,56,,,low
farad exabit to the 21,55,,,low
kilometre per hour,55,,,low
megaampere,55,,,low
year gigayear south african rand,54,,,low
megapascal,53,,,low
cubic centimetre per minute,53,,,low
per square siemens,52,,,low
year to the 10 metre,52,,,low
atomic mass unit pint,51,,,low
milligram litre,50,,,low
centavo degree fahrenheit atomic mass unit,50,,,low
dollar dollar to the 5,49,,,low
microsecond mole per square metre per second of arc,49,,,low
dollar dollar to the 72,49,,,low
minute ampere-turn megaampere,48,,,low
poise second,47,,,low
cubic year metre,47,,,low
minute of arc newton,46,,,low
picometre,45,,,low
per hour to the 48 hour,44,,,low
hectare ampere,44,,,low
dime gram degree Celsius,44,,,low
mega base pair,44,,,low
centimetre to the 20 centimetre,43,,,low
centimetre to the 15 centimetre,43,,,low
atomic mass unit gram per square centimetre,42,,,low
centimetre to the 10 centimetre,42,,,low
atomic mass unit gram per gram,42,,,low
degree Celsius farad atomic mass unit,42,,,low
per cent,42,,,low
second second,41,,,low
atomic mass unit gram per cubic centimetre,41,,,low
year to the 6 metre,41,,,low
watt pint gram,40,,,low
centimetre to the 5 centimetre,40,,,low
hectare,39,,,low
newton mole per litre,39,,,low
percentage volt per volt,39,,,low
metre mole per kilogram per watt,39,,,low
day penny gram,38,,,low
centimetre to the 25 centimetre,37,,,low
poise,37,,,low
centimetre ampere-turn,36,,,low
horsepower-hour,36,,,low
year to the 9 metre,36,,,low
year to the 7 metre,36,,,low
hectare gauss,36,,,low
inch ampere-turn steradian,36,,,low
atomic mass unit volt,36,,,low
tesla litre siemens,35,,,low
per metre to the 600 metre,35,,,low
milligram per cubic decimetre,35,,,low
unk to the 8,35,,,low
second ampere-turn,34,,,low
siemens watt,33,,,low
milligram newton,33,,,low
gallon,32,,,low
centimetre second,32,,,low
per nanoampere,32,,,low
degree Celsius degree fahrenheit atomic mass unit,32,,,low
steradian,32,,,low
kelvin,31,,,low
stokes,31,,,low
hour to the 10,31,,,low
year to the 11 metre,31,,,low
hectopascal,30,,,low
gigafarad poise,30,,,low
year to the 5 metre,30,,,low
pint gram,30,,,low
hertz,30,,,low
watt kilogram ampere,30,,,low
per dime to the 11 dime,30,,,low
cubic centimetre dime,30,,,low
per joule,30,,,low
atomic mass unit degree Celsius,30,,,low
poise dime,29,,,low
cubic centimetre second,28,,,low
byte to the 12,28,,,low
per siemens,28,,,low
rutherford,27,,,low
hectare poise farad,27,,,low
degree angle to the 37,27,,,low
degree angle to the 31,27,,,low
unk to the 36,26,,,low
millimetre exayear roentgen,26,,,low
petabyte,25,,,low
atomic mass unit tesla,25,,,low
milligram per square metre,24,,,low
unk to the 350,24,,,low
gigabyte,24,,,low
kilometre siemens ampere-turn,24,,,low
per exayear per roentgen per light-year,24,,,low
day gauss,24,,,low
unk to the 45,24,,,low
square year metre,24,,,low
percentage degree Celsius per newton,24,,,low
dime dime,24,,,low
centimetre day,24,,,low
unk to the 170,24,,,low
ampere-turn atomic mass unit gauss,24,,,low
poise gauss centilitre degree Celsius,24,,,low
hour megaampere,24,,,low
barye,23,,,low
dime poise degree fahrenheit,23,,,low
per square metre,23,,,low
per metre to the 1000 metre,23,,,low
year metre,22,,,low
dime dime degree Celsius,22,,,low
south african rand ampere pint pint,22,,,low
milligram centilitre per litre,22,,,low
minute ampere-turn year,22,,,low
cubic millimetre per watt per ell,22,,,low
inch per second,22,,,low
metre to the 15 dime,22,,,low
pair,22,,,low
gram per cubic metre,22,,,low
unk to the 11,22,,,low
atomic mass unit second,22,,,low
atomic mass unit per cubic millimetre tesla to the 4,22,,,low
cubic centimetre henry to the 20,22,,,low
lumen square nanobarn,22,,,low
per cubic day,21,,,low
mole,21,,,low
tablespoon,21,,,low
year nanosecond,21,,,low
metre cubic metre,21,,,low
unk to the 6,21,,,low
per year to the 60 year,21,,,low
per day,21,,,low
barye poise,21,,,low
per watt to the 12 watt,21,,,low
per dime,21,,,low
watt ampere femtobarn,21,,,low
day byte,21,,,low
foot siemens,20,,,low
per square day,20,,,low
litre litre,20,,,low
yoctobarn pint,20,,,low
per metre to the 30 metre,20,,,low
square millimetre,20,,,low
degree angle roentgen,20,,,low
year to the 5 month,20,,,low
cubic centimetre per kilogram,20,,,low
gigayear,20,,,low
per volt to the 18,20,,,low
nanoampere,19,,,low
set south african rand,19,,,low
tonne oersted dime,19,,,low
per metre to the 200 metre,19,,,low
year exayear second,19,,,low
watt centipoise,19,,,low
degree Celsius per kilogram,18,,,low
year to the 8 metre,18,,,low
centavo to the 57 barn litre to the 6,18,,,low
per dime to the 5,18,,,low
gray,18,,,low
unk mole per square metre,18,,,low
unk to the 48,18,,,low
minute of arc basis point,18,,,low
metre ampere-turn,18,,,low
per metre metre,18,,,low
kilogray,18,,,low
atomic mass unit newton,18,,,low
metre watt,17,,,low
ampere-turn square pint bit to the 4,17,,,low
inch gauss,17,,,low
stokes ampere-turn to the 5 bit,17,,,low
milliampere,17,,,low
joule atomic mass unit atomic mass unit,17,,,low
newton euro nanosecond per square centimetre,16,,,low
newton set,16,,,low
cubic metre per day,16,,,low
square degree angle,16,,,low
millimetre newton,16,,,low
ampere dime,16,,,low
year to the 4 metre,16,,,low
kiloyear,16,,,low
watt pint hour,16,,,low
degree angle to the 18,16,,,low
newton metre atomic mass unit,16,,,low
unk micrometre,16,,,low
per hour to the 60 hour,16,,,low
degree angle day,16,,,low
degree Celsius ampere-turn megaampere,16,,,low
metre per siemens,16,,,low
horsepower tonne,16,,,low
decimetre exametre per degree fahrenheit to the 12,16,,,low
watt inch dime,16,,,low
unk to the 24 second of arc newton,16,,,low
microgram per cubic centimetre,16,,,low
second atomic mass unit barn set,16,,,low
year basis point,15,,,low
nanowatt,15,,,low
dime dime gram,15,,,low
kilometre astronomical unit,15,,,low
hour newton,15,,,low
centimetre board-foot,15,,,low
year to the 10 month,15,,,low
kibibyte watt,15,,,low
per month,15,,,low
megayear peck to the 14,14,,,low
square day,14,,,low
megaton second,14,,,low
centimetre to the 30 centimetre,14,,,low
minute per roentgen per tesla,14,,,low
henry bit,14,,,low
second hour nanoampere,14,,,low
megaampere peck to the 14,14,,,low
megaampere peck,14,,,low
hour tesla,14,,,low
dime year year second,14,,,low
bit litre dime,14,,,low
per square month year,14,,,low
metre to the 23 dime,14,,,low
set roentgen,14,,,low
milligram poise per litre,13,,,low
metre to the 11 dime,13,,,low
watt pint farad,13,,,low
atomic mass unit mole per square metre per second,13,,,low
centimetre exayear roentgen,13,,,low
degree Celsius newton,13,,,low
per metre to the 160 metre,13,,,low
dollar dollar to the 24,13,,,low
dollar dollar to the 4,13,,,low
joule bit,13,,,low
per rutherford,13,,,low
megabit,13,,,low
centavo dime,12,,,low
millibarn year roentgen,12,,,low
centavo farad atomic mass unit,12,,,low
barye pound-mass per centavo,12,,,low
centavo farad atomic mass unit per gram,12,,,low
inch pint atomic mass unit tonne,12,,,low
metre to the 25 dime,12,,,low
candela per square metre hour,12,,,low
per centimetre centimetre,12,,,low
steradian south african rand nanoampere,12,,,low
unk per cubic centimetre,12,,,low
year to the 4,12,,,low
gram millisecond,12,,,low
newton denier,12,,,low
centavo mole centavo per decimetre,12,,,low
ton-force,12,,,low
millimetre kelvin,12,,,low
per centimetre to the 5 centimetre,12,,,low
terametre per exametre to the 165,12,,,low
set dime to the 5,12,,,low
inch per second degree Celsius,12,,,low
ton of refrigeration acre,12,,,low
megayear per year to the 2019,12,,,low
atomic mass unit per poise,12,,,low
metre to the 7 dime,12,,,low
kilogram per cubic decimetre,12,,,low
day newton,12,,,low
acre volt,12,,,low
year to the 12,12,,,low
atomic mass unit per square poise,12,,,low
cubic dime,12,,,low
league per degree fahrenheit,12,,,low
atomic mass unit henry,12,,,low
atomic mass unit per cubic poise,12,,,low
newton henry to the 4,12,,,low
per per mille to the 10 per mille,12,,,low
cubic litre,11,,,low
per cubic dime,11,,,low
poise hour atomic mass unit,11,,,low
per square month,11,,,low
per metre to the 106 metre,11,,,low
metre nanowatt,11,,,low
cubic centilitre,11,,,low
astronomical unit gram to the 20,11,,,low
baud,11,,,low
year to the 6 month,11,,,low
per cubic month,11,,,low
kilowatt,11,,,low
square tesla,11,,,low
millijoule per square centimetre,11,,,low
day pint,11,,,low
per percentage to the 7,11,,,low
minute of arc minute of arc siemens,11,,,low
per square dime,11,,,low
kibibyte newton,10,,,low
centimetre oersted,10,,,low
centimetre to the 185 centimetre,10,,,low
gram gram,10,,,low
year litre inch gram,10,,,low
megayear per year to the 2016,10,,,low
centavo to the 57 byte litre,10,,,low
hour to the 37 metre,10,,,low
per metre to the 2731 metre,10,,,low
siemens ampere per litre to the 8 watt,10,,,low
per newton to the 41,10,,,low
foot newton,10,,,low
hour to the 40 metre,10,,,low
year exayear second second,10,,,low
year to the 8 month,10,,,low
day day,10,,,low
degree Celsius siemens farad,10,,,low
per metre to the 100 metre,10,,,low
siemens per metre,10,,,low
ampere pint per south african rand to the 2015,10,,,low
gigafarad,10,,,low
newton to the 917,10,,,low
ton of refrigeration ampere per square degree fahrenheit,10,,,low
mole tonne,10,,,low
year to the 9 month,10,,,low
square year month,10,,,low
tonne per hectare,10,,,low
unk to the 55,10,,,low
degree angle degree Celsius day,10,,,low
degree angle degree Celsius cubic roentgen,10,,,low
byte to the 6,10,,,low
degree angle to the 7,9,,,low
degree angle to the 25,9,,,low
mill,9,,,low
per mille,9,,,low
metre atomic mass unit megaton,9,,,low
nanosecond gauss,9,,,low
day petayear,9,,,low
square metre dime,9,,,low
exayear centavo hour,9,,,low
square kilometre,9,,,low
metre to the 17 dime,9,,,low
cubic day,9,,,low
kibibyte hour,9,,,low
gauss centavo,9,,,low
metre to the 8 dime,9,,,low
metre to the 29 dime,9,,,low
litre year gram,9,,,low
roentgen year,9,,,low
metre to the 24 dime,9,,,low
picobarn,9,,,low
shake roentgen,9,,,low
watt to the 6 dime,9,,,low
horsepower degree fahrenheit pound sterling,9,,,low
hour atomic mass unit mile dime,9,,,low
