exploded_prefunit	annotation_times_explosion_count
angstrom	1
atmosphere	12
beats per minute	5
cP at degree Celsius	2
cardinal direction	2
centimeter	30
colony forming units per gram of dry weight	7
colony forming units per milliliter	7
cubic centimeter per cubic centimeter	3
cubic feet	1
cubic meter	1
cubic meter per day	2
cubic meter per minute	2
cubic meter per second	2
day	11
days	36
degree	2
degree Celsius	176
degrees	2
degrees API	2
dpi	3
ergs per square centimeter per second	3
g	1
gram	330
gram Carbon per kilogram sample material	5
gram of air	2
gram per cubic centimeter	5
gram per cubic meter	15
gram per gram	6
gram per kilogram soil	2
gram per liter	12
gram per square meter	1
gram per square meter per day	1
grams	3
gray	1
hour	22
hours	18
inch	1
joule per degree Celsius	3
kilogram	68
kilogram of air	2
kilogram per kilogram	1
kilogram per metre square	2
kilogram per square meter	5
kilopascal	2
kilowatt per square metre	1
kilowatts per square meter per day	3
knots	2
liter	2
liter per hour	1
liters per second	2
lumens per square meter	1
lux	3
mD	1
meter	216
meter per second	6
meter per square second	1
microEinstein per square centimeter per second	1
microEinstein per square meter per second	1
microgram	9
microgram per cubic meter	2
microgram per gram	6
microgram per liter	42
microliter	5
micrometer	14
micromole oxygen per liter per hour	1
micromole per kilogram	12
micromole per liter	280
milliSiemens per centimeter	4
millibar	1
milliequivalent per liter	7
milligram	99
milligram chlorophyll a per cubic meter	1
milligram per cubic meter	8
milligram per cubic meter per day	3
milligram per kilogram	2
milligram per liter	525
milliliter	132
millimeter	30
millimeter mercury	2
millimeter per year	1
millivolt	3
mol m-2 s-1	1
mol per liter per hour	3
mole per liter	91
mole per liter per hour	3
nanogram per liter	8
nanometer	1
number of cells per cm^2	2
number of cells per gram	2
number of cells per ml	2
number of photons per second per unit area	1
part per million	3
parts per billion	3
parts per million	385
per day	1
per month	1
per week	1
percent	10
percentage	34
pound	1
practical salinity unit	17
rad	1
square centimeter	33
square feet	1
square meter	12
ton	8
volts	1
weeks	1
year	22
years	1
