slot	range	domain	range_is_nmdc_class	range_is_enum	ControlledTermValue	QuantityValue	method	regimen	treatment	date	time	history	count	type	material	has_something	occult_measurement	gold_path	mixs-section-group-like
type	uriorcurie	AttributeValue, Biosample, CalibrationInformation, ChemicalConversionProcess, ChemicalEntity, ChromatographicSeparationProcess, ChromatographyConfiguration, CollectingBiosamplesFromSite, Configuration, ControlledIdentifiedTermValue, ControlledTermValue, CreditAssociation, DataGeneration, DataObject, DissolvingProcess, Doi, EnvironmentalMaterialTerm, EukEval, Extraction, FailureCategorization, FieldResearchSite, FiltrationProcess, FunctionalAnnotation, FunctionalAnnotationAggMember, FunctionalAnnotationTerm, GeneProduct, GenomeFeature, GeolocationValue, ImageValue, InformationObject, Instrument, LibraryPreparation, MagBin, MagsAnalysis, Manifest, MassSpectrometry, MassSpectrometryConfiguration, MaterialEntity, MaterialProcessing, MetaboliteIdentification, MetabolomicsAnalysis, MetagenomeAnnotation, MetagenomeAssembly, MetagenomeSequencing, MetaproteomicsAnalysis, MetatranscriptomeAnnotation, MetatranscriptomeAssembly, MetatranscriptomeExpressionAnalysis, MixingProcess, MobilePhaseSegment, NamedThing, NomAnalysis, NucleotideSequencing, OntologyClass, OntologyRelation, OrthologyGroup, Pathway, PersonValue, PlannedProcess, Pooling, PortionOfSubstance, ProcessedSample, Protocol, QuantityValue, ReadBasedTaxonomyAnalysis, ReadQcAnalysis, Sample, Site, StorageProcess, Study, SubSamplingProcess, TextValue, TimestampValue, WorkflowExecution	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
has_raw_value	string	AttributeValue, ControlledIdentifiedTermValue, ControlledTermValue, GeolocationValue, ImageValue, PersonValue, QuantityValue, TextValue, TimestampValue	FALSE	FALSE															
gold_biosample_identifiers	uriorcurie	Biosample	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
core field	string	Biosample	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
environment field	string	Biosample	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
investigation field	string	Biosample	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
nucleic acid sequence source field	string	Biosample	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
sequencing field	string	Biosample	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
bathroom_count	TextValue	Biosample	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
bedroom_count	TextValue	Biosample	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
