field	count	measurement	mixs
elev	7353	elev	1
depth	6474	depth	1
temp	4900	temp	1
tot_nitro_content	1432	tot_nitro_content	1
org_carb	1407	org_carb	1
ammonium_nitrogen	1342	ammonium_nitrogen	0
carb_nitro_ratio	1190	carb_nitro_ratio	1
nitro	919	nitro	1
samp_size	665	samp_size	1
samp_store_temp	552	samp_store_temp	1
diss_oxygen	435	diss_oxygen	1
abs_air_humidity	192	abs_air_humidity	1
avg_temp	192	avg_temp	1
host_dry_mass	192	host_dry_mass	1
host_height	192	host_height	1
humidity	192	humidity	1
photon_flux	192	photon_flux	1
solar_irradiance	192	solar_irradiance	1
tot_carb	192	tot_carb	1
wind_speed	192	wind_speed	1
conduc	180	conduc	1
tot_phosp	172	tot_phosp	1
host_age	166	host_age	1
manganese	109	manganese	0
calcium	109	calcium	1
magnesium	109	magnesium	1
potassium	109	potassium	1
lbc_thirty	103	lbc_thirty	0
lbceq	103	lbceq	0
nitrate_nitrogen	103	nitrate_nitrogen	0
nitrite_nitrogen	103	nitrite_nitrogen	0
zinc	103	zinc	0
tot_nitro	103	tot_nitro	1
chlorophyll	47	chlorophyll	1
ammonium	45	ammonium	1
diss_inorg_nitro	45	diss_inorg_nitro	1
soluble_react_phosp	45	soluble_react_phosp	1
tot_org_carb	32	tot_org_carb	1
diss_inorg_carb	25	diss_inorg_carb	1
diss_org_carb	25	diss_org_carb	1
salinity	19	salinity	1
nitrate	18	nitrate	1
chloride	6	chloride	1
diss_iron	6	diss_iron	1
sodium	6	sodium	1
sulfate	6	sulfate	1
subsurface_depth	1	subsurface_depth	0
