Key	basename	extension	LastModified	Size	obo_foundry_title	bioportal_name	registry_url
README.md	README	md	2021-05-25T02:37:23.000Z	21			
ado.db	ado	db	2022-10-17T16:07:06.000Z	17653760	Alzheimer's Disease Ontology	Alzheimer's Disease Ontology	
ado.db.gz	ado	db.gz	2025-02-05T06:24:16.000Z	4266828	Alzheimer's Disease Ontology	Alzheimer's Disease Ontology	
aeo-relation-graph.tsv.gz	aeo	relation-graph.tsv.gz	2022-06-15T13:38:01.000Z	7761	Anatomical Entity Ontology	Anatomical Entity Ontology	
aeo.db	aeo	db	2022-10-17T16:07:06.000Z	1159168	Anatomical Entity Ontology	Anatomical Entity Ontology	
aeo.owl	aeo	owl	2022-06-15T13:38:01.000Z	407236	Anatomical Entity Ontology	Anatomical Entity Ontology	
agro-relation-graph.tsv.gz	agro	relation-graph.tsv.gz	2022-06-20T01:47:05.000Z	988343	Agronomy Ontology	AGRonomy Ontology	
agro.db	agro	db	2022-10-17T16:07:06.000Z	43225088	Agronomy Ontology	AGRonomy Ontology	
agro.db.gz	agro	db.gz	2025-02-05T06:24:16.000Z	11851963	Agronomy Ontology	AGRonomy Ontology	
agro.owl	agro	owl	2022-06-20T01:47:05.000Z	6978509	Agronomy Ontology	AGRonomy Ontology	
aio.db	aio	db	2022-10-17T16:07:06.000Z	532480		Artificial Intelligence Ontology	https://raw.githubusercontent.com/berkeleybop/artificial-intelligence-ontology/main/aio.owl
aio.db.gz	aio	db.gz	2025-02-05T06:24:16.000Z	384897		Artificial Intelligence Ontology	https://raw.githubusercontent.com/berkeleybop/artificial-intelligence-ontology/main/aio.owl
aism-relation-graph.tsv.gz	aism	relation-graph.tsv.gz	2022-06-20T01:47:05.000Z	6168091	Ontology for the Anatomy of the Insect SkeletoMuscular system (AISM)	Ontology for the Anatomy of the Insect SkeletoMuscular system	
aism.db.gz	aism	db.gz	2025-02-05T06:24:16.000Z	48241287	Ontology for the Anatomy of the Insect SkeletoMuscular system (AISM)	Ontology for the Anatomy of the Insect SkeletoMuscular system	
aism.owl	aism	owl	2022-06-20T01:47:05.000Z	23598556	Ontology for the Anatomy of the Insect SkeletoMuscular system (AISM)	Ontology for the Anatomy of the Insect SkeletoMuscular system	
allotrope.db	allotrope	db	2022-10-17T16:07:06.000Z	49381376			
amphx-relation-graph.tsv.gz	amphx	relation-graph.tsv.gz	2022-06-20T01:47:05.000Z	11918	The Amphioxus Development and Anatomy Ontology	The Amphioxus Development and Anatomy Ontology	
amphx.db	amphx	db	2022-10-17T16:07:15.000Z	1798144	The Amphioxus Development and Anatomy Ontology	The Amphioxus Development and Anatomy Ontology	
amphx.db.gz	amphx	db.gz	2025-02-05T06:24:16.000Z	295618	The Amphioxus Development and Anatomy Ontology	The Amphioxus Development and Anatomy Ontology	
amphx.owl	amphx	owl	2022-06-20T01:47:11.000Z	589457	The Amphioxus Development and Anatomy Ontology	The Amphioxus Development and Anatomy Ontology	
