id	url
swo	http://purl.obolibrary.org/obo/swo.owl
chiro	http://purl.obolibrary.org/obo/chiro.owl
pcl	http://purl.obolibrary.org/obo/pcl.owl
chemessence	https://github.com/cmungall/chemessence/releases/latest/download/chemessence.owl
ogco	https://raw.githubusercontent.com/cmungall/chemessence/refs/heads/main/src/ontology/components/ogco.owl
ncit	http://purl.obolibrary.org/obo/ncit.owl
fma	http://sig.biostr.washington.edu/share/downloads/fma/release/latest/fma.owl
maxo	http://purl.obolibrary.org/obo/maxo.owl
foodon	http://purl.obolibrary.org/obo/foodon.owl
chebiplus	http://purl.obolibrary.org/obo/chebi.owl
msio	https://raw.githubusercontent.com/MSI-Metabolomics-Standards-Initiative/MSIO/master/releases/latest_release/MSIO-merged-reasoned.owl
pride	https://raw.githubusercontent.com/PRIDE-Archive/pride-ontology/master/pride_cv.obo
modl	https://raw.githubusercontent.com/Data-Semantics-Laboratory/modular-ontology-design-library/master/MODL.owl
phenio	https://github.com/monarch-initiative/phenio/releases/latest/download/phenio.owl.gz
phenio_test	https://github.com/monarch-initiative/phenio/releases/latest/download/phenio-test.owl
comploinc	https://github.com/loinc/comp-loinc/releases/download/v2022-11-05/merged_reasoned_loinc.owl
hba	https://github.com/brain-bican/human_brain_atlas_ontology/raw/main/hbao-base.owl
mba	https://github.com/brain-bican/mouse_brain_atlas_ontology/raw/main/mbao-base.owl
dmba	https://github.com/brain-bican/developing_mouse_brain_atlas_ontology/raw/main/dmbao-base.owl
dhba	https://github.com/brain-bican/developing_human_brain_atlas_ontology/raw/main/dhbao-base.owl
pba	https://github.com/brain-bican/primate_brain_atlas_ontology/raw/main/pbao-base.owl
bero	https://github.com/berkeleybop/bero/releases/download/2022-05-26/bero.owl
aio	https://raw.githubusercontent.com/berkeleybop/artificial-intelligence-ontology/main/aio.owl
reacto	http://purl.obolibrary.org/obo/go/extensions/reacto.owl
xsmo	https://download.xenbase.org/xenbase/Ontologies/XSMO/XSMO_1.1/XSMO_1.1.owl
bcio	http://humanbehaviourchange.org/ontology/bcio.owl
sio	http://semanticscience.org/ontology/sio.owl
icd10who	https://github.com/monarch-initiative/mondo-ingest/releases/latest/download/icd10who.owl
ordo	https://github.com/monarch-initiative/mondo-ingest/releases/latest/download/ordo.owl
gard	https://github.com/monarch-initiative/mondo-ingest/releases/latest/download/gard.owl
mondo-ingest	https://github.com/monarch-initiative/mondo-ingest/releases/latest/download/mondo-ingest.owl
oeo	https://openenergyplatform.org/ontology/oeo/releases/oeo-full.owl
envthes	https://vocabs.lter-europe.net/rest/v1/envthes/data?format=text/turtle
wifire	https://raw.githubusercontent.com/WIFIRE-Lab/WIFIRE-commons-ontology/master/WIFIRE-commons-ontology-V1.owl
taxslim	http://purl.obolibrary.org/obo/ncbitaxon/subsets/taxslim.obo
goldterms	https://raw.githubusercontent.com/cmungall/gold-ontology/main/gold.owl
sdgio	https://raw.githubusercontent.com/SDG-InterfaceOntology/sdgio/master/sdgio.owl
kin	http://purl.org/ga4gh/kin.owl
biovoices	https://zenodo.org/record/5589773/files/ontology.owl?download=1
omop	
comet	https://raw.githubusercontent.com/linkml/linkml-common/main/project/owl/linkml_common.owl.ttl
cco	http://www.ontologyrepository.com/CommonCoreOntologies/Mid/AllCoreOntology
occo	https://raw.githubusercontent.com/Occupation-Ontology/OccO/main/src/ontology/occo-merged.owl
iof	https://spec.industrialontologies.org/ontology/AboutIOFProd/
upa	http://purl.obolibrary.org/obo/upa.owl
go	http://purl.obolibrary.org/obo/go/extensions/go-plus.owl
go-lego	http://purl.obolibrary.org/obo/go/extensions/go-lego.owl
go-amigo	http://purl.obolibrary.org/obo/go/extensions/go-amigo.owl
neo	http://purl.obolibrary.org/obo/go/noctua/neo.owl
bao	http://www.bioassayontology.org/bao/bao_complete.owl
orcid	https://w3id.org/orcidio/orcidio.owl
ror	https://w3id.org/biopragmatics/resources/ror/ror.owl.gz
cpont	https://w3id.org/cpont/cpont.owl
biolink	https://w3id.org/biolink/biolink-model.owl.ttl
biopax	http://www.biopax.org/release/biopax-level3.owl
enanomapper	http://enanomapper.github.io/ontologies/enanomapper.owl
mlo	https://raw.githubusercontent.com/berkeleybop/artificial-intelligence-ontology/v2023-09-11/external/ml-ontology-202010021305.owl
ito	https://github.com/OpenBioLink/ITO/raw/master/ITO.owl.zip
chemont	http://classyfire.wishartlab.com/system/downloads/1_0/chemont/ChemOnt_2_1.obo.zip
molgenie	https://github.com/MolGenie/ontology/blob/main/mol_classes_ext_2024-11-20.obo
cso	https://cso.kmi.open.ac.uk/download/version-3.3/CSO.3.3.owl.zip
obiws	https://data.bioontology.org/ontologies/OBIWS/submissions/2/download?apikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb
biopragmatics-reactome	https://w3id.org/biopragmatics/resources/reactome/reactome.obo
reactome-hs	https://reactome.org/download/current/biopax.zip
reactome-mm	https://reactome.org/download/current/biopax.zip
efo	http://www.ebi.ac.uk/efo/efo.owl
hcao	https://raw.githubusercontent.com/HumanCellAtlas/ontology/master/hcao.owl
hpinternational	http://purl.obolibrary.org/obo/hp/hp-international.owl
edam	http://edamontology.org/EDAM.owl
chr	https://raw.githubusercontent.com/monarch-initiative/monochrom/master/chr.owl
sweetAll	http://sweetontology.net/sweetAll
oboe-core	http://ecoinformatics.org/oboe/oboe.1.0/oboe-core.owl
oboe-standards	http://ecoinformatics.org/oboe/oboe.1.0/oboe-standards.owl
lov	https://lov.linkeddata.es/lov.n3.gz
schema-dot-org	https://schema.org/version/latest/schemaorg-current-https.rdf
prov	http://www.w3.org/ns/prov.owl
dtype	http://www.linkedmodel.org/schema/dtype
vaem	http://www.linkedmodel.org/schema/vaem
qudtunit	http://qudt.org/vocab/unit
quantitykind	http://qudt.org/vocab/quantitykind
cellosaurus	https://raw.githubusercontent.com/calipho-sib/cellosaurus/master/cellosaurus.obo
cosmo	https://micra.com/COSMO/COSMO.owl
fhkb	
dbpendiaont	https://databus.dbpedia.org/ontologies/dbpedia.org/ontology--DEV/2023.01.03-072003/ontology--DEV_type=parsed.owl
uberoncm	https://github.com/obophenotype/uberon/releases/latest/download/composite-metazoan.owl
icd10cm	https://github.com/monarch-initiative/mondo-ingest/releases/latest/download/icd10cm.owl
omim	https://github.com/monarch-initiative/mondo-ingest/releases/latest/download/omim.owl
co_324	https://cropontology.org/ontology/CO_324/rdf
ppeo	http://purl.org/ppeo/PPEO.owl
interpro	https://w3id.org/biopragmatics/resources/interpro/interpro.obo
pfam	https://w3id.org/biopragmatics/resources/pfam/pfam.owl
hgnc.genegroup	https://github.com/biopragmatics/obo-db-ingest/raw/main/export/hgnc.genegroup/hgnc.genegroup.owl.gz
hgnc	https://github.com/biopragmatics/obo-db-ingest/raw/main/export/hgnc/2022-06-01/hgnc.owl.gz
sgd	https://w3id.org/biopragmatics/resources/sgd/sgd.obo
gtdb	https://w3id.org/biopragmatics/resources/gtdb/gtdb.owl
eccode	https://w3id.org/biopragmatics/resources/eccode/eccode.owl.gz
uniprot	https://w3id.org/biopragmatics/resources/uniprot/uniprot.owl.gz
uniprot.ptm	https://w3id.org/biopragmatics/resources/uniprot.ptm/uniprot.ptm.owl
credit	https://raw.githubusercontent.com/biopragmatics/obo-db-ingest/main/export/credit/credit.owl
rhea	https://w3id.org/biopragmatics/resources/rhea/rhea.owl.gz
swisslipid	https://github.com/biopragmatics/obo-db-ingest/raw/main/export/swisslipid/2023-02-03/swisslipid.obo.gz
drugbank	https://github.com/biopragmatics/obo-db-ingest/raw/main/export/drugbank/5.1.9/drugbank.owl.gz
drugcentral	https://github.com/biopragmatics/obo-db-ingest/raw/main/export/drugcentral.owl.gz
complexportal	https://github.com/biopragmatics/obo-db-ingest/raw/main/export/complexportal/2022-02-03/complexportal.owl.gz
wikipathways	https://w3id.org/biopragmatics/resources/wikipathways/wikipathways.owl
pathbank	https://w3id.org/biopragmatics/resources/pathbank/pathbank.obo.gz
kegg.genome	https://w3id.org/biopragmatics/resources/kegg.genome/kegg.genome.obo
drugmechdb	
rxnorm	
vccf	https://raw.githubusercontent.com/obophenotype/vccf-ontology/main/vccf.owl
ontobiotope	'https://data.agroportal.lirmm.fr/ontologies/ONTOBIOTOPE/download?apikey=1de0a270-29c5-4dda-b043-7c3580628cd5&download_format=rdf'
nando	'https://data.bioontology.org/ontologies/NANDO/submissions/15/download?apikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb'
ecso	'https://data.bioontology.org/ontologies/ECSO/submissions/64/download?apikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb'
enigma_context	https://raw.githubusercontent.com/jmchandonia/CORAL/main/example/enigma/ontologies/context_measurement_ontology.obo
ontie	https://ontology.iedb.org/file/ontie.owl
ecosim	https://data.bioontology.org/ontologies/ECOSIM/submissions/1/download?apikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb
nmdc_schema	https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/project/owl/nmdc.owl.ttl
mixs	https://raw.githubusercontent.com/GenomicsStandardsConsortium/mixs/main/project/owl/mixs.owl.ttl
kgcl	https://w3id.org/kgcl/kgcl.owl.ttl
fibo	https://spec.edmcouncil.org/fibo/ontology/AboutFIBOProd/
bfo2020	http://purl.obolibrary.org/obo/bfo/2020/bfo.owl
bfo2020_core	http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl
bfo2020_notime	http://purl.obolibrary.org/obo/bfo/2020/notime/bfo.owl
bfo2020_time	https://raw.githubusercontent.com/BFO-ontology/BFO-2020/master/src/owl/profiles/temporal%20extensions/temporalized%20relations/owl/bfo-temporalized-relations.owl
