id	preferredPrefix	title
ado	ADO	Alzheimer's Disease Ontology
afpo	AfPO	African Population Ontology
agro	AGRO	Agronomy Ontology
aism	AISM	Ontology for the Anatomy of the Insect SkeletoMuscular system (AISM)
amphx	AMPHX	The Amphioxus Development and Anatomy Ontology
apo	APO	Ascomycete phenotype ontology
apollo_sv	APOLLO_SV	Apollo Structured Vocabulary
aro	ARO	Antibiotic Resistance Ontology
bco	BCO	Biological Collections Ontology
bfo	BFO	Basic Formal Ontology
bspo	BSPO	Biological Spatial Ontology
bto	BTO	BRENDA tissue / enzyme source
caro	CARO	Common Anatomy Reference Ontology
cdao	CDAO	Comparative Data Analysis Ontology
cdno	CDNO	Compositional Dietary Nutrition Ontology
chebi	CHEBI	Chemical Entities of Biological Interest
cheminf	CHEMINF	Chemical Information Ontology
chiro	CHIRO	CHEBI Integrated Role Ontology
chmo	CHMO	Chemical Methods Ontology
cido	CIDO	Coronavirus Infectious Disease Ontology
cio	CIO	Confidence Information Ontology
cl	CL	Cell Ontology
clao	CLAO	Collembola Anatomy Ontology
clo	CLO	Cell Line Ontology
clyh	CLYH	Clytia hemisphaerica Development and Anatomy Ontology
cmo	CMO	Clinical measurement ontology
cob	COB	Core Ontology for Biology and Biomedicine
colao	COLAO	Coleoptera Anatomy Ontology (COLAO)
cro	CRO	Contributor Role Ontology
cteno	CTENO	Ctenophore Ontology
cto	CTO	CTO: Core Ontology of Clinical Trials
cvdo	CVDO	Cardiovascular Disease Ontology
ddanat	DDANAT	Dictyostelium discoideum anatomy
ddpheno	DDPHENO	Dictyostelium discoideum phenotype ontology
dideo	DIDEO	Drug-drug Interaction and Drug-drug Interaction Evidence Ontology
disdriv	DISDRIV	Disease Drivers Ontology
doid	DOID	Human Disease Ontology
dpo	FBcv	Drosophila Phenotype Ontology
dron	DRON	The Drug Ontology
duo	DUO	Data Use Ontology
ecao	ECAO	The Echinoderm Anatomy and Development Ontology
eco	ECO	Evidence and Conclusion Ontology
ecocore	ECOCORE	An ontology of core ecological entities
ecto	ECTO	Environmental conditions, treatments and exposures ontology
emapa	EMAPA	Mouse Developmental Anatomy Ontology
envo	ENVO	Environment Ontology
epio	EPIO	Epilepsy Ontology
exo	ExO	Exposure ontology
fao	FAO	Fungal gross anatomy
fbbt	FBbt	Drosophila gross anatomy
fbcv	FBcv	FlyBase Controlled Vocabulary
fbdv	FBdv	Drosophila development
fideo	FIDEO	Food Interactions with Drugs Evidence Ontology
flopo	FLOPO	Flora Phenotype Ontology
fobi	FOBI	Food-Biomarker Ontology
foodon	FOODON	Food Ontology
fovt	FOVT	FuTRES Ontology of Vertebrate Traits
fypo	FYPO	Fission Yeast Phenotype Ontology
gallont	GALLONT	Plant Gall Ontology
gecko	GECKO	Genomics Cohorts Knowledge Ontology
genepio	GENEPIO	Genomic Epidemiology Ontology
geno	GENO	Genotype Ontology
geo	GEO	Geographical Entity Ontology
gno	GNO	Glycan Naming and Subsumption Ontology (GNOme)
go	GO	Gene Ontology
hancestro	HANCESTRO	Human Ancestry Ontology
hao	HAO	Hymenoptera Anatomy Ontology
hom	HOM	Homology Ontology
hsapdv	HsapDv	Human Developmental Stages
hso	HSO	Health Surveillance Ontology
htn	HTN	Hypertension Ontology
iao	IAO	Information Artifact Ontology
iceo	ICEO	Integrative and Conjugative Element Ontology
ico	ICO	Informed Consent Ontology
ido	IDO	Infectious Disease Ontology
ino	INO	Interaction Network Ontology
labo	LABO	clinical LABoratory Ontology
lepao	LEPAO	Lepidoptera Anatomy Ontology
ma	MA	Mouse adult gross anatomy
maxo	MAXO	Medical Action Ontology
mco	MCO	Microbial Conditions Ontology
mcro	MCRO	Model Card Report Ontology
mf	MF	Mental Functioning Ontology
mfoem	MFOEM	Emotion Ontology
mfomd	MFOMD	Mental Disease Ontology
mi	MI	Molecular Interactions Controlled Vocabulary
miapa	MIAPA	MIAPA Ontology
mmo	MMO	Measurement method ontology
mmusdv	MmusDv	Mouse Developmental Stages
mod	MOD	Protein modification
mondo	MONDO	Mondo Disease Ontology
mop	MOP	Molecular Process Ontology
mp	MP	Mammalian Phenotype Ontology
mpath	MPATH	Mouse pathology ontology
mpio	MPIO	Minimum PDDI Information Ontology
mro	MRO	MHC Restriction Ontology
ms	MS	Mass spectrometry ontology
nbo	NBO	Neuro Behavior Ontology
ncbitaxon	NCBITaxon	NCBI organismal classification
ncit	NCIT	NCI Thesaurus OBO Edition
