content_value	emp500_usages	predicate_id	object_id	object_label	subject_start	subject_end	match_string	match_string_len	matches_whole_text
Small lake biome	0	rdfs:label	ENVO:00000020	lake	7	10	lake	4	False
Small lake biome	0	oio:hasBroadSynonym	ENVO:00000025	reservoir	7	10	lake	4	False
Small lake biome	0	oio:hasBroadSynonym	ENVO:00000033	pond	7	10	lake	4	False
Small lake biome	0	oio:hasBroadSynonym	ENVO:00000055	saline evaporation pond	7	10	lake	4	False
Small lake biome	0	oio:hasBroadSynonym	ENVO:00000219	landlocked sea	7	10	lake	4	False
Small lake biome	0	oio:hasBroadSynonym	ENVO:00000234	bayou	7	10	lake	4	False
Small lake biome	0	oio:hasRelatedSynonym	ENVO:00000234	bayou	7	10	lake	4	False
Small lake biome	0	oio:hasRelatedSynonym	ENVO:00000268	lake bed	7	10	lake	4	False
Small lake biome	0	oio:hasRelatedSynonym	ENVO:00000270	beaver pond	7	10	lake	4	False
Small lake biome	0	oio:hasBroadSynonym	ENVO:00000277	dry lake	7	10	lake	4	False
Small lake biome	0	oio:hasBroadSynonym	ENVO:00000387	container of an intermittent lake	7	10	lake	4	False
Small lake biome	0	oio:hasBroadSynonym	ENVO:00000435	proglacial lake	7	10	lake	4	False
Small lake biome	0	oio:hasBroadSynonym	ENVO:00000487	paternoster lake	7	10	lake	4	False
Small lake biome	0	oio:hasBroadSynonym	ENVO:00000502	container of an intermittent saline lake	7	10	lake	4	False
Small lake biome	0	oio:hasBroadSynonym	ENVO:00000532	intermittent saline evaporation pond	7	10	lake	4	False
Small lake biome	0	rdfs:label	ENVO:00000428	biome	12	16	biome	5	False
Small lake biome	0	oio:hasRelatedSynonym	PATO:0000587	decreased size	1	5	Small	5	False
host-associated habitat	0	rdfs:label	ENVO:01000739	habitat	17	23	habitat	7	False
intermittent pond	0	rdfs:label	ENVO:00000033	pond	14	17	pond	4	False
intermittent pond	0	oio:hasExactSynonym	ENVO:00000033	pond	14	17	pond	4	False
intermittent pond	0	oio:hasRelatedSynonym	ENVO:00000033	pond	14	17	pond	4	False
intermittent pond	0	oio:hasExactSynonym	ENVO:00000504	container of an intermittent pond	1	17	intermittent pond	17	True
intermittent pond	0	oio:hasRelatedSynonym	PATO:0000690	discontinuous	1	12	intermittent	12	False
coastal water	0	rdfs:label	CHEBI:15377	water	9	13	water	5	False
coastal water	0	oio:hasBroadSynonym	ENVO:00002006	liquid water	9	13	water	5	False
coastal water	0	oio:hasBroadSynonym	ENVO:00002150	coastal sea water	1	13	coastal water	13	True
coastal water	0	rdfs:label	ENVO:01000687	coast	1	5	coast	5	False
bog	0	oio:hasRelatedSynonym	ENVO:00000044	peatland	1	3	bog	3	True
bog	0	oio:hasRelatedSynonym	ENVO:01000527	flush toilet fixture	1	3	bog	3	True
bog	0	oio:hasRelatedSynonym	ENVO:01000534	pour-flush toilet fixture	1	3	bog	3	True
bog	0	oio:hasRelatedSynonym	ENVO:01000535	pour-flush pit latrine	1	3	bog	3	True
bog	0	oio:hasNarrowSynonym	ENVO:01001209	wetland ecosystem	1	3	bog	3	True
oil reservior	0	rdfs:label	ENVO:00002985	oil	1	3	oil	3	False
oil reservior	0	rdfs:label	FOODON:03310387	oil	1	3	oil	3	False
temperate shrubland	0	oio:hasRelatedSynonym	ENVO:00000109	woodland area	11	15	shrub	5	False
temperate shrubland	0	oio:hasRelatedSynonym	ENVO:00000300	scrubland area	11	19	shrubland	9	False
temperate shrubland	0	rdfs:label	ENVO:01000206	temperate	1	9	temperate	9	False
wetland	0	oio:hasBroadSynonym	ENVO:00000035	marsh	1	7	wetland	7	True
wetland	0	oio:hasBroadSynonym	ENVO:00000044	peatland	1	7	wetland	7	True
wetland	0	oio:hasBroadSynonym	ENVO:00000054	saline marsh	1	7	wetland	7	True
wetland	0	oio:hasRelatedSynonym	ENVO:00000107	heath	1	7	wetland	7	True
wetland	0	oio:hasBroadSynonym	ENVO:00000157	peat cut	1	7	wetland	7	True
wetland	0	oio:hasBroadSynonym	ENVO:00000185	raised mire	1	7	wetland	7	True
wetland	0	oio:hasBroadSynonym	ENVO:00000186	string mire	1	7	wetland	7	True
wetland	0	oio:hasBroadSynonym	ENVO:00000192	mudflat	1	7	wetland	7	True
wetland	0	oio:hasBroadSynonym	ENVO:00000232	fen	1	7	wetland	7	True
wetland	0	oio:hasBroadSynonym	ENVO:00000233	swamp ecosystem	1	7	wetland	7	True
wetland	0	oio:hasBroadSynonym	ENVO:00000241	tidal mudflat	1	7	wetland	7	True
wetland	0	oio:hasBroadSynonym	ENVO:00000472	backwater	1	7	wetland	7	True
wetland	0	oio:hasBroadSynonym	ENVO:00000511	blanket bog	1	7	wetland	7	True
wetland	0	oio:hasExactSynonym	ENVO:01001209	wetland ecosystem	1	7	wetland	7	True
wetland	0	oio:hasExactSynonym	ENVO:01001209	wetland ecosystem	1	7	wetland	7	True
wetland	0	oio:hasRelatedSynonym	ENVO:03501370	stagnant water	1	3	wet	3	False
wetland	0	rdfs:label	PATO:0001823	wet	1	3	wet	3	False
forest	0	oio:hasRelatedSynonym	ENVO:00000111	forested area	1	6	forest	6	True
pitcher plant fluid	0	oio:hasRelatedSynonym	ENVO:01000460	asphalt	1	5	pitch	5	False
pitcher plant fluid	0	rdfs:label	ENVO:01001871	pit	1	3	pit	3	False
pitcher plant fluid	0	oio:hasNarrowSynonym	ENVO:02000140	fluid environmental material	15	19	fluid	5	False
pitcher plant fluid	0	oio:hasBroadSynonym	UBERON:0006314	bodily fluid	15	19	fluid	5	False
flooded savanna	0	rdfs:label	ENVO:00000261	savanna	9	15	savanna	7	False
flooded savanna	0	oio:hasExactSynonym	ENVO:00000261	savanna	9	15	savanna	7	False
flooded savanna	0	rdfs:label	ENVO:01000710	flood	1	5	flood	5	False
neritic bathypelagic zone biome	0	rdfs:label	ENVO:00000428	biome	27	31	biome	5	False
neritic bathypelagic zone biome	0	oio:hasRelatedSynonym	ENVO:01000991	bathtub fixture	9	12	bath	4	False
temperate coniferous forest	0	oio:hasRelatedSynonym	ENVO:00000109	woodland area	11	27	coniferous forest	17	False
temperate coniferous forest	0	oio:hasBroadSynonym	ENVO:01000383	temperate evergreen needleleaf forest	11	27	coniferous forest	17	False
temperate coniferous forest	0	oio:hasBroadSynonym	ENVO:01000386	temperate deciduous needleleaf forest	11	27	coniferous forest	17	False
temperate coniferous forest	0	oio:hasRelatedSynonym	ENVO:01000390	temperate mixed needleleaf forest	11	27	coniferous forest	17	False
temperate coniferous forest	0	oio:hasBroadSynonym	ENVO:01000399	tropical needleleaf forest	11	27	coniferous forest	17	False
temperate coniferous forest	0	oio:hasRelatedSynonym	ENVO:01000401	tropical mixed needleleaf forest	11	27	coniferous forest	17	False
temperate coniferous forest	0	oio:hasExactSynonym	ENVO:01000433	needleleaf forest	11	27	coniferous forest	17	False
temperate coniferous forest	0	oio:hasRelatedSynonym	ENVO:00000111	forested area	22	27	forest	6	False
temperate coniferous forest	0	rdfs:label	ENVO:01000206	temperate	1	9	temperate	9	False
cropland	0	oio:hasRelatedSynonym	ENVO:00000011	garden	1	8	cropland	8	True
cropland	0	oio:hasRelatedSynonym	ENVO:00000114	agricultural field	1	8	cropland	8	True
cropland	0	oio:hasBroadSynonym	ENVO:00000115	orchard	1	8	cropland	8	True
cropland	0	oio:hasBroadSynonym	ENVO:00000116	vineyard	1	8	cropland	8	True
cropland	0	oio:hasRelatedSynonym	ENVO:00000117	plantation	1	8	cropland	8	True
cropland	0	oio:hasRelatedSynonym	ENVO:00000296	rice field	1	8	cropland	8	True
cropland	0	oio:hasNarrowSynonym	ENVO:01000311	cultivated environment	1	8	cropland	8	True
cropland	0	oio:hasRelatedSynonym	ENVO:01000311	cultivated environment	1	8	cropland	8	True
rangeland	0	oio:hasRelatedSynonym	ENVO:00000264	seamount	1	5	range	5	False
rangeland	0	oio:hasRelatedSynonym	ENVO:01000311	cultivated environment	1	5	range	5	False
temperate woodland	0	oio:hasBroadSynonym	ENVO:00000057	mangrove swamp	11	18	woodland	8	False
temperate woodland	0	oio:hasRelatedSynonym	ENVO:00000301	chaparral area	11	18	woodland	8	False
temperate woodland	0	oio:hasRelatedSynonym	ENVO:00000109	woodland area	11	14	wood	4	False
temperate woodland	0	oio:hasRelatedSynonym	ENVO:00000111	forested area	11	14	wood	4	False
temperate woodland	0	oio:hasRelatedSynonym	ENVO:00000118	coconut plantation	11	14	wood	4	False
temperate woodland	0	oio:hasRelatedSynonym	ENVO:00000193	olive grove	11	14	wood	4	False
temperate woodland	0	rdfs:label	ENVO:00002040	wood	11	14	wood	4	False
temperate woodland	0	rdfs:label	ENVO:01000206	temperate	1	9	temperate	9	False
montane desert	0	oio:hasBroadSynonym	ENVO:00000172	sandy desert	9	14	desert	6	False
montane desert	0	oio:hasBroadSynonym	ENVO:00000173	rocky desert	9	14	desert	6	False
montane desert	0	oio:hasBroadSynonym	ENVO:00000183	stony desert	9	14	desert	6	False
montane desert	0	oio:hasRelatedSynonym	ENVO:00000315	bajada	9	14	desert	6	False
montane desert	0	rdfs:label	ENVO:01001357	desert	9	14	desert	6	False
montane desert	0	rdfs:label	ENVO:01000342	montane	1	7	montane	7	False
stratum	0	oio:hasBroadSynonym	ENVO:01000282	sedimentary stratum	1	7	stratum	7	True
