id,accession,elevation,soil_moisture_ave,soil_temp_ave,ph,raw_latitude,raw_longitude,latitude,longitude,cluster,inferred_ecosystem,inferred_curie,inferred_label
17119136,SAMEA7724107,1741,12.26666667,29.66666667,7.3,51.199444,100.928611,51.199444,100.928611,1,Grassland,ENVO:01000194,montane grassland biome
17119137,SAMEA7724108,1741,8.166666667,27.7,7,51.199444,100.928611,51.199444,100.928611,1,Grassland,ENVO:01000194,montane grassland biome
17119138,SAMEA7724109,1741,10.43333333,30,7.1,51.199444,100.928611,51.199444,100.928611,1,Grassland,ENVO:01000194,montane grassland biome
17119139,SAMEA7724110,1741,11.63333333,30.76666667,7.25,51.199444,100.928611,51.199444,100.928611,1,Grassland,ENVO:01000194,montane grassland biome
17119140,SAMEA7724111,1747,8.2,33.33333333,7.2,51.169444,100.975,51.169444,100.975,0,Shrubland,ENVO:01000216,montane shrubland biome
17119141,SAMEA7724112,1747,6.133333333,31.2,7,51.169444,100.975,51.169444,100.975,0,Shrubland,ENVO:01000216,montane shrubland biome
17119142,SAMEA7724113,1747,5.5,31.8,7.1,51.169444,100.975,51.169444,100.975,0,Shrubland,ENVO:01000216,montane shrubland biome
17119143,SAMEA7724114,1747,9.5,31.93333333,7.25,51.169444,100.975,51.169444,100.975,0,Shrubland,ENVO:01000216,montane shrubland biome
17119144,SAMEA7724115,1735,7.466666667,34.4,6.95,51.162222,100.982222,51.162222,100.982222,2,Shrubland,ENVO:01000216,montane shrubland biome
17119145,SAMEA7724116,1735,9.9,30.63333333,7.23,51.162222,100.982222,51.162222,100.982222,2,Shrubland,ENVO:01000216,montane shrubland biome
17119146,SAMEA7724117,1735,5.9,35.73333333,6.77,51.162222,100.982222,51.162222,100.982222,2,Shrubland,ENVO:01000216,montane shrubland biome
17119147,SAMEA7724118,1735,9,29.53333333,6.95,51.162222,100.982222,51.162222,100.982222,2,Shrubland,ENVO:01000216,montane shrubland biome
