Accession,Submitter Id,collection_timestamp,depth_sample,elevation,emp500_principal_investigator,emp500_study_id,emp500_title,empo_2,empo_3,broad-scale environmental context,local-scale environmental context,environmental package,environmental medium,geographic location,latitude,longitude,project name,sample name,sample type,sample_info_free_text,sampling method,study_sample_number,site description,empo_0,empo_1,gcms_analysis_batch,gcms_run_location,gcms_sample_name,host subject id,lcms_extraction_protocol,original sample id,physical_specimen_remaining,read_count_shotgun_r1,read_count_shotgun_rep200,read_count_shotgun_woltka_uniq,sample_name_original,sample_name_plus_plate
SAMEA7723417,qiita_sid_13114:13114.jensen.43.s001,6/6/10,15,0,Jensen,43,Ocean sediments,Saline,Sediment (saline),marine benthic biome,sediment,sediment,marine sediment,"Atlantic Ocean:Northeast Atlantic Ocean,Azores",25.13323,-36.94063,Jensen sediments from global ocean,qiita_sid_13114:13114.jensen.43.s001,sediment,Surface sediment,bulk,1,,EMP sample,Free-living,note applicable,UCSD,EMP_Feces_jensen_43_s001_a03_M_100,AZ10-86,Bulk_201901_UCSD,Jensen43.AZ10.86,TRUE,8054122,9354,3540,Jensen43.AZ10.86,3.Jensen43.AZ10.86
SAMEA7723894,qiita_sid_13114:13114.jensen.43.s002,6/9/10,15,0,Jensen,43,Ocean sediments,Saline,Sediment (saline),marine benthic biome,sediment,sediment,marine sediment,"Atlantic Ocean:Northeast Atlantic Ocean,Azores",25.26693,-37.74444,Jensen sediments from global ocean,qiita_sid_13114:13114.jensen.43.s002,sediment,Surface sediment,bulk,2,,,,,,,,,,,,,,,
SAMEA7723419,qiita_sid_13114:13114.jensen.43.s005,9/5/15,1,0,Jensen,43,Ocean sediments,Saline,Sediment (saline),marine benthic biome,mangrove,sediment,marine sediment,"Atlantic Ocean:Northwest Atlantic Ocean,Belize",16.82583,-88.1068,Jensen sediments from global ocean,qiita_sid_13114:13114.jensen.43.s005,sediment,Surface sediment,bulk,5,mangrove,EMP sample,Free-living,note applicable,UCSD,EMP_Feces_jensen_43_s005_a03_M_104,BZ15-13,Bulk_201901_UCSD,Jensen43.BZ15.13,TRUE,1832829,9600,5930,Jensen43.BZ15.13,4.Jensen43.BZ15.13
SAMEA7723420,qiita_sid_13114:13114.jensen.43.s006,9/6/15,6,0,Jensen,43,Ocean sediments,Saline,Sediment (saline),marine benthic biome,lagoon,sediment,marine sediment,"Atlantic Ocean:Northwest Atlantic Ocean,Belize",16.79556,-88.1225,Jensen sediments from global ocean,qiita_sid_13114:13114.jensen.43.s006,sediment,Surface sediment,bulk,6,lagoon,EMP sample,Free-living,note applicable,UCSD,EMP_Feces_jensen_43_s006_a03_M_105,BZ15-16,Bulk_201901_UCSD,Jensen43.BZ15.16,TRUE,12091709,12285,4358,Jensen43.BZ15.16,3.Jensen43.BZ15.16
SAMEA7723898,qiita_sid_13114:13114.jensen.43.s012,7/2/12,15,0,Jensen,43,Ocean sediments,Saline,Sediment (saline),marine benthic biome,marine subtidal rocky reef,sediment,marine sediment,"Atlantic Ocean:Northwest Atlantic Ocean,Mexican Yucatan",21.02361,-86.77158,Jensen sediments from global ocean,qiita_sid_13114:13114.jensen.43.s012,sediment,Surface sediment,bulk,12,rocky reef,,,,,,,,,,,,,,
SAMEA7723423,qiita_sid_13114:13114.jensen.43.s013,7/4/12,15,0,Jensen,43,Ocean sediments,Saline,Sediment (saline),marine benthic biome,marine reef,sediment,marine sediment,"Atlantic Ocean:Northwest Atlantic Ocean,Mexican Yucatan",20.33194,-87.02712,Jensen sediments from global ocean,qiita_sid_13114:13114.jensen.43.s013,sediment,Surface sediment,bulk,13,fore reef,EMP sample,Free-living,note applicable,UCSD,EMP_Feces_jensen_43_s013_a03_M_111,MX12-213,Bulk_201901_UCSD,Jensen43.MX12.213,TRUE,2366988,3127,812,Jensen43.MX12.213,4.Jensen43.MX12.213
SAMEA7723424,qiita_sid_13114:13114.jensen.43.s014,7/5/10,15,0,Jensen,43,Ocean sediments,Saline,Sediment (saline),marine benthic biome,marine reef,sediment,marine sediment,"Atlantic Ocean:Northwest Atlantic Ocean,Mexican Yucatan",18.75917,-87.34052,Jensen sediments from global ocean,qiita_sid_13114:13114.jensen.43.s014,sediment,Surface sediment,bulk,14,patch reef,EMP sample,Free-living,,,,MX12-236,Bulk_201901_UCSD,Jensen43.MX12.236,TRUE,1385957,4636,3235,Jensen43.MX12.236,1.Jensen43.MX12.236
SAMEA7723895,qiita_sid_13114:13114.jensen.43.s003,7/4/10,16,0,Jensen,43,Ocean sediments,Saline,Sediment (saline),marine benthic biome,marine reef,sediment,marine sediment,"Atlantic Ocean:Northwest Atlantic Ocean,The Bahamas",26.52667,-77.8647,Jensen sediments from global ocean,qiita_sid_13114:13114.jensen.43.s003,sediment,Surface sediment,bulk,3,spur and groove,,,,,,,,,,,,,,
SAMEA7723418,qiita_sid_13114:13114.jensen.43.s004,7/5/10,26,0,Jensen,43,Ocean sediments,Saline,Sediment (saline),marine benthic biome,marine reef,sediment,marine sediment,"Atlantic Ocean:Northwest Atlantic Ocean,The Bahamas",26.56389,-77.89056,Jensen sediments from global ocean,qiita_sid_13114:13114.jensen.43.s004,sediment,Surface sediment,bulk,4,spur and groove,EMP sample,Free-living,note applicable,UCSD,EMP_Feces_jensen_43_s004_a03_M_103,BA10-263,Bulk_201901_UCSD,Jensen43.BA10.263,TRUE,9512844,13295,4891,Jensen43.BA10.263,1.Jensen43.BA10.263
SAMEA7723896,qiita_sid_13114:13114.jensen.43.s007,7/8/12,300,0,Jensen,43,Ocean sediments,Saline,Sediment (saline),marine benthic biome,mud,sediment,marine sediment,"Pacific Ocean:Northeast Pacific Ocean,San Diego coastal",32.81,-117.4681,Jensen sediments from global ocean,qiita_sid_13114:13114.jensen.43.s007,sediment,Sediment core 1-2 cm,bulk,7,mud,,,,,,,,,,,,,,
SAMEA7723421,qiita_sid_13114:13114.jensen.43.s008,7/5/12,700,0,Jensen,43,Ocean sediments,Saline,Sediment (saline),marine benthic biome,mud,sediment,marine sediment,"Pacific Ocean:Northeast Pacific Ocean,San Diego coastal",32.81,-117.4509,Jensen sediments from global ocean,qiita_sid_13114:13114.jensen.43.s008,sediment,Sediment core 0-1 cm,bulk,8,mud,EMP sample,Free-living,note applicable,UCSD,EMP_Feces_jensen_43_s008_a03_M_106,MCO700-17.1,Swabs_201901_UCSD,Jensen43.MCO700.17.1,TRUE,1224977,4850,4565,Jensen43.MCO700.17.1,5.Jensen43.MCO700.17.1
