accession	biosampleGoldId	ncbiBioProjectAccession	sraExperimentIds	modDate	addDate	ecosystemPathId	ecosystem	ecosystemCategory	ecosystemType	ecosystemSubtype	specificEcosystem	envoBroadScale_id	envoBroadScale_label	envoBroadScale_label_lu	envoBroadScale_label_exact_match	envoBroadScale_biome	envoLocalScale_id	envoLocalScale_label	envoLocalScale_label_lu	envoLocalScale_label_exact_match	envoLocalScale_abp_subset	envoMedium_id	envoMedium_label	envoMedium_label_lu	envoMedium_label_exact_match	envoMedium_env_mat	envoMedium_soil	envoMedium_liq_water	envoMedium_sediment	envoMedium_fecal_material	envoMedium_animal_manure	envoMedium_bodily_fluid_material	envoMedium_sludge	envoMedium_petroleum	envoMedium_accounted_for	env_broad_scale	env_broad_scale_matched_curie	env_broad_scale_matched_label	env_broad_scale_replacement_curie	env_broad_scale_replacement_label	env_broad_scale_via_obsolescence	is_biome	env_broad_scale_curation_curie	env_broad_scale_curation_label	env_local_scale	env_local_scale_matched_curie	env_local_scale_matched_label	env_local_scale_replacement_curie	env_local_scale_replacement_label	env_local_scale_via_obsolescence	is_selected_abp	env_local_scale_curation_curie	env_local_scale_curation_label	env_medium	env_medium_matched_curie	env_medium_matched_label	env_medium_replacement_curie	env_medium_replacement_label	env_medium_via_obsolescence	is_env_mat	env_medium_curation_curie	env_medium_curation_label
SAMEA7723388	Gb0315434	PRJEB42019	ERX4803377|ERX4803809|ERX4804038|ERX4804848|ERX4805483|ERX4805911|ERX4806485|ERX4806873|ERX4807442|ERX4807655|ERX4807845|ERX4811006|ERX4812286|ERX4812858|ERX4813645	2025-01-29	2022-04-01	5482	Engineered	Bioreactor	Anaerobic	Sludge	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00002124	anaerobic bioreactor	anaerobic bioreactor	True	False	ENVO:00002129	anaerobic sludge	anaerobic sludge	True	True	False	False	False	False	False	False	True	False	True	urban biome	ENVO:01000249	urban biome				True			anaerobic bioreactor	ENVO:00002124	anaerobic bioreactor				False			anaerobic sludge	ENVO:00002129	anaerobic sludge				True		
SAMEA7723389	Gb0315435	PRJEB42019	ERX4803378|ERX4803588|ERX4803810|ERX4804039|ERX4805254|ERX4805484|ERX4806486|ERX4806689|ERX4807270|ERX4807443|ERX4807746|ERX4811007|ERX4812287|ERX4812859|ERX4813646	2025-01-29	2022-04-01	5482	Engineered	Bioreactor	Anaerobic	Sludge	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00002124	anaerobic bioreactor	anaerobic bioreactor	True	False	ENVO:00002129	anaerobic sludge	anaerobic sludge	True	True	False	False	False	False	False	False	True	False	True	urban biome	ENVO:01000249	urban biome				True			anaerobic bioreactor	ENVO:00002124	anaerobic bioreactor				False			anaerobic sludge	ENVO:00002129	anaerobic sludge				True		
SAMEA7723390	Gb0315436	PRJEB42019	ERX4803379|ERX4803811|ERX4804040|ERX4804849|ERX4805485|ERX4805912|ERX4806487|ERX4806874|ERX4807444|ERX4807656|ERX4807846|ERX4811010|ERX4812290|ERX4812860|ERX4813647	2025-01-29	2022-04-01	5482	Engineered	Bioreactor	Anaerobic	Sludge	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00002124	anaerobic bioreactor	anaerobic bioreactor	True	False	ENVO:00002129	anaerobic sludge	anaerobic sludge	True	True	False	False	False	False	False	False	True	False	True	urban biome	ENVO:01000249	urban biome				True			anaerobic bioreactor	ENVO:00002124	anaerobic bioreactor				False			anaerobic sludge	ENVO:00002129	anaerobic sludge				True		
SAMEA7723391	Gb0315437	PRJEB42019	ERX4803380|ERX4803812|ERX4804042|ERX4804851|ERX4805487|ERX4805914|ERX4806488|ERX4806876|ERX4807445|ERX4807657|ERX4807847|ERX4811012|ERX4812292|ERX4812862|ERX4813649	2025-01-29	2022-04-01	5482	Engineered	Bioreactor	Anaerobic	Sludge	Unclassified	ENVO:01000249	urban biome	urban biome	True	True	ENVO:00002124	anaerobic bioreactor	anaerobic bioreactor	True	False	ENVO:00002129	anaerobic sludge	anaerobic sludge	True	True	False	False	False	False	False	False	True	False	True	urban biome	ENVO:01000249	urban biome				True			anaerobic bioreactor	ENVO:00002124	anaerobic bioreactor				False			anaerobic sludge	ENVO:00002129	anaerobic sludge				True		
SAMEA7723392	Gb0315745	PRJEB42019	ERX4803381|ERX4803813|ERX4804046|ERX4804854|ERX4805491|ERX4805917|ERX4806489|ERX4806879|ERX4807446|ERX4807658|ERX4807848|ERX4811018|ERX4812298|ERX4812866|ERX4813653	2025-01-29	2022-04-01	4426	Environmental	Aquatic	Freshwater	Lake	Sediment	ENVO:00000892	small lake biome	small freshwater lake biome	False	True	ENVO:00000512	pond bed	pond bed	True	True	ENVO:00000546	lake sediment	lake sediment	True	True	False	False	True	False	False	False	False	False	True	Small lake biome						False	ENVO:00000892	small freshwater lake biome	pond bed	ENVO:00000512	pond bed				True			lake sediment	ENVO:00000546	lake sediment				True		
SAMEA7723393	Gb0315746	PRJEB42019	ERX4803382|ERX4803814|ERX4804049|ERX4804857|ERX4805494|ERX4805920|ERX4806490|ERX4806882|ERX4807447|ERX4807935|ERX4811021|ERX4812301|ERX4812869|ERX4813656	2025-01-29	2022-04-01	4426	Environmental	Aquatic	Freshwater	Lake	Sediment	ENVO:00000892	small lake biome	small freshwater lake biome	False	True	ENVO:00000512	pond bed	pond bed	True	True	ENVO:00000546	lake sediment	lake sediment	True	True	False	False	True	False	False	False	False	False	True	Small lake biome						False	ENVO:00000892	small freshwater lake biome	pond bed	ENVO:00000512	pond bed				True			lake sediment	ENVO:00000546	lake sediment				True		
SAMEA7723394	Gb0315747	PRJEB42019	ERX4803383|ERX4803590|ERX4803815|ERX4804050|ERX4805256|ERX4805495|ERX4806491|ERX4806691|ERX4807272|ERX4807448|ERX4809669|ERX4811022|ERX4812302|ERX4812870|ERX4813657	2025-01-29	2022-04-01	4426	Environmental	Aquatic	Freshwater	Lake	Sediment	ENVO:00000892	small lake biome	small freshwater lake biome	False	True	ENVO:00000512	pond bed	pond bed	True	True	ENVO:00000546	lake sediment	lake sediment	True	True	False	False	True	False	False	False	False	False	True	Small lake biome						False	ENVO:00000892	small freshwater lake biome	pond bed	ENVO:00000512	pond bed				True			lake sediment	ENVO:00000546	lake sediment				True		
SAMEA7723395	Gb0315748	PRJEB42019	ERX4803384|ERX4803591|ERX4803816|ERX4804051|ERX4805257|ERX4805496|ERX4806492|ERX4806692|ERX4807273|ERX4807449|ERX4807659|ERX4807849|ERX4811023|ERX4812303|ERX4812871|ERX4813658	2025-01-29	2022-04-01	4426	Environmental	Aquatic	Freshwater	Lake	Sediment	ENVO:00000892	small lake biome	small freshwater lake biome	False	True	ENVO:00000512	pond bed	pond bed	True	True	ENVO:00000546	lake sediment	lake sediment	True	True	False	False	True	False	False	False	False	False	True	Small lake biome						False	ENVO:00000892	small freshwater lake biome	pond bed	ENVO:00000512	pond bed				True			lake sediment	ENVO:00000546	lake sediment				True		
SAMEA7723396	Gb0315749	PRJEB42019	ERX4803385|ERX4803592|ERX4803817|ERX4804052|ERX4805258|ERX4805497|ERX4806493|ERX4807274|ERX4807450|ERX4809769|ERX4811024|ERX4812304|ERX4812872|ERX4813659	2025-01-29	2022-04-01	4426	Environmental	Aquatic	Freshwater	Lake	Sediment	ENVO:00000892	small lake biome	small freshwater lake biome	False	True	ENVO:00000512	pond bed	pond bed	True	True	ENVO:00000546	lake sediment	lake sediment	True	True	False	False	True	False	False	False	False	False	True	Small lake biome						False	ENVO:00000892	small freshwater lake biome	pond bed	ENVO:00000512	pond bed				True			lake sediment	ENVO:00000546	lake sediment				True		
SAMEA7723397	Gb0315750	PRJEB42019	ERX4803386|ERX4803593|ERX4803818|ERX4804053|ERX4805259|ERX4805498|ERX4806494|ERX4806693|ERX4807275|ERX4807451|ERX4807749|ERX4811025|ERX4812305|ERX4812873|ERX4813660	2025-01-29	2022-04-01	4426	Environmental	Aquatic	Freshwater	Lake	Sediment	ENVO:00000892	small lake biome	small freshwater lake biome	False	True	ENVO:00000512	pond bed	pond bed	True	True	ENVO:00000546	lake sediment	lake sediment	True	True	False	False	True	False	False	False	False	False	True	Small lake biome						False	ENVO:00000892	small freshwater lake biome	pond bed	ENVO:00000512	pond bed				True			lake sediment	ENVO:00000546	lake sediment				True		
SAMEA7723398	Gb0315751	PRJEB42019	ERX4803387|ERX4803819|ERX4804061|ERX4804861|ERX4805506|ERX4805924|ERX4806495|ERX4806886|ERX4807452|ERX4807938|ERX4811033|ERX4812313|ERX4812881|ERX4813668	2025-01-29	2022-04-01	4426	Environmental	Aquatic	Freshwater	Lake	Sediment	ENVO:00000892	small lake biome	small freshwater lake biome	False	True	ENVO:00000512	pond bed	pond bed	True	True	ENVO:00000546	lake sediment	lake sediment	True	True	False	False	True	False	False	False	False	False	True	Small lake biome						False	ENVO:00000892	small freshwater lake biome	pond bed	ENVO:00000512	pond bed				True			lake sediment	ENVO:00000546	lake sediment				True		
SAMEA7723399	Gb0297313	PRJEB42019	ERX4803388|ERX4803820|ERX4804078|ERX4804872|ERX4805523|ERX4805934|ERX4806496|ERX4806897|ERX4807453|ERX4809675|ERX4811049|ERX4812328|ERX4812898|ERX4813685	2025-01-29	2021-07-24	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	marine salt marsh biome	True	True	ENVO:01000024	marine benthic biome	marine benthic biome	True	False	ENVO:03000033	marine sediment	marine sediment	True	True	False	False	True	False	False	False	False	False	True	marine salt marsh biome	ENVO:01000022	marine salt marsh biome				True			marine benthic feature						False			marine sediment	ENVO:03000033	marine sediment				True		
SAMEA7723400	Gb0297314	PRJEB42019	ERX4803389|ERX4803821|ERX4804081|ERX4804875|ERX4805526|ERX4805937|ERX4806497|ERX4806900|ERX4807454|ERX4807942|ERX4811052|ERX4812331|ERX4812901|ERX4813688	2025-01-29	2021-07-24	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	marine salt marsh biome	True	True	ENVO:01000024	marine benthic biome	marine benthic biome	True	False	ENVO:03000033	marine sediment	marine sediment	True	True	False	False	True	False	False	False	False	False	True	marine salt marsh biome	ENVO:01000022	marine salt marsh biome				True			marine benthic feature						False			marine sediment	ENVO:03000033	marine sediment				True		
