accession	problematic_key	problematic_value	consider_replacements
SAMEA7723392	env_broad_scale	Small lake biome	
SAMEA7723393	env_broad_scale	Small lake biome	
SAMEA7723394	env_broad_scale	Small lake biome	
SAMEA7723395	env_broad_scale	Small lake biome	
SAMEA7723396	env_broad_scale	Small lake biome	
SAMEA7723397	env_broad_scale	Small lake biome	
SAMEA7723398	env_broad_scale	Small lake biome	
SAMEA7723399	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723400	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723401	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723402	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723403	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723404	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723405	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7723406	env_local_scale	host-associated habitat	
SAMEA7723407	env_local_scale	host-associated habitat	
SAMEA7723408	env_local_scale	host-associated habitat	
SAMEA7723409	env_local_scale	host-associated habitat	
SAMEA7723410	env_local_scale	animal-associated habitat	
SAMEA7723411	env_local_scale	animal-associated habitat	
SAMEA7723412	env_local_scale	animal-associated habitat	
SAMEA7723413	env_local_scale	animal-associated habitat	
SAMEA7723414	env_local_scale	animal-associated habitat	
SAMEA7723415	env_local_scale	animal-associated habitat	
SAMEA7723416	env_local_scale	animal-associated habitat	
SAMEA7723419	env_local_scale	mangrove	
