studyGoldId	biosampleGoldId	ncbiBioProjectAccession	ncbiBioSampleAccession	ncbi_bioproject_accession	ncbi_biosample_accession	env_broad_scale	env_local_scale	env_medium	ecosystemPathId	ecosystem	ecosystemCategory	ecosystemType	ecosystemSubtype	specificEcosystem	envoBroadScale.id	envoBroadScale.label	envoLocalScale.id	envoLocalScale.label	envoMedium.id	envoMedium.label	bad_ebs	bad_em	cosine_distance_broad_scale	cosine_distance_local_scale	cosine_distance_medium
Gs0154244	Gb0239864	PRJEB42019	SAMEA7723944	PRJEB42019	SAMEA7723944	tundra biome	glacier	soil	4745	Environmental	Terrestrial	Soil	Glacier	Unclassified	ENVO:01000339	polar biome	ENVO:00000133	glacier	ENVO:00001998	soil	False	False	0.3036893761772086	0.0	0.0
Gs0154244	Gb0239918	PRJEB42019	SAMEA7724297	PRJEB42019	SAMEA7724297	anthropogenic terrestrial biome	anthropogenic contamination feature	soil	4212	Environmental	Terrestrial	Soil	Unclassified	Unclassified	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00002204	anthropogenic contamination feature	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239919	PRJEB42019	SAMEA7724298	PRJEB42019	SAMEA7724298	anthropogenic terrestrial biome	anthropogenic contamination feature	soil	4212	Environmental	Terrestrial	Soil	Unclassified	Unclassified	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00002204	anthropogenic contamination feature	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239920	PRJEB42019	SAMEA7724299	PRJEB42019	SAMEA7724299	anthropogenic terrestrial biome	anthropogenic contamination feature	soil	4212	Environmental	Terrestrial	Soil	Unclassified	Unclassified	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00002204	anthropogenic contamination feature	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239921	PRJEB42019	SAMEA7724300	PRJEB42019	SAMEA7724300	anthropogenic terrestrial biome	anthropogenic contamination feature	soil	4212	Environmental	Terrestrial	Soil	Unclassified	Unclassified	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00002204	anthropogenic contamination feature	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239922	PRJEB42019	SAMEA7724301	PRJEB42019	SAMEA7724301	anthropogenic terrestrial biome	anthropogenic contamination feature	soil	4212	Environmental	Terrestrial	Soil	Unclassified	Unclassified	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00002204	anthropogenic contamination feature	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239923	PRJEB42019	SAMEA7724302	PRJEB42019	SAMEA7724302	anthropogenic terrestrial biome	anthropogenic contamination feature	soil	4212	Environmental	Terrestrial	Soil	Unclassified	Unclassified	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00002204	anthropogenic contamination feature	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239924	PRJEB42019	SAMEA7724303	PRJEB42019	SAMEA7724303	anthropogenic terrestrial biome	anthropogenic contamination feature	soil	4212	Environmental	Terrestrial	Soil	Unclassified	Unclassified	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00002204	anthropogenic contamination feature	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239925	PRJEB42019	SAMEA7724304	PRJEB42019	SAMEA7724304	anthropogenic terrestrial biome	anthropogenic contamination feature	soil	4212	Environmental	Terrestrial	Soil	Unclassified	Unclassified	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00002204	anthropogenic contamination feature	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239926	PRJEB42019	SAMEA7724305	PRJEB42019	SAMEA7724305	anthropogenic terrestrial biome	anthropogenic contamination feature	soil	4212	Environmental	Terrestrial	Soil	Unclassified	Unclassified	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00002204	anthropogenic contamination feature	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239927	PRJEB42019	SAMEA7724306	PRJEB42019	SAMEA7724306	anthropogenic terrestrial biome	anthropogenic contamination feature	soil	4212	Environmental	Terrestrial	Soil	Unclassified	Unclassified	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00002204	anthropogenic contamination feature	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239928	PRJEB42019	SAMEA7723945	PRJEB42019	SAMEA7723945	tundra biome	glacier	soil	4745	Environmental	Terrestrial	Soil	Glacier	Unclassified	ENVO:01000339	polar biome	ENVO:00000133	glacier	ENVO:00001998	soil	False	False	0.3036893761772086	0.0	0.0
Gs0154244	Gb0239929	PRJEB42019	SAMEA7723946	PRJEB42019	SAMEA7723946	tundra biome	glacier	soil	4745	Environmental	Terrestrial	Soil	Glacier	Unclassified	ENVO:01000339	polar biome	ENVO:00000133	glacier	ENVO:00001998	soil	False	False	0.3036893761772086	0.0	0.0
Gs0154244	Gb0239930	PRJEB42019	SAMEA7723947	PRJEB42019	SAMEA7723947	tundra biome	glacier	soil	4745	Environmental	Terrestrial	Soil	Glacier	Unclassified	ENVO:01000339	polar biome	ENVO:00000133	glacier	ENVO:00001998	soil	False	False	0.3036893761772086	0.0	0.0
Gs0154244	Gb0239931	PRJEB42019	SAMEA7723948	PRJEB42019	SAMEA7723948	tundra biome	glacier	soil	4745	Environmental	Terrestrial	Soil	Glacier	Unclassified	ENVO:01000339	polar biome	ENVO:00000133	glacier	ENVO:00001998	soil	False	False	0.3036893761772086	0.0	0.0
Gs0154244	Gb0239932	PRJEB42019	SAMEA7723949	PRJEB42019	SAMEA7723949	tundra biome	glacier	soil	4745	Environmental	Terrestrial	Soil	Glacier	Unclassified	ENVO:01000339	polar biome	ENVO:00000133	glacier	ENVO:00001998	soil	False	False	0.3036893761772086	0.0	0.0
Gs0154244	Gb0239933	PRJEB42019	SAMEA7723477	PRJEB42019	SAMEA7723477	tundra biome	glacier	soil	4745	Environmental	Terrestrial	Soil	Glacier	Unclassified	ENVO:01000339	polar biome	ENVO:00000133	glacier	ENVO:00001998	soil	False	False	0.3036893761772086	0.0	0.0
Gs0154244	Gb0239934	PRJEB42019	SAMEA7723478	PRJEB42019	SAMEA7723478	tundra biome	glacier	soil	4745	Environmental	Terrestrial	Soil	Glacier	Unclassified	ENVO:01000339	polar biome	ENVO:00000133	glacier	ENVO:00001998	soil	False	False	0.3036893761772086	0.0	0.0
