biosampleGoldId	addDate	altitudeInMeters	altitudeInMeters2	biosampleName	dateCollected	depthInMeters	depthInMeters2	description	ecosystem	ecosystemCategory	ecosystemPathId	ecosystemSubtype	ecosystemType	elevationInMeters	elevationInMeters2	envoBroadScale.id	envoBroadScale.id.canonical_curie	envoBroadScale.id.canonical_label	envoBroadScale.id.obsolete	envoBroadScale.label	envoLocalScale.id	envoLocalScale.id.canonical_curie	envoLocalScale.id.canonical_label	envoLocalScale.id.obsolete	envoLocalScale.label	envoMedium.id	envoMedium.label	geoLocation	geographicLocation	habitat	hostDiseases	hostGender	hostName	hostNcbiTaxid	isoCountry	latitude	longhurst	longitude	mixsPackage	modDate	ncbiTaxId	ncbiTaxName	nitrateConcentration	oxygenConcentration	ph	pressure	salinity	salinityConcentration	sampleBodySite	sampleBodySubsite	sampleCollectionSite	sampleCollectionTemperature	specificEcosystem	subsurfaceDepthInMeters	subsurfaceDepthInMeters2	visitNum
Gb0239864	2019-08-30			Arctic glacier soil microbial communities from Hook Island, Arctic Ocean - Rohwer84.arctic.glacier.soil.FJLH1	2013-08-02			Arctic glacier soil microbial communities from Hook Island, Arctic Ocean	Environmental	Terrestrial	4745	Glacier	Soil	0.0		ENVO_01000339	ENVO:01000339	polar biome	False	polar biome	ENVO_00000133	ENVO:00000133	glacier	False	glacier	ENVO_00001998	soil	Arctic Ocean: Hook Island	Arctic Ocean: Hook Island	Arctic glacier soil					Arctic Ocean	80.33333333		52.78333333	Standard	2024-04-17	410658	soil metagenome									Glacier soil from Hook Island		Unclassified			
Gb0239918	2019-09-03			Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA - Shade23.Cen01.14102015	2015-10-14			Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA	Environmental	Terrestrial	4212	Unclassified	Soil	465.0		ENVO_01000219	ENVO:01000219	anthropogenic terrestrial biome	False	anthropogenic terrestrial biome	ENVO_00002204	ENVO:00002204	anthropogenic contamination feature	False	anthropogenic contamination feature	ENVO_00001998	soil	USA: Pennsylvania,Borough of Centralia	USA: Pennsylvania,Borough of Centralia	Anthropogenic terrestrial soil					USA	40.7988		-76.33928	Standard	2024-04-17	410658	soil metagenome									Anthropogenic terrestrial soil		Unclassified			
Gb0239919	2019-09-03			Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA - Shade23.Cen03.14102015	2015-10-14			Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA	Environmental	Terrestrial	4212	Unclassified	Soil	463.0		ENVO_01000219	ENVO:01000219	anthropogenic terrestrial biome	False	anthropogenic terrestrial biome	ENVO_00002204	ENVO:00002204	anthropogenic contamination feature	False	anthropogenic contamination feature	ENVO_00001998	soil	USA: Pennsylvania,Borough of Centralia	USA: Pennsylvania,Borough of Centralia	Anthropogenic terrestrial soil					USA	40.798		-76.341133	Standard	2024-04-17	410658	soil metagenome									Anthropogenic terrestrial soil		Unclassified			
Gb0239920	2019-09-03			Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA - Shade23.Cen06.14102015	2015-10-14			Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA	Environmental	Terrestrial	4212	Unclassified	Soil	466.0		ENVO_01000219	ENVO:01000219	anthropogenic terrestrial biome	False	anthropogenic terrestrial biome	ENVO_00002204	ENVO:00002204	anthropogenic contamination feature	False	anthropogenic contamination feature	ENVO_00001998	soil	USA: Pennsylvania,Borough of Centralia	USA: Pennsylvania,Borough of Centralia	Anthropogenic terrestrial soil					USA	40.7974		-76.341766	Standard	2024-04-17	410658	soil metagenome									Anthropogenic terrestrial soil		Unclassified			
Gb0239921	2019-09-03			Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA - Shade23.Cen12.12102015	2015-10-12			Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA	Environmental	Terrestrial	4212	Unclassified	Soil	476.0		ENVO_01000219	ENVO:01000219	anthropogenic terrestrial biome	False	anthropogenic terrestrial biome	ENVO_00002204	ENVO:00002204	anthropogenic contamination feature	False	anthropogenic contamination feature	ENVO_00001998	soil	USA: Pennsylvania,Borough of Centralia	USA: Pennsylvania,Borough of Centralia	Anthropogenic terrestrial soil					USA	40.8013		-76.34315	Standard	2024-04-17	410658	soil metagenome									Anthropogenic terrestrial soil		Unclassified			
Gb0239922	2019-09-03			Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA - Shade23.Cen14.12102015	2015-10-12			Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA	Environmental	Terrestrial	4212	Unclassified	Soil	481.0		ENVO_01000219	ENVO:01000219	anthropogenic terrestrial biome	False	anthropogenic terrestrial biome	ENVO_00002204	ENVO:00002204	anthropogenic contamination feature	False	anthropogenic contamination feature	ENVO_00001998	soil	USA: Pennsylvania,Borough of Centralia	USA: Pennsylvania,Borough of Centralia	Anthropogenic terrestrial soil					USA	40.8007		-76.34115	Standard	2024-04-17	410658	soil metagenome									Anthropogenic terrestrial soil		Unclassified			
Gb0239923	2019-09-03			Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA - Shade23.Cen15.12102015	2015-10-12			Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA	Environmental	Terrestrial	4212	Unclassified	Soil	475.0		ENVO_01000219	ENVO:01000219	anthropogenic terrestrial biome	False	anthropogenic terrestrial biome	ENVO_00002204	ENVO:00002204	anthropogenic contamination feature	False	anthropogenic contamination feature	ENVO_00001998	soil	USA: Pennsylvania,Borough of Centralia	USA: Pennsylvania,Borough of Centralia	Anthropogenic terrestrial soil					USA	40.8008		-76.3414833	Standard	2024-04-17	410658	soil metagenome									Anthropogenic terrestrial soil		Unclassified			
Gb0239924	2019-09-03			Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA - Shade23.Cen16.12102015	2015-10-12			Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA	Environmental	Terrestrial	4212	Unclassified	Soil	480.0		ENVO_01000219	ENVO:01000219	anthropogenic terrestrial biome	False	anthropogenic terrestrial biome	ENVO_00002204	ENVO:00002204	anthropogenic contamination feature	False	anthropogenic contamination feature	ENVO_00001998	soil	USA: Pennsylvania,Borough of Centralia	USA: Pennsylvania,Borough of Centralia	Anthropogenic terrestrial soil					USA	40.8008		-76.34145	Standard	2024-04-17	410658	soil metagenome									Anthropogenic terrestrial soil		Unclassified			
Gb0239925	2019-09-03			Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA - Shade23.Cen17.12102015	2015-10-12			Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA	Environmental	Terrestrial	4212	Unclassified	Soil	482.0		ENVO_01000219	ENVO:01000219	anthropogenic terrestrial biome	False	anthropogenic terrestrial biome	ENVO_00002204	ENVO:00002204	anthropogenic contamination feature	False	anthropogenic contamination feature	ENVO_00001998	soil	USA: Pennsylvania,Borough of Centralia	USA: Pennsylvania,Borough of Centralia	Anthropogenic terrestrial soil					USA	40.79996		-76.3402666	Standard	2024-04-17	410658	soil metagenome									Anthropogenic terrestrial soil		Unclassified			
Gb0239926	2019-09-03			Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA - Shade23.Cen19.12102015	2015-10-12			Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA	Environmental	Terrestrial	4212	Unclassified	Soil	471.0		ENVO_01000219	ENVO:01000219	anthropogenic terrestrial biome	False	anthropogenic terrestrial biome	ENVO_00002204	ENVO:00002204	anthropogenic contamination feature	False	anthropogenic contamination feature	ENVO_00001998	soil	USA: Pennsylvania,Borough of Centralia	USA: Pennsylvania,Borough of Centralia	Anthropogenic terrestrial soil					USA	40.80078		-76.3415166	Standard	2024-04-17	410658	soil metagenome									Anthropogenic terrestrial soil		Unclassified			
Gb0239927	2019-09-03			Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA - Shade23.Cen20.12102015	2015-10-12			Anthropogenic terrestrial soil microbial communities from Pennsylvania, USA	Environmental	Terrestrial	4212	Unclassified	Soil	465.0		ENVO_01000219	ENVO:01000219	anthropogenic terrestrial biome	False	anthropogenic terrestrial biome	ENVO_00002204	ENVO:00002204	anthropogenic contamination feature	False	anthropogenic contamination feature	ENVO_00001998	soil	USA: Pennsylvania,Borough of Centralia	USA: Pennsylvania,Borough of Centralia	Anthropogenic terrestrial soil					USA	40.8012		-76.34256666	Standard	2024-04-17	410658	soil metagenome									Anthropogenic terrestrial soil		Unclassified			
Gb0239928	2019-09-03			Arctic glacier soil microbial communities from Hook Island, Arctic Ocean - Rohwer84.arctic.glacier.soil.FJLH2	2013-08-02			Arctic glacier soil microbial communities from Hook Island, Arctic Ocean	Environmental	Terrestrial	4745	Glacier	Soil	0.0		ENVO_01000339	ENVO:01000339	polar biome	False	polar biome	ENVO_00000133	ENVO:00000133	glacier	False	glacier	ENVO_00001998	soil	Arctic Ocean: Hook Island	Arctic Ocean: Hook Island	Arctic glacier soil					Arctic Ocean	80.3333333333		52.7833333333	Standard	2024-04-17	410658	soil metagenome									Arctic glacier soil		Unclassified			
Gb0239929	2019-09-03			Arctic glacier soil microbial communities from Hook Island, Arctic Ocean - Rohwer84.arctic.glacier.soil.FJLH3	2013-08-02			Arctic glacier soil microbial communities from Hook Island, Arctic Ocean	Environmental	Terrestrial	4745	Glacier	Soil	0.0		ENVO_01000339	ENVO:01000339	polar biome	False	polar biome	ENVO_00000133	ENVO:00000133	glacier	False	glacier	ENVO_00001998	soil	Arctic Ocean: Hook Island	Arctic Ocean: Hook Island	Arctic glacier soil					Arctic Ocean	80.3333333333		52.7833333333	Standard	2024-04-17	410658	soil metagenome									Arctic glacier soil		Unclassified			
Gb0239930	2019-09-03			Arctic glacier soil microbial communities from Hook Island, Arctic Ocean - Rohwer84.arctic.glacier.soil.FJLH4	2013-08-02			Arctic glacier soil microbial communities from Hook Island, Arctic Ocean	Environmental	Terrestrial	4745	Glacier	Soil	0.0		ENVO_01000339	ENVO:01000339	polar biome	False	polar biome	ENVO_00000133	ENVO:00000133	glacier	False	glacier	ENVO_00001998	soil	Arctic Ocean: Hook Island	Arctic Ocean: Hook Island	Arctic glacier soil					Arctic Ocean	80.3333333333		52.7833333333	Standard	2024-04-17	410658	soil metagenome									Arctic glacier soil		Unclassified			
