accession	db	is_primary	content
SAMEA7723388	BioSample	1	SAMEA7723388
SAMEA7723388	SRA		ERS5470766
SAMEA7723389	BioSample	1	SAMEA7723389
SAMEA7723389	SRA		ERS5470767
SAMEA7723390	BioSample	1	SAMEA7723390
SAMEA7723390	SRA		ERS5470768
SAMEA7723391	BioSample	1	SAMEA7723391
SAMEA7723391	SRA		ERS5470769
SAMEA7723392	BioSample	1	SAMEA7723392
SAMEA7723392	SRA		ERS5470770
SAMEA7723393	BioSample	1	SAMEA7723393
SAMEA7723393	SRA		ERS5470771
SAMEA7723394	BioSample	1	SAMEA7723394
SAMEA7723394	SRA		ERS5470772
SAMEA7723395	BioSample	1	SAMEA7723395
SAMEA7723395	SRA		ERS5470773
SAMEA7723396	BioSample	1	SAMEA7723396
SAMEA7723396	SRA		ERS5470774
SAMEA7723397	BioSample	1	SAMEA7723397
SAMEA7723397	SRA		ERS5470775
SAMEA7723398	BioSample	1	SAMEA7723398
SAMEA7723398	SRA		ERS5470776
SAMEA7723399	BioSample	1	SAMEA7723399
SAMEA7723399	SRA		ERS5470777
SAMEA7723400	BioSample	1	SAMEA7723400
SAMEA7723400	SRA		ERS5470778
SAMEA7723401	BioSample	1	SAMEA7723401
SAMEA7723401	SRA		ERS5470779
SAMEA7723402	BioSample	1	SAMEA7723402
SAMEA7723402	SRA		ERS5470780
SAMEA7723403	BioSample	1	SAMEA7723403
SAMEA7723403	SRA		ERS5470781
SAMEA7723404	BioSample	1	SAMEA7723404
SAMEA7723404	SRA		ERS5470782
SAMEA7723405	BioSample	1	SAMEA7723405
SAMEA7723405	SRA		ERS5470783
SAMEA7723406	BioSample	1	SAMEA7723406
SAMEA7723406	SRA		ERS5470784
SAMEA7723407	BioSample	1	SAMEA7723407
SAMEA7723407	SRA		ERS5470785
SAMEA7723408	BioSample	1	SAMEA7723408
SAMEA7723408	SRA		ERS5470786
SAMEA7723409	BioSample	1	SAMEA7723409
SAMEA7723409	SRA		ERS5470787
SAMEA7723410	BioSample	1	SAMEA7723410
SAMEA7723410	SRA		ERS5470788
SAMEA7723411	BioSample	1	SAMEA7723411
SAMEA7723411	SRA		ERS5470789
SAMEA7723412	BioSample	1	SAMEA7723412
