study_id	applied_roles	person.name	person.orcid
nmdc:sty-11-076c9980	Conceptualization|Formal Analysis|Funding acquisition|Investigation|Principal Investigator|Project administration|Resources|Supervision|Writing review and editing	Jennifer Pett-Ridge	orcid:0000-0002-4439-2398
nmdc:sty-11-076c9980	Formal Analysis|Investigation|Methodology|Writing original draft	Ashley Campbell	orcid:0000-0002-2253-8317
nmdc:sty-11-076c9980	Data curation|Formal Analysis|Visualization	Jeff Kimbrel	orcid:0000-0001-7213-9392
nmdc:sty-11-076c9980	Formal Analysis|Writing original draft	Amrita Bhattacharyya	orcid:0000-0003-2685-0698
nmdc:sty-11-076c9980	Formal Analysis|Visualization|Writing original draft	Gary Trubl	orcid:0000-0001-5008-1476
nmdc:sty-11-076c9980	Formal Analysis|Visualization	Vanessa Brisson	orcid:0000-0003-1398-1664
nmdc:sty-11-076c9980	Conceptualization|Writing review and editing	Peter Nico	orcid:0000-0002-4180-9397
nmdc:sty-11-1t150432	Conceptualization|Principal Investigator	Mitchel J. Doktycz	orcid:0000-0003-4856-8343
nmdc:sty-11-1t150432	Conceptualization|Data curation|Formal Analysis|Funding acquisition|Investigation|Methodology|Validation|Visualization|Writing original draft|Writing review and editing	Josh Michener	orcid:0000-0003-2302-8180
nmdc:sty-11-1t150432	Conceptualization|Data curation|Formal Analysis|Funding acquisition|Investigation|Methodology|Software|Supervision|Validation|Visualization|Writing original draft|Writing review and editing	Jennifer Morrell-Falvey	orcid:0000-0002-9362-7528
nmdc:sty-11-1t150432	Conceptualization|Data curation|Formal Analysis|Funding acquisition|Investigation|Methodology|Resources|Validation|Visualization|Writing original draft|Writing review and editing	Wellington Muchero	orcid:0000-0002-0200-9856
nmdc:sty-11-1t150432	Conceptualization|Data curation|Formal Analysis|Funding acquisition|Investigation|Methodology|Project administration|Resources|Supervision|Validation|Visualization|Writing original draft|Writing review and editing	Dale Pelletier	orcid:0000-0002-4321-7918
nmdc:sty-11-1t150432	Conceptualization|Data curation|Formal Analysis|Funding acquisition|Investigation|Methodology|Validation|Visualization|Writing original draft|Writing review and editing	Mircea Podar	orcid:0000-0003-2776-0205
nmdc:sty-11-1t150432	Conceptualization|Data curation|Formal Analysis|Funding acquisition|Investigation|Methodology|Resources|Validation|Visualization|Writing original draft|Writing review and editing	Scott Retterer	orcid:0000-0001-8534-1979
nmdc:sty-11-1t150432	Conceptualization|Data curation|Formal Analysis|Funding acquisition|Investigation|Methodology|Resources|Supervision|Validation|Visualization|Writing original draft|Writing review and editing	Robert Hettich	orcid:0000-0001-7708-786X
nmdc:sty-11-1t150432	Conceptualization|Data curation|Formal Analysis|Funding acquisition|Investigation|Methodology|Supervision|Validation|Visualization|Writing original draft|Writing review and editing	Christopher Schadt	orcid:0000-0001-8759-2448
nmdc:sty-11-1t150432	Conceptualization|Data curation|Formal Analysis|Funding acquisition|Investigation|Methodology|Project administration|Resources|Supervision|Validation|Visualization|Writing original draft|Writing review and editing	Timothy Tschaplinski	orcid:0000-0002-9540-6622
nmdc:sty-11-1t150432	Conceptualization|Data curation|Formal Analysis|Funding acquisition|Investigation|Methodology|Validation|Visualization|Writing original draft|Writing review and editing	David Weston	orcid:0000-0002-4794-9913
nmdc:sty-11-1t150432	Data curation|Formal Analysis|Investigation|Validation|Visualization|Writing original draft|Writing review and editing	Paul Abraham	orcid:0000-0003-2685-9123
nmdc:sty-11-1t150432	Conceptualization|Data curation|Formal Analysis|Funding acquisition|Investigation|Methodology|Supervision|Validation|Visualization|Writing original draft|Writing review and editing	Xiaohan Yang	orcid:0000-0001-5207-4210
nmdc:sty-11-1t150432	Conceptualization|Data curation|Formal Analysis|Funding acquisition|Investigation|Methodology|Resources|Validation|Visualization|Writing original draft|Writing review and editing	Jin-Gui Chen	orcid:0000-0002-1752-4201
nmdc:sty-11-1t150432	Conceptualization|Data curation|Formal Analysis|Funding acquisition|Investigation|Methodology|Resources|Validation|Visualization|Writing original draft|Writing review and editing	Melissa Cregger	orcid:0000-0001-8329-366X
nmdc:sty-11-1t150432	Conceptualization|Data curation|Formal Analysis|Investigation|Methodology|Validation|Visualization|Writing original draft|Writing review and editing	Omar Demerdash	orcid:0000-0001-6846-1506
nmdc:sty-11-1t150432	Conceptualization|Data curation|Formal Analysis|Funding acquisition|Investigation|Methodology|Software|Validation|Visualization|Writing original draft|Writing review and editing	Joseph C. Ellis	orcid:0000-0002-2510-977X
nmdc:sty-11-1t150432	Conceptualization|Data curation|Formal Analysis|Funding acquisition|Investigation|Methodology|Software|Supervision|Validation|Visualization|Writing original draft|Writing review and editing	Daniel Jacobson	orcid:0000-0002-9822-8251
nmdc:sty-11-1t150432	Conceptualization|Data curation|Formal Analysis|Investigation|Methodology|Validation|Visualization|Writing original draft|Writing review and editing	Udaya Kalluri	orcid:0000-0002-5963-8370
