ncbi_bioproject_accession	ncbi_biosample_accession	env_broad_scale	env_local_scale	env_medium
PRJEB42019	SAMEA7723792	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723793	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723794	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723795	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723796	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723797	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723798	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723799	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723800	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723801	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723802	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723803	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723804	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723805	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723806	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723807	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723808	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723809	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723810	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723811	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723812	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723813	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723814	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723815	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723816	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723817	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723818	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723819	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723820	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723821	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723822	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723823	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723824	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723825	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723826	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723827	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723828	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723829	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723830	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723831	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723832	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723833	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723834	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723835	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723836	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723837	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723838	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723839	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723840	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723841	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723842	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723843	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723844	urban biome	research facility	cell culture
PRJEB42019	SAMEA7723845	urban biome	research facility	cell culture
PRJEB42019	SAMEA7723846	urban biome	research facility	cell culture
PRJEB42019	SAMEA7723847	urban biome	research facility	cell culture
PRJEB42019	SAMEA7723848	urban biome	anaerobic bioreactor	anaerobic sludge
PRJEB42019	SAMEA7723849	Small lake biome	pond bed	lake sediment
PRJEB42019	SAMEA7723850	Small lake biome	pond bed	lake sediment
PRJEB42019	SAMEA7723851	Small lake biome	pond bed	lake sediment
PRJEB42019	SAMEA7723852	Small lake biome	pond bed	lake sediment
PRJEB42019	SAMEA7723853	Small lake biome	pond bed	lake sediment
PRJEB42019	SAMEA7723854	Small lake biome	pond bed	lake sediment
PRJEB42019	SAMEA7723855	Small lake biome	pond bed	lake sediment
PRJEB42019	SAMEA7723856	Small lake biome	pond bed	lake sediment
PRJEB42019	SAMEA7723857	temperate shrubland	wetland	organic material
PRJEB42019	SAMEA7723858	temperate shrubland	wetland	organic material
PRJEB42019	SAMEA7723859	temperate shrubland	wetland	organic material
PRJEB42019	SAMEA7723860	tropical moist broadleaf forest	forest	organic material
PRJEB42019	SAMEA7723861	tropical moist broadleaf forest	forest	organic material
PRJEB42019	SAMEA7723862	tropical moist broadleaf forest	forest	organic material
PRJEB42019	SAMEA7723863	tropical moist broadleaf forest	forest	pitcher plant fluid
PRJEB42019	SAMEA7723864	tropical moist broadleaf forest	forest	pitcher plant fluid
PRJEB42019	SAMEA7723865	tropical moist broadleaf forest	forest	pitcher plant fluid
PRJEB42019	SAMEA7723866	flooded savanna	wetland	organic material
PRJEB42019	SAMEA7723867	freshwater biome	wetland	organic material
PRJEB42019	SAMEA7723868	freshwater biome	wetland	organic material
PRJEB42019	SAMEA7723869	temperate shrubland	wetland	pitcher plant fluid
PRJEB42019	SAMEA7723870	temperate shrubland	wetland	pitcher plant fluid
PRJEB42019	SAMEA7723871	temperate shrubland	wetland	pitcher plant fluid
PRJEB42019	SAMEA7723872	marine salt marsh biome	marine benthic feature	marine sediment
PRJEB42019	SAMEA7723873	marine salt marsh biome	marine benthic feature	marine sediment
PRJEB42019	SAMEA7723874	marine salt marsh biome	marine benthic feature	marine sediment
PRJEB42019	SAMEA7723875	marine salt marsh biome	marine benthic feature	marine sediment
PRJEB42019	SAMEA7723876	marine salt marsh biome	marine benthic feature	marine sediment
PRJEB42019	SAMEA7723877	marine salt marsh biome	marine benthic feature	marine sediment
PRJEB42019	SAMEA7723878	marine salt marsh biome	marine benthic feature	marine sediment
PRJEB42019	SAMEA7723879	urban biome	soil	soil
PRJEB42019	SAMEA7723880	urban biome	soil	soil
PRJEB42019	SAMEA7723881	urban biome	soil	soil
PRJEB42019	SAMEA7723882	marine biome	host-associated habitat	organic material
PRJEB42019	SAMEA7723883	marine biome	host-associated habitat	organic material
PRJEB42019	SAMEA7723884	marine biome	host-associated habitat	organic material
PRJEB42019	SAMEA7723885	marine biome	host-associated habitat	feces
PRJEB42019	SAMEA7723886	marine biome	host-associated habitat	feces
PRJEB42019	SAMEA7723887	marine biome	host-associated habitat	feces
PRJEB42019	SAMEA7723888	marine biome	host-associated habitat	organic material
PRJEB42019	SAMEA7723889	marine biome	host-associated habitat	feces
PRJEB42019	SAMEA7723890	marine biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723891	marine biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723892	marine biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723893	marine biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723894	marine benthic biome	sediment	marine sediment
PRJEB42019	SAMEA7723895	marine benthic biome	marine reef	marine sediment
PRJEB42019	SAMEA7723896	marine benthic biome	mud	marine sediment
PRJEB42019	SAMEA7723897	marine benthic biome	mud	marine sediment
PRJEB42019	SAMEA7723898	marine benthic biome	marine subtidal rocky reef	marine sediment
PRJEB42019	SAMEA7723899	marine benthic biome	sand	marine sediment
PRJEB42019	SAMEA7723900	marine benthic biome	sand	marine sediment
PRJEB42019	SAMEA7723901	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7723902	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7723903	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7723904	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7723905	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7723906	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7723907	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7723908	grassland biome	intermittent pond	lake sediment
PRJEB42019	SAMEA7723909	grassland biome	intermittent pond	lake sediment
PRJEB42019	SAMEA7723910	Small river biome	tributary	stream sediment
PRJEB42019	SAMEA7723911	Small river biome	tributary	stream sediment
PRJEB42019	SAMEA7723912	Small river biome	tributary	stream sediment
PRJEB42019	SAMEA7723913	Small river biome	tributary	stream sediment
PRJEB42019	SAMEA7723914	Small river biome	tributary	stream sediment
PRJEB42019	SAMEA7723915	Small river biome	tributary	stream sediment
PRJEB42019	SAMEA7723916	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7723917	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7723919	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7723920	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7723921	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7723922	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7723923	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7723924	temperate desert biome	desert sand	soil
PRJEB42019	SAMEA7723925	temperate desert biome	desert sand	soil
PRJEB42019	SAMEA7723926	temperate grassland biome	grassland soil	soil
PRJEB42019	SAMEA7723927	temperate coniferous forest biome	forest soil	soil
PRJEB42019	SAMEA7723928	dense settlement biome	host-associated habitat	animal manure
PRJEB42019	SAMEA7723929	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723930	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723931	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723932	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723933	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723934	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723935	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723936	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723937	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723938	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723939	neritic bathypelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723940	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723941	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723942	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723943	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723944	tundra biome	glacier	soil
PRJEB42019	SAMEA7723945	tundra biome	glacier	soil
PRJEB42019	SAMEA7723946	tundra biome	glacier	soil
PRJEB42019	SAMEA7723947	tundra biome	glacier	soil
PRJEB42019	SAMEA7723948	tundra biome	glacier	soil
PRJEB42019	SAMEA7723949	tundra biome	glacier	soil
PRJEB42019	SAMEA7723950	tundra biome	glacier	water
PRJEB42019	SAMEA7723951	tundra biome	glacier	water
PRJEB42019	SAMEA7723952	tundra biome	glacier	water
PRJEB42019	SAMEA7723953	tundra biome	glacier	water
PRJEB42019	SAMEA7723954	tundra biome	glacier	water
PRJEB42019	SAMEA7723955	tundra biome	glacier	water
PRJEB42019	SAMEA7723956	tundra biome	glacier	water
PRJEB42019	SAMEA7723957	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723958	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723959	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723960	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723961	marine benthic biome	marine benthic feature	sediment
