## Bioproject selected based on: ## At least 50 metagenomes (10M reads +), not currently in IMG (as far as I know), environmental / terrestrial / soil / plant ## For IMG imports, looked at cases where MAGs are not already available in NCBI, and potential for interesting new diversity ## For NMDC imports, looked more specifically at soil and related, and nice metadata BioProject Id	# metaG 10M+	Project name	Environment(s)	Publication	MAGs in NCBI	Import to IMG ?	Import to NMDC ?	Notes
PRJEB52368	827	Metagenomic sequencing of Tara Pacific coral samples	Marine/coral			No	No	Tara, unpublished, probably stay away
PRJNA352737	721	HOT ALOHA metagenomic time and depth series	Marine	10.1038/s41564-017-0008-3	Yes (197)	No	No	Already has MAGs in NCBI, and oceanic so not high priority for NMDC ?
PRJNA385736	688	Marine amplicons/metagenomes  from Australian marine (benthic and pelagic environments)	Marine			Yes	Maybe ?	Some paired metaG and metaT, but marine and not published maybe should stay away or get in touch before importing (CSIRO). Could be interesting for NMDC as it's part of this larger effort https://www.australianmicrobiome.com
PRJNA656268	572	Bio-GO-SHIP: Global marine 'omics studies of repeat hydrography transects	Marine	No but NSF grant	Maybe (see TPA)	No	No	Has a TPA and already in MGnify. 10.1093/nar/gkx967
PRJNA385854	470	Marine metagenomes from the bioGEOTRACES project	Marine	10.1038/sdata.2018.176		Yes	Maybe ?	Rich metadata, could be good if no MAGs (Data paper from 2018 so a long time enough ?)
PRJNA386568	380	peat metagenome Metagenome	Soil	10.1038/s41586-018-0338-1	Yes (1530)	No	Maybe ?	Isogenie (ACE)
PRJNA781406	350	Vanishing Glaciers Project	Streams / Glacier	10.1038/s41467-022-29914-0	Yes (717)	No	No	
PRJEB52452	347	Malaspina Expedition 2010 Microbial Vertical Profiles Metagenomes	Marine	10.1101/2023.02.06.526790		No	No	Some maybe already in IMG ? Also some quality issues in some other Malaspina datasets
PRJEB45634	330	Recovery of metagenome-assembled genomes from 110 rice cultivars	Soil / Plant		Yes (529)	No	No	
PRJNA674565	312	Water-born virome	Aquatic			No	No	If viral, probably more interesting for IMG/VR, so too late now for v5 ?
PRJEB52753	286	European grassland soils subjected to multiple disturbances	Soil		Maybe (see TPA)	No	No	Has a TPA - MGnify ? 10.1093/nar/gkx967
PRJEB38681	266	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Freshwater lake	10.1038/s41597-021-00910-1	Yes (12764)	Maybe ?	No	Already binned, but maybe still worth having as reference / good demo dataset in IMG ?
PRJNA859194	237	Viral response to simulated wetup across four grassland soils	Soil			Maybe ?	Maybe ?	Big DOE Grassland project (DE-SC0020163), would make sense to import scientifically, tbd politically
