count	attribute_name	normalized_name
158	_env_broad_scale	_env_broad_scale_sam
2589619	env_broad_scale	env_broad_scale_sam
111	Environment (Biome)	environment__biome__sam
585355	broad-scale environmental context	broad_scale_environmental_context_sam
1160	broad_scale_environmental_context	broad_scale_environmental_context_sam
6	Broad-scale_environmental_context	broad_scale_environmental_context_sam
11	Environment (biome)	environment__biome__sam
693	environment_(biome)	environment__biome__sam
578	broad scale environmental context	broad_scale_environmental_context_sam
13573	environment biome	environment_biome_sam
630938	env_biome	env_biome_sam
163	Broad Scale Environmental Context	broad_scale_environmental_context_sam
222398	env biome	env_biome_sam
1	Broad scale environmental context	broad_scale_environmental_context_sam
99	envbiome	envbiome_sam
270	broad-scale_environmental_context	broad_scale_environmental_context_sam
2054	Broad-scale Environmental Context	broad_scale_environmental_context_sam
385	env-broad-scale	env_broad_scale_sam
6	Env_biome	env_biome_sam
140	Environment biome	environment_biome_sam
3973	environment_biome	environment_biome_sam
220	ENV_BIOME	env_biome_sam
119966	biome	biome_sam
1	environment biome 	environment_biome__sam
354	Biome	biome_sam
222	env broad scale	env_broad_scale_sam
1045847	environment (biome)	environment__biome__sam
82	Env_Biome	env_biome_sam
311	env_broad_range	env_broad_range_sam
30	env_broaDscale	env_broadscale_sam
4743	Broad-scale environmental context	broad_scale_environmental_context_sam
