sample name	source material identifier	analysis/data type	sample linkage	broad-scale environmental context	local environmental context	environmental medium	ecosystem	ecosystem_category	ecosystem_type	ecosystem_subtype	specific_ecosystem	experimental factor	history/extreme events	history/fire	history/flooding	miscellaneous parameter	oxygenation status of sample	temperature	water content	water content method	pH method	microbial biomass	microbial biomass method	carbon/nitrogen ratio	organic matter	organic nitrogen	total carbon	total nitrogen content	total nitrogen content method	total organic carbon	total organic carbon method	phosphate	salinity	salinity method	collection date	geographic location (country and/or sea,region)	geographic location (latitude and longitude)	elevation, meters	sample storage temperature	composite design/sieving	depth, meters	sample material processing	biotic regimen	sample collection device	sample collection method	air temperature regimen	chemical administration	amount or size of sample collected	climate environment	gaseous environment	humidity regimen	observed biotic relationship	light regimen	watering regimen	pH	collection time, GMT	incubation collection date	incubation start date	organic nitrogen method	isotope exposure/addition	microbial biomass carbon method	microbial biomass nitrogen method	microbial biomass carbon	microbial biomass nitrogen	alkalinity	alkyl diethers	aminopeptidase activity	ammonium	bacterial carbon production	biomass	bishomohopanol	bromide	calcium	chloride	chlorophyll	density	diether lipids	dissolved carbon dioxide	dissolved hydrogen	dissolved inorganic carbon	dissolved organic carbon	dissolved organic nitrogen	dissolved oxygen	glucosidase activity	magnesium	mean friction velocity	mean peak friction velocity	methane	n-alkanes	nitrate	nitrite	nitrogen	organic carbon	organism count	particulate organic carbon	particle classification	perturbation	petroleum hydrocarbon	phaeopigments	phospholipid fatty acid	porosity	potassium	pressure	redox potential	sample storage location	sediment type	silicate	sulfate	tidal stage	total depth of water column	turbidity	alkalinity method	size fraction selected	sample storage duration	sodium	sulfide	lat	lon	category
YSISB-Stream Sediment		metabolomics; natural organic matter		freshwater biome [ENVO:00000873]	stream [ENVO:00000023]	sediment [ENVO:00002007]	Environmental	Aquatic	Freshwater	River	Sediment						aerobic																		2024-08-13	USA: Massachusetts, Ipswich	42.706758 -70.915147	21	-20 Celsius		0-0.1																																																																												42.706758	-70.915147	stream
YSISB-Riparian Sediment		metabolomics; natural organic matter		freshwater biome [ENVO:00000873]	stream [ENVO:00000023]	sediment [ENVO:00002007]	Environmental	Aquatic	Freshwater	River	Sediment						aerobic																		2024-08-13	USA: Massachusetts, Ipswich	42.706758 -70.915147	21	-20 Celsius		0-0.1																																																																												42.706758	-70.915147	riparian
SBFRE-Stream Sediment		metabolomics; natural organic matter		freshwater biome [ENVO:00000873]	stream [ENVO:00000023]	sediment [ENVO:00002007]	Environmental	Aquatic	Freshwater	River	Sediment						aerobic																		2024-08-13	USA: Massachusetts, Ipswich	42.516602 -71.189903	39	-20 Celsius		0-0.1																																																																												42.516602	-71.189903	stream
SBFRE-Riparian Sediment		metabolomics; natural organic matter		freshwater biome [ENVO:00000873]	stream [ENVO:00000023]	sediment [ENVO:00002007]	Environmental	Aquatic	Freshwater	River	Sediment						aerobic																		2024-08-13	USA: Massachusetts, Ipswich	42.516602 -71.189903	39	-20 Celsius		0-0.1																																																																												42.516602	-71.189903	riparian
IS103-Stream Sediment		metabolomics; natural organic matter		freshwater biome [ENVO:00000873]	stream [ENVO:00000023]	sediment [ENVO:00002007]	Environmental	Aquatic	Freshwater	River	Sediment						aerobic																		2024-08-13	USA: Massachusetts, Ipswich	42.533218 -71.19883	35	-20 Celsius		0-0.1																																																																												42.533218	-71.19883	stream
IS103-Riparian Sediment		metabolomics; natural organic matter		freshwater biome [ENVO:00000873]	stream [ENVO:00000023]	sediment [ENVO:00002007]	Environmental	Aquatic	Freshwater	River	Sediment						aerobic																		2024-08-13	USA: Massachusetts, Ipswich	42.533218 -71.19883	35	-20 Celsius		0-0.1																																																																												42.533218	-71.19883	riparian
IS111-Stream Sediment		metabolomics; natural organic matter		freshwater biome [ENVO:00000873]	stream [ENVO:00000023]	sediment [ENVO:00002007]	Environmental	Aquatic	Freshwater	River	Sediment						aerobic																		2024-08-13	USA: Massachusetts, Ipswich	42.581268 -71.158653	26	-20 Celsius		0-0.1																																																																												42.581268	-71.158653	stream
IS111-Riparian Sediment		metabolomics; natural organic matter		freshwater biome [ENVO:00000873]	stream [ENVO:00000023]	sediment [ENVO:00002007]	Environmental	Aquatic	Freshwater	River	Sediment						aerobic																		2024-08-13	USA: Massachusetts, Ipswich	42.581268 -71.158653	26	-20 Celsius		0-0.1																																																																												42.581268	-71.158653	riparian
IS122-Stream Sediment		metabolomics; natural organic matter		freshwater biome [ENVO:00000873]	stream [ENVO:00000023]	sediment [ENVO:00002007]	Environmental	Aquatic	Freshwater	River	Sediment						aerobic																		2024-08-14	USA: Massachusetts, Ipswich	42.58812 -70.988663	15	-20 Celsius		0-0.1																																																																												42.58812	-70.988663	stream
IS122-Riparian Sediment		metabolomics; natural organic matter		freshwater biome [ENVO:00000873]	stream [ENVO:00000023]	sediment [ENVO:00002007]	Environmental	Aquatic	Freshwater	River	Sediment						aerobic																		2024-08-14	USA: Massachusetts, Ipswich	42.58812 -70.988663	15	-20 Celsius		0-0.1																																																																												42.58812	-70.988663	riparian
IS135-Stream Sediment		metabolomics; natural organic matter		freshwater biome [ENVO:00000873]	stream [ENVO:00000023]	sediment [ENVO:00002007]	Environmental	Aquatic	Freshwater	River	Sediment						aerobic																		2024-08-13	USA: Massachusetts, Ipswich	42.66375 -71.10746	70	-20 Celsius		0-0.1																																																																												42.66375	-71.10746	stream
IS135-Riparian Sediment		metabolomics; natural organic matter		freshwater biome [ENVO:00000873]	stream [ENVO:00000023]	sediment [ENVO:00002007]	Environmental	Aquatic	Freshwater	River	Sediment						aerobic																		2024-08-13	USA: Massachusetts, Ipswich	42.66375 -71.10746	70	-20 Celsius		0-0.1																																																																												42.66375	-71.10746	riparian
IS136-Stream Sediment		metabolomics; natural organic matter		freshwater biome [ENVO:00000873]	stream [ENVO:00000023]	sediment [ENVO:00002007]	Environmental	Aquatic	Freshwater	River	Sediment						aerobic																		2024-08-13	USA: Massachusetts, Ipswich	42.686821 -71.063263	42	-20 Celsius		0-0.1																																																																												42.686821	-71.063263	stream
IS136-Riparian Sediment		metabolomics; natural organic matter		freshwater biome [ENVO:00000873]	stream [ENVO:00000023]	sediment [ENVO:00002007]	Environmental	Aquatic	Freshwater	River	Sediment						aerobic																		2024-08-13	USA: Massachusetts, Ipswich	42.686821 -71.063263	42	-20 Celsius		0-0.1																																																																												42.686821	-71.063263	riparian
IS141-Stream Sediment		metabolomics; natural organic matter		freshwater biome [ENVO:00000873]	stream [ENVO:00000023]	sediment [ENVO:00002007]	Environmental	Aquatic	Freshwater	River	Sediment						aerobic																		2024-08-14	USA: Massachusetts, Ipswich	42.656639 -71.013107	30	-20 Celsius		0-0.1																																																																												42.656639	-71.013107	stream
IS141-Riparian Sediment		metabolomics; natural organic matter		freshwater biome [ENVO:00000873]	stream [ENVO:00000023]	sediment [ENVO:00002007]	Environmental	Aquatic	Freshwater	River	Sediment						aerobic																		2024-08-14	USA: Massachusetts, Ipswich	42.656639 -71.013107	30	-20 Celsius		0-0.1																																																																												42.656639	-71.013107	riparian
IS142-Stream Sediment		metabolomics; natural organic matter		freshwater biome [ENVO:00000873]	stream [ENVO:00000023]	sediment [ENVO:00002007]	Environmental	Aquatic	Freshwater	River	Sediment						aerobic																		2024-08-14	USA: Massachusetts, Ipswich	42.64613 -70.996597	25	-20 Celsius		0-0.1																																																																												42.64613	-70.996597	stream
IS142-Riparian Sediment		metabolomics; natural organic matter		freshwater biome [ENVO:00000873]	stream [ENVO:00000023]	sediment [ENVO:00002007]	Environmental	Aquatic	Freshwater	River	Sediment						aerobic																		2024-08-14	USA: Massachusetts, Ipswich	42.64613 -70.996597	25	-20 Celsius		0-0.1																																																																												42.64613	-70.996597	riparian
IS143-Stream Sediment		metabolomics; natural organic matter		freshwater biome [ENVO:00000873]	stream [ENVO:00000023]	sediment [ENVO:00002007]	Environmental	Aquatic	Freshwater	River	Sediment						aerobic																		2024-08-14	USA: Massachusetts, Ipswich	42.642151 -70.992729	23	-20 Celsius		0-0.1																																																																												42.642151	-70.992729	stream
IS143-Riparian Sediment		metabolomics; natural organic matter		freshwater biome [ENVO:00000873]	stream [ENVO:00000023]	sediment [ENVO:00002007]	Environmental	Aquatic	Freshwater	River	Sediment						aerobic																		2024-08-14	USA: Massachusetts, Ipswich	42.642151 -70.992729	23	-20 Celsius		0-0.1																																																																												42.642151	-70.992729	riparian
IS150-Stream Sediment		metabolomics; natural organic matter		freshwater biome [ENVO:00000873]	stream [ENVO:00000023]	sediment [ENVO:00002007]	Environmental	Aquatic	Freshwater	River	Sediment						aerobic																		2024-08-14	USA: Massachusetts, Ipswich	42.646751 -70.975014	21	-20 Celsius		0-0.1																																																																												42.646751	-70.975014	stream
IS150-Riparian Sediment		metabolomics; natural organic matter		freshwater biome [ENVO:00000873]	stream [ENVO:00000023]	sediment [ENVO:00002007]	Environmental	Aquatic	Freshwater	River	Sediment						aerobic																		2024-08-14	USA: Massachusetts, Ipswich	42.646751 -70.975014	21	-20 Celsius		0-0.1																																																																												42.646751	-70.975014	riparian
