Number	Item	Present in the manuscript? Yes/No/NA	Comments or location in manuscript.1
1.0	Structured or unstructured abstract	Yes	Contains unstructured abstract with background, methods, results, significance
1.1	Study design	Yes	Describes experimental approach with EcoFAB 2.0 devices and soil treatments in abstract
1.2	Environmental & sample information	Yes	Describes soil and maize litter samples obtained from Scheyern, Germany
1.3	Host information (if applicable)	Yes	Maize (Zea mays L.) leaf samples characterized with C/N content specified
1.4	Experiments & omics methods	Yes	Details LC-MS/MS and 16S rRNA sequencing methods
1.5	Analyses & results	Yes	Reports findings on diversity effects on decomposition rates
2.0	Background & rationale	Yes	Comprehensive introduction with citations establishing importance of plant litter decomposition
2.1	Hypotheses or questions	Yes	Clear hypotheses stated on pg. 2 regarding iN form and starvation effects
3.0	Study design	Yes	Details experimental design with three soil treatments and controls
3.1	Samples	Yes	Describes soil and litter sample collection and processing (pg. 3)
3.2	Environmental context & geographic location	Yes	Agricultural field in Scheyern, Germany with coordinates provided
3.3	Relevant dates	Yes	October 2015 sampling date specified
3.4	Host(s) (if applicable)	Yes	Maize characteristics described
3.5	Ethics	NA	Not required for plant/soil research
3.6	Environmental conditions & experimental treatments	Yes	Detailed experimental conditions described in Methods
3.7	Sample collection	Yes	Complete sampling protocols provided
3.8	Eligibility/selection criteria	Yes	Sample inclusion criteria specified
3.9	Analytic sample size	Yes	Three replicates per treatment specified
4.0	Storage & preservation	Yes	Sample storage conditions described (-20°C)
4.1	Shipping	No	Not mentioned
4.2	Extraction methods	Yes	DNA extraction methods detailed
4.3	Experiments & sample processing	Yes	Complete processing protocols provided
4.4	Library preparation	Yes	Library prep for sequencing detailed
4.5	Depletion, enrichment, & multiplexing	Yes	PCR and sequencing protocols specified
4.6	Primer selection	Yes	Primer information provided in Methods
5.0	Positive controls	No	Not mentioned
5.1	Negative controls	Yes	Extraction controls mentioned
6.0	Quantification & quality assessments	Yes	Quality control steps described
6.1	Contaminant mitigation & identification	Yes	Contamination control measures described
6.2	Replication	Yes	Three replicates per treatment
6.3	Sequencing methods	Yes	Detailed sequencing methods provided
6.4	Metabolomics, metaproteomics, & other omics methods	Yes	LC-MS/MS methods detailed
6.5	Contextual & linked datasets	Yes	Data availability stated
6.6	Batch effects	No	Not discussed
7.0	Bioinformatics analyses	Yes	Complete bioinformatics pipeline described
7.1	Quality control	Yes	QC steps detailed
7.2	Normalization	Yes	Data normalization methods described
7.3	Database information	Yes	SILVA database version specified
7.4	Statistical methods	Yes	Statistical analyses detailed
7.5	Missing data	No	Not addressed
7.6	Bias & confounding variables	Yes	Potential confounders discussed
7.7	Subgroup analysis	Yes	Treatment group comparisons described
7.8	Sensitivity analyses	No	Not mentioned
7.9	Criteria for significance	Yes	Statistical significance criteria specified
8.0	Metadata access	Yes	Data accession numbers provided
8.1	Host data access (if applicable)	Yes	Maize characteristics data provided
8.2	Raw data access	Yes	Sequence data deposited in NCBI SRA
8.3	Processed data access	Yes	Processed data availability stated
8.4	Software & source code access	Yes	Analysis code available on GitHub
8.5	Reproducible research	Yes	Methods thoroughly described for reproducibility
9.0	Descriptive data	Yes	Sample characteristics provided
10.0	Microbiome sequencing data	Yes	Sequencing results reported
10.1	Metabolomics, proteomics, & other omics data	Yes	LC-MS/MS results reported
10.2	Statistical analyses	Yes	Statistical results presented
10.3	Figures, tables, & captions	Yes	Clear figures with detailed captions
11.0	Key results	Yes	Main findings summarized
11.1	Interpretation	Yes	Results discussed in context
11.2	Limitations	Yes	Study limitations discussed
11.3	Generalizability	Yes	Result generalizability addressed
12.0	Ongoing & future work	Yes	Future directions outlined
13.0	Conclusions	Yes	Clear conclusions presented
14.0	Acknowledgements	Yes	Funding and contributions acknowledged
14.1	Funding	Yes	Funding sources listed
15.0	Conflicts of interest	Yes	COI statement included
16.0	Supplementary data & files	Yes	Supplementary materials described
17.0	Sample & data availability	Yes	Data availability statement provided
18.0	AI usage	No	No mention of AI use
