Number	Item	Present in the manuscript? Yes/No/NA	Comments or location in manuscript.1
1.0	Structured or unstructured abstract	Yes	Contains unstructured abstract with background, methods, results and significance (pg. 1)
1.1	Study design	Yes	States hydroponic growth experiment design and timeframes in abstract and Fig 1B
1.2	Environmental & sample information	Yes	Details EcoFAB 2.0 hydroponic system and B. distachyon samples
1.3	Host information (if applicable)	Yes	B. distachyon Bd21-3 strain specified with removed lemma 
1.4	Experiments & omics methods	Yes	Describes LC-MS/MS metabolomics, bacterial growth assays (pg. 1)
1.5	Analyses & results	Yes	Reports key findings on nitrogen effects on exudation (pg. 1)
2.0	Background & rationale	Yes	Extensive introduction with citations on nitrogen effects and plant exudation (pg. 1-2)
2.1	Hypotheses or questions	Yes	Clear hypothesis stated on pg. 2: "iN form and starvation will change plant exudate profile"
3.0	Study design	Yes	Detailed experimental design with replication and controls described (pg. 2, Fig 1B)
3.1	Samples	Yes	Sample collection and processing detailed in Methods (pg. 2-3)
3.2	Environmental context & geographic location	Yes	Laboratory conditions specified including light, temperature (pg. 2)
3.3	Relevant dates	No	Experimental timeline given but calendar dates not provided
3.4	Host(s) (if applicable)	Yes	Host plant B. distachyon Bd21-3 characteristics described (pg. 1)
3.5	Ethics	NA	Not required for plant research
3.6	Environmental conditions & experimental treatments	Yes	Growth conditions and N treatments fully detailed (pg. 2-3)
3.7	Sample collection	Yes	Comprehensive sampling protocols provided (pg. 3-4)
3.8	Eligibility/selection criteria	Yes	Sample inclusion criteria described in Methods
3.9	Analytic sample size	Yes	States 5 biological replicates per treatment group (pg. 2)
4.0	Storage & preservation	Yes	Sample preservation methods described in Methods (pg. 3)
4.1	Shipping	NA	Not applicable - lab-based study
4.2	Extraction methods	Yes	DNA/metabolite extraction methods detailed (pg. 4)
4.3	Experiments & sample processing	Yes	Sample handling and analysis protocols provided (pg. 3-4)
4.4	Library preparation	NA	Not applicable - metabolomics study
4.5	Depletion, enrichment, & multiplexing	NA	Not applicable - metabolomics study  
4.6	Primer selection	NA	Not applicable - metabolomics study
5.0	Positive controls	Yes	Technical controls included (pg. 2)
5.1	Negative controls	Yes	Extraction controls described (pg. 4)
6.0	Quantification & quality assessments	Yes	Quality control parameters detailed (pg. 4)
6.1	Contaminant mitigation & identification	Yes	Contaminant filtering described (pg. 4)
6.2	Replication	Yes	5 biological replicates per treatment specified (pg. 2)
6.3	Sequencing methods	NA	Not applicable - metabolomics study
6.4	Metabolomics, metaproteomics, & other omics methods	Yes	Detailed LC-MS/MS methods provided (pg. 4)
6.5	Contextual & linked datasets	Yes	Associated data and code availability stated (pg. 14)
6.6	Batch effects	Yes	Discusses technical variability (pg. 8)
7.0	Bioinformatics analyses	Yes	Data analysis methods detailed (pg. 4-5)
7.1	Quality control	Yes	QC filtering described (pg. 4)
7.2	Normalization	Yes	Data normalization methods described (pg. 4)
7.3	Database information	Yes	GNPS and other databases specified (pg. 4)
7.4	Statistical methods	Yes	Statistical analyses detailed (pg. 4-5)
7.5	Missing data	Yes	Handling of missing data addressed (pg. 8)
7.6	Bias & confounding variables	Yes	Technical variability discussed (pg. 8)
7.7	Subgroup analysis	NA	Not applicable to study design
7.8	Sensitivity analyses	No	No explicit sensitivity analyses reported
7.9	Criteria for significance	Yes	Statistical significance criteria specified (p. 4)
8.0	Metadata access	Yes	Data availability statements provided (p. 14)
8.1	Host data access (if applicable)	Yes	Phenotype data availability stated (p. 14) 
8.2	Raw data access	Yes	MS data availability in MassIVE specified (p. 14)
8.3	Processed data access	Yes	Processed data availability stated (p. 14)
8.4	Software & source code access	Yes	Code availability on GitHub detailed (p. 14)
8.5	Reproducible research	Yes	Reproducibility information provided (p. 14)
9.0	Descriptive data	Yes	Sample characteristics described (pg. 2-3)
10.0	Microbiome sequencing data	NA	Not applicable - metabolomics study
10.1	Metabolomics, proteomics, & other omics data	Yes	Metabolomics results reported (pg. 4-6)
10.2	Statistical analyses	Yes	Statistical results presented throughout
10.3	Figures, tables, & captions	Yes	Clear figures with detailed captions provided
11.0	Key results	Yes	Key findings summarized (pg. 8-9)
11.1	Interpretation	Yes	Results interpreted in context (pg. 8-9)
11.2	Limitations	Yes	Study limitations discussed (pg. 9)
11.3	Generalizability	Yes	Result generalizability discussed (pg. 9)
12.0	Ongoing & future work	Yes	Future directions outlined (pg. 9)
13.0	Conclusions	Yes	Clear conclusions presented (pg. 10)
14.0	Acknowledgements	Yes	Detailed acknowledgements provided (pg. 14)
14.1	Funding	Yes	Funding sources listed (pg. 14)
15.0	Conflicts of interest	Yes	COI statement included (pg. 14)
16.0	Supplementary data & files	Yes	Supplementary materials described (pg. 14)
17.0	Sample & data availability	Yes	Comprehensive data availability statement (pg. 14)
18.0	AI usage	No	No statement about AI usage provided
