Filename	NA Votes	No Votes	Yes Votes
1-s2.0-S0016706121007540-main.tsv	12	8	47
2022.12.12.520098v2.full.tsv	8	7	52
41564_2019_Article_449.tsv	6	6	55
BISS_article_20637.tsv	44	6	17
JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv	10	6	51
Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv	8	4	55
Molecular Ecology - 2023 - He - Diversity  distribution  and expression of opsin genes in freshwater lakes.tsv	5	7	55
New Phytologist - 2018 - Sasse - Multilab EcoFAB study shows highly reproducible physiology and depletion of soil.tsv	6	5	56
Soil_Bacterial_Diversity_Is_Positively_Correlated_.tsv	1	6	60
acp-23-15783-2023.tsv	11	9	47
alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.tsv	8	6	53
bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.tsv	8	11	48
blair-et-al-2018-exploration-of-the-biosynthetic-potential-of-the-populus-microbiome.tsv	7	10	50
file.tsv	11	9	47
gkab990.tsv	6	9	52
microorganisms-09-00357-v2.tsv	5	8	54
nguyen-et-al-2024-metatranscriptomes-of-two-biological-soil-crust-types-from-the-mojave-desert-in-response-to-wetting.tsv	10	16	41
s40168-020-00889-8.tsv	11	13	43
s41467-023-36515-y.tsv	4	3	60
s41564-020-00861-0.tsv	4	3	60
s41564-022-01266-x.tsv	1	0	66
s41597-019-0132-4.tsv	6	0	61
s41597-024-03069-7.tsv	2	5	60
s41597-024-04013-5.tsv	7	12	48
sciadv.adg7888.tsv	8	3	56
