study_id	doi_value	doi_category	doi_provider
nmdc:sty-11-076c9980	doi:10.25585/1488160	dataset_doi	jgi
nmdc:sty-11-076c9980	doi:10.46936/10.25585/60000880	award_doi	jgi
nmdc:sty-11-076c9980	doi:10.46936/sthm.proj.2017.49804/60006181	award_doi	emsl
nmdc:sty-11-076c9980	doi:10.25345/C58C9RF3K	dataset_doi	massive
nmdc:sty-11-1t150432	doi:10.25585/1488096	dataset_doi	jgi
nmdc:sty-11-1t150432	doi:10.46936/10.25585/60000910	award_doi	jgi
nmdc:sty-11-1t150432	doi:10.1128/mSystems.00045-18	publication_doi	
nmdc:sty-11-28tm5d36	doi:10.46936/intm.proj.2021.60141/60000423	award_doi	emsl
nmdc:sty-11-28tm5d36	doi:10.1101/2022.12.12.520098	publication_doi	
nmdc:sty-11-28tm5d36	doi:10.5281/zenodo.7406532	dataset_doi	zenodo
nmdc:sty-11-28tm5d36	doi:10.46936/10.25585/60008461	award_doi	jgi
nmdc:sty-11-33fbta56	doi:10.25585/1488099	dataset_doi	jgi
nmdc:sty-11-33fbta56	doi:10.46936/10.25585/60001027	award_doi	jgi
nmdc:sty-11-33fbta56	doi:10.46936/sthm.proj.2016.49279/60005943	award_doi	emsl
nmdc:sty-11-547rwq94	doi:10.25345/C5CG8S	dataset_doi	massive
nmdc:sty-11-547rwq94	doi:10.25345/C5F92D	dataset_doi	massive
nmdc:sty-11-547rwq94	doi:10.1038/s41564-022-01266-x	publication_doi	
nmdc:sty-11-5bgrvr62	doi:10.46936/10.25585/60001198	award_doi	jgi
nmdc:sty-11-5bgrvr62	doi:10.1111/1462-2920.16314	publication_doi	
nmdc:sty-11-5bgrvr62	doi:10.1111/mec.16891	publication_doi	
nmdc:sty-11-5tgfr349	doi:10.46936/10.25585/60001289	award_doi	jgi
nmdc:sty-11-5tgfr349	doi:10.46936/sarr.proj.2018.50298/60000034	award_doi	emsl
nmdc:sty-11-5tgfr349	doi:10.46936/cpcy.proj.2019.51180/60006718	award_doi	emsl
nmdc:sty-11-5tgfr349	doi:10.15485/1603775	dataset_doi	ess_dive
nmdc:sty-11-5tgfr349	doi:10.15485/1729719	dataset_doi	ess_dive
nmdc:sty-11-5tgfr349	doi:10.25982/109073.30/1895615	dataset_doi	kbase
nmdc:sty-11-8fb6t785	doi:10.25585/1487763	dataset_doi	jgi
nmdc:sty-11-8fb6t785	doi:10.46936/jejc.proj.2014.48483/60005501	award_doi	emsl
nmdc:sty-11-8ws97026	doi:10.1021/acs.estlett.0c00748	publication_doi	
nmdc:sty-11-8ws97026	doi:10.1128/msystems.00768-19	publication_doi	
nmdc:sty-11-8xdqsn54	doi:10.46936/lser.proj.2019.50718/60006575	award_doi	emsl
nmdc:sty-11-8xdqsn54	doi:10.6073/pasta/4d5f03a4619e834c031ab4a6a121de12	dataset_doi	edi
nmdc:sty-11-aygzgv51	doi:10.25585/1487765	dataset_doi	jgi
nmdc:sty-11-aygzgv51	doi:10.46936/jejc.proj.2014.48473/60005497	award_doi	emsl
nmdc:sty-11-aygzgv51	doi:10.1371/journal.pone.0228165	publication_doi	
nmdc:sty-11-db67n062	doi:10.46936/sarr.proj.2018.50267/60000030	award_doi	emsl
nmdc:sty-11-db67n062	doi:10.1016/j.geoderma.2021.115674	publication_doi	
nmdc:sty-11-db67n062	doi:10.1029/2022JG006889	publication_doi	
nmdc:sty-11-db67n062	doi:10.1002/ppp.2200	publication_doi	
nmdc:sty-11-db67n062	doi:10.15485/1838886	dataset_doi	ess_dive
nmdc:sty-11-db67n062	doi:10.5281/zenodo.8071247	dataset_doi	zenodo
nmdc:sty-11-db67n062	doi:10.5281/zenodo.5816355	dataset_doi	zenodo
nmdc:sty-11-db67n062	doi:10.5281/zenodo.6533064	dataset_doi	zenodo
nmdc:sty-11-dcqce727	doi:10.25585/1488224	dataset_doi	jgi
nmdc:sty-11-dcqce727	doi:10.46936/fics.proj.2017.49991/60006232	award_doi	emsl
nmdc:sty-11-dcqce727	doi:10.21952/WTR/1573029	dataset_doi	ess_dive
nmdc:sty-11-dcqce727	doi:10.15485/1577267	dataset_doi	ess_dive
nmdc:sty-11-e4yb9z58	doi:10.46936/10.25585/60000818	award_doi	jgi
nmdc:sty-11-e4yb9z58	doi:10.1038/s41467-023-36515-y	publication_doi	
nmdc:sty-11-ev70y104	doi:10.25345/C5Q23RB6B	dataset_doi	massive
nmdc:sty-11-ev70y104	doi:10.6084/m9.figshare.c.7373842	dataset_doi	figshare
nmdc:sty-11-fkbnah04	doi:10.25345/C5QB9VG8C	dataset_doi	massive
nmdc:sty-11-fkbnah04	doi:10.1002/lno.11306	publication_doi	
nmdc:sty-11-fkbnah04	doi:10.46936/10.25585/60000947	award_doi	jgi
nmdc:sty-11-prtb4s28	doi:10.25345/C5JS9HJ9J	dataset_doi	massive
nmdc:sty-11-prtb4s28	doi:10.25345/C58C9RF3K	dataset_doi	massive
nmdc:sty-11-prtb4s28	doi:10.46936/10.25585/60000944	award_doi	jgi
nmdc:sty-11-r2h77870	doi:10.46936/10.25585/60000017	award_doi	jgi
nmdc:sty-11-r2h77870	doi:10.25345/C58K7520G	dataset_doi	massive
nmdc:sty-11-r2h77870	doi:10.1038/s41597-024-03069-7	publication_doi	
nmdc:sty-11-t91cwb40	doi:10.46936/10.25585/60001061	award_doi	jgi
nmdc:sty-11-t91cwb40	doi:10.1038/s41564-020-00861-0	publication_doi	
nmdc:sty-11-zs2syx06	doi:10.46936/10.25585/60000762	award_doi	jgi
