Number	Item	Present in the manuscript? Yes/No/NA	Comments or location in manuscript.1
1.0	Structured or unstructured abstract	Yes	Brief unstructured abstract present describing key aspects of study
1.1	Study design	Yes	Study design described in abstract and methods 
1.2	Environmental & sample information	Yes	Soil surface consortium and soil samples described
1.3	Host information (if applicable)	NA	Not applicable - environmental samples
1.4	Experiments & omics methods	Yes	Metatranscriptomic sequencing methods described
1.5	Analyses & results	Yes	Brief description of initial analysis provided
2.0	Background & rationale	Yes	Background on microbial inoculants provided with citations
2.1	Hypotheses or questions	Yes	Purpose to examine consortium with/without soil microbiome stated
3.0	Study design	Yes	Experimental design with treatments described in methods
3.1	Samples	Yes	Sample types and preparation detailed
3.2	Environmental context & geographic location	Yes	Penn State's Agronomy Research Farm location specified
3.3	Relevant dates	Yes	5-week incubation period and other timings specified
3.4	Host(s) (if applicable)	NA	Not applicable - environmental samples
3.5	Ethics	NA	Not applicable for this type of study
3.6	Environmental conditions & experimental treatments	Yes	Detailed description of treatments and conditions provided
3.7	Sample collection	Yes	Sample collection and processing methods described
3.8	Eligibility/selection criteria	Yes	Sample processing and selection criteria described
3.9	Analytic sample size	Yes	Number of replicates (6) per treatment specified
4.0	Storage & preservation	Yes	Sample handling and storage conditions described
4.1	Shipping	Yes	Shipping to JGI mentioned
4.2	Extraction methods	Yes	RNA extraction methods detailed
4.3	Experiments & sample processing	Yes	Sample processing methods detailed
4.4	Library preparation	Yes	Library preparation protocol described in detail
4.5	Depletion, enrichment, & multiplexing	Yes	rRNA removal and library prep details provided
4.6	Primer selection	NA	Not applicable for RNA-seq
5.0	Positive controls	No	No mention of controls
5.1	Negative controls	No	No mention of controls
6.0	Quantification & quality assessments	Yes	RNA quality assessment (RIN score) reported
6.1	Contaminant mitigation & identification	Yes	Contaminant removal in bioinformatics described
6.2	Replication	Yes	6 replicates per treatment
6.3	Sequencing methods	Yes	Sequencing platform and parameters specified
6.4	Metabolomics, metaproteomics, & other omics methods	NA	Only metatranscriptomics performed
6.5	Contextual & linked datasets	Yes	Links to sequence data provided
6.6	Batch effects	No	Not discussed
7.0	Bioinformatics analyses	Yes	Detailed bioinformatics methods provided
7.1	Quality control	Yes	Quality control steps described
7.2	Normalization	Yes	Normalization method specified
7.3	Database information	Yes	Database versions and parameters provided
7.4	Statistical methods	Yes	Analysis methods described
7.5	Missing data	No	Not discussed
7.6	Bias & confounding variables	No	Not discussed
7.7	Subgroup analysis	Yes	Analysis by treatment groups described
7.8	Sensitivity analyses	No	Not discussed
7.9	Criteria for significance	Yes	Criteria for analyses specified
8.0	Metadata access	Yes	Data accessible through JGI GOLD database
8.1	Host data access (if applicable)	NA	Not applicable
8.2	Raw data access	Yes	Data availability and accession provided
8.3	Processed data access	Yes	Processed data available through JGI
8.4	Software & source code access	Yes	Software versions and parameters provided
8.5	Reproducible research	Yes	Methods described in reproducible detail
9.0	Descriptive data	Yes	Sample characteristics summarized in Table 1
10.0	Microbiome sequencing data	Yes	Sequencing results summarized
10.1	Metabolomics, proteomics, & other omics data	NA	Not applicable
10.2	Statistical analyses	Yes	Analysis results presented in Table 1
10.3	Figures, tables, & captions	Yes	Comprehensive data table provided
11.0	Key results	Yes	Initial findings briefly described
11.1	Interpretation	Yes	Brief interpretation provided
11.2	Limitations	No	Not discussed
11.3	Generalizability	No	Not discussed
12.0	Ongoing & future work	No	Not discussed
13.0	Conclusions	Yes	Brief conclusions provided
14.0	Acknowledgements	Yes	Acknowledgements section included
14.1	Funding	Yes	Funding sources detailed
15.0	Conflicts of interest	No	No conflicts of interest statement
16.0	Supplementary data & files	No	No supplementary materials mentioned
17.0	Sample & data availability	Yes	Data availability statement with accession numbers provided
18.0	AI usage	NA	Published in 2020, before AI usage reporting requirements
