Number	Item	Present in the manuscript? Yes/No/NA	Comments or location in manuscript.1
1.0	Structured or unstructured abstract	Yes	Unstructured abstract present with background, methods, results, and conclusions
1.1	Study design	Yes	Study design stated in abstract as "incubation experiment"
1.2	Environmental & sample information	Yes	Describes soil and maize leaf samples from agricultural field
1.3	Host information (if applicable)	NA	No host organisms involved in study
1.4	Experiments & omics methods	Yes	16S rRNA gene metabarcoding described in abstract
1.5	Analyses & results	Yes	Abstract describes analysis of bacterial diversity and correlation with decomposition rates
2.0	Background & rationale	Yes	Introduction provides background on litter decomposition and microbial roles with citations
2.1	Hypotheses or questions	Yes	Two hypotheses stated in introduction regarding bacterial diversity correlation and invasion
3.0	Study design	Yes	Detailed experimental design described in Methods section 2.2
3.1	Samples	Yes	Soil and maize leaf samples described in Methods section 2.1
3.2	Environmental context & geographic location	Yes	Location and soil characteristics provided in Methods section 2.1
3.3	Relevant dates	Yes	Sampling date (October 2015) provided in Methods section 2.1
3.4	Host(s) (if applicable)	NA	No host organisms involved in study
3.5	Ethics	No	No ethics statements or permit information provided
3.6	Environmental conditions & experimental treatments	Yes	Incubation conditions and treatments detailed in Methods section 2.2
3.7	Sample collection	Yes	Sampling methods described in Methods section 2.1
3.8	Eligibility/selection criteria	No	No explicit inclusion/exclusion criteria stated
3.9	Analytic sample size	Yes	Three replicates per treatment detailed in Methods
4.0	Storage & preservation	Yes	Storage conditions (-20°C) described in Methods
4.1	Shipping	No	No shipping information provided
4.2	Extraction methods	Yes	DNA extraction methods detailed in Methods section 2.3
4.3	Experiments & sample processing	Yes	Sample processing described in Methods sections 2.2-2.3
4.4	Library preparation	Yes	Detailed library preparation protocol in Methods section 2.3
4.5	Depletion, enrichment, & multiplexing	Yes	Indexing and multiplexing described in Methods section 2.3
4.6	Primer selection	Yes	Primer information provided in Methods section 2.3 and Table S2
5.0	Positive controls	No	No positive controls described
5.1	Negative controls	Yes	Extraction and PCR controls mentioned in Methods section 2.3
6.0	Quantification & quality assessments	Yes	DNA quantification and quality assessment methods described in Methods section 2.3
6.1	Contaminant mitigation & identification	Yes	Quality control steps described in Methods section 2.4
6.2	Replication	Yes	Three replicates per treatment described throughout
6.3	Sequencing methods	Yes	Sequencing platform and chemistry detailed in Methods section 2.3
6.4	Metabolomics, metaproteomics, & other omics methods	NA	No other omics methods used
6.5	Contextual & linked datasets	Yes	Associated data available in supplementary materials
6.6	Batch effects	No	No discussion of batch effects
7.0	Bioinformatics analyses	Yes	Detailed bioinformatics pipeline described in Methods section 2.4
7.1	Quality control	Yes	Quality filtering parameters described in Methods section 2.4
7.2	Normalization	Yes	Rarefaction to 33,899 reads described in Methods section 2.4
7.3	Database information	Yes	SILVA database (release 132) referenced in Methods section 2.4
7.4	Statistical methods	Yes	Statistical analyses detailed in Methods section 2.4
7.5	Missing data	No	No discussion of missing data handling
7.6	Bias & confounding variables	Yes	Potential biases discussed in Discussion
7.7	Subgroup analysis	Yes	Subgroup analyses described in Methods section 2.4
7.8	Sensitivity analyses	No	No sensitivity analyses reported
7.9	Criteria for significance	Yes	Statistical significance criteria described in Methods section 2.4
8.0	Metadata access	Yes	Data accessibility statement provided
8.1	Host data access (if applicable)	NA	No host data involved
8.2	Raw data access	Yes	Raw sequence data available in NCBI SRA (SRP127524)
8.3	Processed data access	Yes	Processed data available in supplementary materials
8.4	Software & source code access	Yes	Software versions and parameters provided throughout Methods
8.5	Reproducible research	Yes	Detailed methods enable reproducibility
9.0	Descriptive data	Yes	Sample characteristics described in Results
10.0	Microbiome sequencing data	Yes	Sequencing results reported in section 3.3
10.1	Metabolomics, proteomics, & other omics data	NA	No other omics data
10.2	Statistical analyses	Yes	Statistical results reported throughout Results
10.3	Figures, tables, & captions	Yes	Multiple figures and tables with detailed captions
11.0	Key results	Yes	Key findings summarized in Discussion
11.1	Interpretation	Yes	Results interpreted in context of hypotheses
11.2	Limitations	Yes	Study limitations discussed in Discussion
11.3	Generalizability	Yes	Generalizability discussed in Discussion
12.0	Ongoing & future work	Yes	Future research directions discussed in Discussion
13.0	Conclusions	Yes	Clear conclusions provided
14.0	Acknowledgements	Yes	Acknowledgements section present
14.1	Funding	Yes	Funding information provided
15.0	Conflicts of interest	Yes	Conflicts of interest statement included
16.0	Supplementary data & files	Yes	Supplementary materials referenced throughout
17.0	Sample & data availability	Yes	Data availability statement with accession numbers
18.0	AI usage	No	No mention of AI usage
