Number	Item	Present in the manuscript? Yes/No/NA	Comments or location in manuscript.1
1.0	Structured or unstructured abstract	Yes	Unstructured abstract provided on page 1 containing background, methods, results, and conclusions.
1.1	Study design	Yes	Study design described in abstract as "genome-centric approach" with replicated plots of field-grown switchgrass and miscanthus.
1.2	Environmental & sample information	Yes	Abstract specifies leaf microbiome samples from switchgrass and miscanthus phyllosphere.
1.3	Host information (if applicable)	Yes	Abstract identifies hosts as switchgrass and miscanthus, replicated plots described.
1.4	Experiments & omics methods	Yes	Abstract describes metagenome and metatranscriptome sequencing and curation of 40 MAGs.
1.5	Analyses & results	Yes	Abstract describes key findings including MAG classes identified, upregulated transcripts, and seasonal dynamics.
2.0	Background & rationale	Yes	Introduction provides detailed background on perennial plants, microbiomes, and research motivation with citations.
2.1	Hypotheses or questions	Yes	Research questions stated in introduction (p.2) to understand functional attributes and activities of persistent phyllosphere taxa.
3.0	Study design	Yes	Observational field study design described in Methods, including spatial and temporal aspects over 2 growing seasons.
3.1	Samples	Yes	Leaf samples described in Methods with ID scheme and collection protocol.
3.2	Environmental context & geographic location	Yes	Located at GLBRC at KBS in Hickory Corners, MI (42°23'41.6" N, 85°22'23.1" W).
3.3	Relevant dates	Yes	Sampling dates provided in Table 1 and Fig. 1 for 2016-2017 growing seasons.
3.4	Host(s) (if applicable)	Yes	Switchgrass (Panicum virgatum L. cultivar Cave-in-rock) and miscanthus (Miscanthus x giganteus) described.
3.5	Ethics	NA	No ethics protocols required for plant sampling.
3.6	Environmental conditions & experimental treatments	Yes	Field conditions and phenological stages described throughout sampling period.
3.7	Sample collection	Yes	Detailed leaf collection methods described in Methods section.
3.8	Eligibility/selection criteria	Yes	Sample selection criteria described in Methods for plot replicates.
3.9	Analytic sample size	Yes	Sample sizes provided in Table 1 - includes numbers of successful metagenomes and metatranscriptomes.
4.0	Storage & preservation	Yes	Flash freezing in liquid nitrogen and -80°C storage described in Methods.
4.1	Shipping	NA	No shipping involved, on-site collection.
4.2	Extraction methods	Yes	Detailed DNA/RNA extraction protocols provided in Methods.
4.3	Experiments & sample processing	Yes	Sample processing methods detailed in Methods section.
4.4	Library preparation	Yes	Library preparation methods described in Methods with kit specifications.
4.5	Depletion, enrichment, & multiplexing	Yes	rRNA depletion described in Methods.
4.6	Primer selection	Yes	Sequencing methods described but not PCR-based.
5.0	Positive controls	No	No mention of positive controls.
5.1	Negative controls	No	No mention of negative controls.
6.0	Quantification & quality assessments	Yes	Quality control steps described in Methods and Fig. S1.
6.1	Contaminant mitigation & identification	Yes	Host DNA/RNA and fungal read filtering described.
6.2	Replication	Yes	Four replicate plots described with biological replication.
6.3	Sequencing methods	Yes	Illumina sequencing platforms and methods detailed in Methods.
6.4	Metabolomics, metaproteomics, & other omics methods	NA	Study focused on metagenomics/metatranscriptomics only.
6.5	Contextual & linked datasets	Yes	Links to prior 16S rRNA and ITS studies provided.
6.6	Batch effects	Yes	Sample processing and analysis standardization described.
7.0	Bioinformatics analyses	Yes	Detailed bioinformatics pipeline described in Methods and Fig. 2.
7.1	Quality control	Yes	QC steps for sequence data and MAGs described.
7.2	Normalization	Yes	Read normalization methods described in Methods.
7.3	Database information	Yes	Reference databases and versions listed in Methods.
7.4	Statistical methods	Yes	Statistical analyses detailed in Methods.
7.5	Missing data	Yes	Sample exclusion criteria described.
7.6	Bias & confounding variables	Yes	Potential biases discussed throughout Methods and Results.
7.7	Subgroup analysis	Yes	MAG clustering and subgroup analyses described.
7.8	Sensitivity analyses	Yes	Multiple analytical approaches described to verify findings.
7.9	Criteria for significance	Yes	Statistical significance criteria defined in Methods.
8.0	Metadata access	Yes	Data availability statement provided.
8.1	Host data access (if applicable)	Yes	Host genome references cited.
8.2	Raw data access	Yes	Raw data deposited in JGI portal with accession.
8.3	Processed data access	Yes	Processed data deposited in NCBI (PRJNA800073).
8.4	Software & source code access	Yes	Code available on GitHub and Zenodo.
8.5	Reproducible research	Yes	Reproducibility information provided in Methods.
9.0	Descriptive data	Yes	Sample characteristics summarized in Results.
10.0	Microbiome sequencing data	Yes	Comprehensive sequencing results presented.
10.1	Metabolomics, proteomics, & other omics data	NA	Study focused on metagenomics/metatranscriptomics only.
10.2	Statistical analyses	Yes	Statistical results reported throughout Results.
10.3	Figures, tables, & captions	Yes	Clear figures and tables with detailed captions provided.
11.0	Key results	Yes	Key findings summarized in Discussion.
11.1	Interpretation	Yes	Results interpreted in context of objectives and field.
11.2	Limitations	Yes	Study limitations discussed.
11.3	Generalizability	Yes	Generalizability discussed in Discussion.
12.0	Ongoing & future work	Yes	Future research directions outlined in Discussion.
13.0	Conclusions	Yes	Clear conclusions provided.
14.0	Acknowledgements	Yes	Detailed acknowledgements section with funding.
14.1	Funding	Yes	Funding sources and grant numbers provided.
15.0	Conflicts of interest	Yes	Authors declare no competing interests.
16.0	Supplementary data & files	Yes	Supplementary data referenced throughout.
17.0	Sample & data availability	Yes	Comprehensive data availability statement provided.
18.0	AI usage	No	No mention of AI usage in the study.
