Filename	DOI	inferred	looked-up	update	Year	Volume	Pages	Title	Author	Subject	Keywords	Creation Date	Modification Date	Producer	Creator
2022.12.12.520098v2.full.pdf			10.1101/2022.12.12.520098	10.3389/fsoil.2023.1120425				12861919	Mans, Douglas M			44999	45698	Microsoft® Word for Microsoft 365	Appligent AppendPDF Pro 5.5
Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.pdf			10.1002/lno.11306		2020	65	S101-S112	Time‐series metatranscriptomes reveal conserved patterns between phototrophic and heterotrophic microbes in diverse freshwater systems		Limnology & Oceanography 2020.65:S101-S112		43850	45698	Acrobat Distiller 8.1.0 (Windows); modified using iText 4.2.0 by 1T3XT	Arbortext Advanced Print Publisher 9.1.520/W Unicode
JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.pdf			10.1029/2022JG006889		2022	127	e2022JG006889	The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw Cycles		JGR Biogeosciences 2022.127:e2022JG006889		44700	45698	Adobe PDF Library 15.0; modified using iText 4.2.0 by 1T3XT	Adobe InDesign 15.1 (Windows)
gkab990.pdf			10.1093/nar/gkab990									44557	45525	Acrobat Distiller 21.0 (Windows); modified using iTextSharp 5.5.10 ©2000-2016 iText Group NV (AGPL-version)	XMLPublish v.3.0 Copyright 1991-2017 Aptara Inc.
Environmental Microbiology - 2022 - Olmsted - Environmental predictors of electroactive bacterioplankton in small boreal.pdf			10.1111/1462-2920.16314		2023	25	705-720	Environmental predictors of electroactive bacterioplankton in small boreal lakes		Environmental Microbiology 2023.25:705-720		44980	45698	Acrobat Distiller 11.0 (Windows); modified using iText 4.2.0 by 1T3XT	Arbortext Advanced Print Publisher 9.1.520/W Unicode
Molecular Ecology - 2023 - He - Diversity  distribution  and expression of opsin genes in freshwater lakes.pdf			10.1111/mec.16891		2023	32	2798-2817	Diversity, distribution, and expression of opsin genes in freshwater lakes		Molecular Ecology 2023.32:2798-2817		45064	45698	Adobe PDF Library 15.0; modified using iText 4.2.0 by 1T3XT	Adobe InDesign 15.1 (Windows)
New Phytologist - 2018 - Sasse - Multilab EcoFAB study shows highly reproducible physiology and depletion of soil.pdf			10.1111/nph.15662		2019	222	1149-1160	Multilab EcoFAB study shows highly reproducible physiology and depletion of soil metabolites by a model grass		New Phytologist 2019.222:1149-1160		43532	45498	Acrobat Distiller 10.0.0 (Windows); modified using iText 4.2.0 by 1T3XT	Arbortext Advanced Print Publisher 9.1.531/W Unicode
sciadv.adg7888.pdf			10.1126/sciadv.adg7888		2024	10	eadg7888	Reproducible growth of Brachypodium in EcoFAB 2.0 reveals that nitrogen form and starvation modulate root exudation		Sci. Adv. 2024.10:eadg7888		45289	45526	Adobe PDF Library 15.0; modified using iText 4.2.0 by 1T3XT	Adobe InDesign 16.2 (Windows)
Soil_Bacterial_Diversity_Is_Positively_Correlated_.pdf			10.3390/microorganisms9020357					Microsoft Word - microorganisms-1106083.docx	Admin			44238	44238	Acrobat Distiller 21.0 (Windows)	PScript5.dll Version 5.2.2
BISS_article_20637.pdf			10.3897/tdwgproceedings.1.20637							description	keywords			WeasyPrint 0.31 (http://weasyprint.org/)	
