subject	predicate	object	subject_label	predicate_label	object_label
ENVO:00002116	rdfs:subClassOf	ENVO:00003082	contaminated soil	None	enriched soil
ENVO:00002117	ENVO:02000200	ENVO:2000001	creosote contaminated soil	has increased levels of	creosote
ENVO:00002117	rdfs:subClassOf	ENVO:00002116	creosote contaminated soil	None	contaminated soil
ENVO:00002145	ENVO:02000200	CHEBI:35404	chromate contaminated soil	has increased levels of	chromate(2-)
ENVO:00002145	rdfs:subClassOf	ENVO:00003081	chromate contaminated soil	None	metal contaminated soil
ENVO:00002146	ENVO:02000200	CHEBI:27338	xylene contaminated soil	has increased levels of	xylene
ENVO:00002146	rdfs:subClassOf	ENVO:00002116	xylene contaminated soil	None	contaminated soil
ENVO:00002229	rdfs:subClassOf	ENVO:00001998	arenosol	None	soil
ENVO:00002230	RO:0002353	ENVO:01000952	anthrosol	output of	anthropisation
ENVO:00002230	rdfs:subClassOf	ENVO:00001998	anthrosol	None	soil
ENVO:00002230	rdfs:subClassOf	ENVO:0010001	anthrosol	None	anthropogenic environmental material
ENVO:00002231	rdfs:subClassOf	ENVO:00001998	alisol	None	soil
ENVO:00002233	rdfs:subClassOf	ENVO:00001998	albeluvisol	None	soil
ENVO:00002234	rdfs:subClassOf	ENVO:01001397	acrisol	None	ultisol
ENVO:00002235	rdfs:subClassOf	ENVO:00001998	cambisol	None	soil
ENVO:00002236	BFO:0000050	ENVO:00000134	cryosol	part of	permafrost
ENVO:00002236	rdfs:subClassOf	ENVO:01001526	cryosol	None	frozen soil
ENVO:00002237	rdfs:subClassOf	ENVO:00001998	chernozem	None	soil
ENVO:00002238	rdfs:subClassOf	ENVO:00001998	durisol	None	soil
ENVO:00002239	rdfs:subClassOf	ENVO:00001998	calcisol	None	soil
ENVO:00002240	rdfs:subClassOf	ENVO:00001998	kastanozem	None	soil
ENVO:00002241	rdfs:subClassOf	ENVO:00001998	leptosol	None	soil
ENVO:00002242	rdfs:subClassOf	ENVO:00001998	lixisol	None	soil
ENVO:00002244	rdfs:subClassOf	ENVO:00001998	gleysol	None	soil
ENVO:00002245	rdfs:subClassOf	ENVO:00001998	gypsisol	None	soil
ENVO:00002246	rdfs:subClassOf	ENVO:00001998	ferralsol	None	soil
ENVO:00002247	rdfs:subClassOf	ENVO:00001998	nitisol	None	soil
ENVO:00002249	rdfs:subClassOf	ENVO:00001998	phaeozem	None	soil
ENVO:00002251	rdfs:subClassOf	ENVO:00001998	planosol	None	soil
ENVO:00002252	rdfs:subClassOf	ENVO:00001998	solonchak	None	soil
ENVO:00002253	rdfs:subClassOf	ENVO:00001998	umbrisol	None	soil
ENVO:00002254	rdfs:subClassOf	ENVO:00001998	vertisol	None	soil
ENVO:00002255	rdfs:subClassOf	ENVO:00001998	solonetz	None	soil
ENVO:00002257	rdfs:subClassOf	ENVO:00001998	podzol	None	soil
ENVO:00002258	RO:0000053	ENVO:06105271	loam	has characteristic	soil texture
ENVO:00002258	rdfs:subClassOf	ENVO:00001998	loam	None	soil
ENVO:00002259	BFO:0000050	ENVO:00000077	agricultural soil	part of	agricultural ecosystem
ENVO:00002259	rdfs:subClassOf	ENVO:00001998	agricultural soil	None	soil
ENVO:00002260	BFO:0000050	ENVO:00000170	dune soil	part of	dune
ENVO:00002260	rdfs:subClassOf	ENVO:00005786	dune soil	None	upland soil
ENVO:00002262	RO:0002473	ENVO:00002982	clay soil	composed primarily of	clay
ENVO:00002262	rdfs:subClassOf	ENVO:00001998	clay soil	None	soil
ENVO:00002263	BFO:0000050	ENVO:00000011	garden soil	part of	garden
ENVO:00002263	RO:0001025	ENVO:00000011	garden soil	located in	garden
ENVO:00002263	rdfs:subClassOf	ENVO:00001998	garden soil	None	soil
ENVO:00002274	rdfs:subClassOf	ENVO:00001998	stagnosol	None	soil
ENVO:00002275	BFO:0000050	ENVO:01000983	technosol	part of	technosphere
ENVO:00002275	rdfs:subClassOf	ENVO:00001998	technosol	None	soil
ENVO:00002875	ENVO:02000200	ENVO:00002985	oil contaminated soil	has increased levels of	oil
ENVO:00002875	rdfs:subClassOf	ENVO:00002116	oil contaminated soil	None	contaminated soil
ENVO:00003081	ENVO:02000200	CHEBI:33521	metal contaminated soil	has increased levels of	metal atom
ENVO:00003081	rdfs:subClassOf	ENVO:00002116	metal contaminated soil	None	contaminated soil
ENVO:00003082	ENVO:02000200	BFO:0000040	enriched soil	has increased levels of	material entity
