# curie_map:
#   BFO: http://purl.obolibrary.org/obo/BFO_
#   CHEBI: http://purl.obolibrary.org/obo/CHEBI_
#   CL: http://purl.obolibrary.org/obo/CL_
#   DDANAT: http://purl.obolibrary.org/obo/DDANAT_
#   FAO: http://purl.obolibrary.org/obo/FAO_
#   GO: http://purl.obolibrary.org/obo/GO_
#   IDO: http://purl.obolibrary.org/obo/IDO_
#   MCO: http://purl.obolibrary.org/obo/MCO_
#   MICRO: http://purl.obolibrary.org/obo/MICRO_
#   NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
#   OBA: http://purl.obolibrary.org/obo/OBA_
#   OBI: http://purl.obolibrary.org/obo/OBI_
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   OMP: http://purl.obolibrary.org/obo/OMP_
#   owl: http://www.w3.org/2002/07/owl#
#   PATO: http://purl.obolibrary.org/obo/PATO_
#   PO: http://purl.obolibrary.org/obo/PO_
#   PR: http://purl.obolibrary.org/obo/PR_
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   SO: http://purl.obolibrary.org/obo/SO_
#   sssom: https://w3id.org/sssom/
#   UBERON: http://purl.obolibrary.org/obo/UBERON_
# license: https://w3id.org/sssom/license/unspecified
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
http://example.org/metpo-cleanroom/acidophile	acidophile	skos:closeMatch	CHEBI:37527	acid	semapv:LexicalMatching	oaklib	0.5	skos:relatedMatch	rdf:ID	chebi:37527
http://example.org/metpo-cleanroom/acidophile	acidophile	skos:closeMatch	https://w3id.org/metpo/0000038	Acidophile	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	acidophile
http://example.org/metpo-cleanroom/acidophile	acidophile	skos:closeMatch	MICRO:0001390	acidophile	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	acidophile
http://example.org/metpo-cleanroom/acidophile	acidophile	skos:closeMatch	OMP:0005009	acidophile	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	acidophile
http://example.org/metpo-cleanroom/acidophile	acidophile	skos:closeMatch	https://w3id.org/metpo/0000038	Acidophile	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	acidophile
http://example.org/metpo-cleanroom/acidophile	acidophile	skos:closeMatch	MICRO:0001390	acidophile	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	acidophile
http://example.org/metpo-cleanroom/acidophile	acidophile	skos:closeMatch	OMP:0005009	acidophile	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	acidophile
http://example.org/metpo-cleanroom/acidophile	acidophile	skos:closeMatch	PATO:0002418	acidophilic	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	acidophilic
http://example.org/metpo-cleanroom/acidophile	acidophile	skos:closeMatch	https://w3id.org/metpo/0000177	pH Optimum low	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	acidophile
http://example.org/metpo-cleanroom/acidophile	acidophile	skos:closeMatch	https://w3id.org/metpo/0000182	pH Range low	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	acidophile
