# curie_map:
#   SO: http://purl.obolibrary.org/obo/SO_
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/f86837cd-588f-462e-a7c8-d022d5be4895
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
http://example.org/metpo-cleanroom/CRISPR	CRISPR	skos:closeMatch	SO:0001459	CRISPR	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	crispr
http://example.org/metpo-cleanroom/CRISPR	CRISPR	skos:closeMatch	SO:0001459	CRISPR	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	crispr
http://example.org/metpo-cleanroom/CRISPR	CRISPR	skos:closeMatch	http://example.org/metpo-cleanroom/CRISPR	CRISPR	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	crispr
http://example.org/metpo-cleanroom/CRISPR	CRISPR	skos:closeMatch	http://example.org/metpo-cleanroom/CRISPR	CRISPR	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	crispr
http://example.org/metpo-cleanroom/CRISPR	CRISPR	skos:closeMatch	http://example.org/metpo-cleanroom/CRISPR	CRISPR	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	crispr
http://example.org/metpo-cleanroom/CRISPR	CRISPR	skos:closeMatch	http://example.org/metpo-cleanroom/CRISPR	CRISPR	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	crispr
http://example.org/metpo-cleanroom/biofilm	biofilm	skos:closeMatch	http://example.org/metpo-cleanroom/biofilm	biofilm	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasRelatedSynonym	biofilm-forming
http://example.org/metpo-cleanroom/biofilm	biofilm	skos:closeMatch	http://example.org/metpo-cleanroom/biofilm	biofilm	semapv:LexicalMatching	oaklib	0.5	skos:relatedMatch	skos:relatedMatch	go:0042710
http://example.org/metpo-cleanroom/biofilm	biofilm	skos:closeMatch	http://example.org/metpo-cleanroom/biofilm_formation	biofilm formation	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasRelatedSynonym	biofilm-forming
http://example.org/metpo-cleanroom/biofilm	biofilm	skos:closeMatch	http://example.org/metpo-cleanroom/biofilm_formation	biofilm formation	semapv:LexicalMatching	oaklib	0.5	skos:relatedMatch	skos:relatedMatch	go:0042710
http://example.org/metpo-cleanroom/biofilm_formation	biofilm formation	skos:closeMatch	http://example.org/metpo-cleanroom/biofilm	biofilm	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasRelatedSynonym	biofilm-forming
