slot	used_in_nmdc	exclusive_to_mixs_compliant_data
HACCP_term	False	False
IFSAC_category	False	False
abs_air_humidity	True	False
adapters	False	False
add_recov_method	True	False
additional_info	True	False
address	True	False
adj_room	True	False
adjacent_environment	False	False
aero_struc	True	False
agriculture_data	False	True
agrochem_addition	True	False
air_PM_concen	True	False
air_data	False	True
air_flow_impede	False	False
air_temp	True	False
air_temp_regm	True	False
al_sat	True	False
al_sat_meth	True	False
alkalinity	True	False
alkalinity_method	True	False
alkyl_diethers	True	False
alt	True	False
aminopept_act	True	False
ammonium	True	False
amniotic_fluid_color	False	False
amount_light	True	False
ances_data	True	False
anim_water_method	False	False
animal_am	False	False
animal_am_dur	False	False
animal_am_freq	False	False
animal_am_route	False	False
animal_am_use	False	False
animal_body_cond	False	False
animal_diet	False	False
animal_feed_equip	False	False
animal_group_size	False	False
animal_housing	False	False
animal_intrusion	False	False
animal_sex	False	False
annot	False	False
annual_precpt	True	False
annual_temp	True	False
antibiotic_regm	True	False
api	True	False
arch_struc	True	False
area_samp_size	False	False
aromatics_pc	True	False
asphaltenes_pc	True	False
assembly_name	False	False
assembly_qual	False	False
assembly_software	False	False
associated_resource	False	False
association_duration	False	False
atmospheric_data	True	False
avg_dew_point	True	False
avg_occup	True	False
avg_temp	True	False
bac_prod	True	False
bac_resp	True	False
bacteria_carb_prod	True	False
bacterial_density	False	False
barometric_press	True	False
basin	True	False
bathroom_count	True	False
bedroom_count	True	False
benzene	True	False
bin_param	False	False
bin_software	False	False
biochem_oxygen_dem	True	False
biocide	True	False
biocide_admin_method	True	False
biocide_used	False	False
biol_stat	True	False
biomass	True	False
biotic_regm	True	False
biotic_relationship	True	False
birth_control	False	False
bishomohopanol	True	False
blood_blood_disord	False	False
blood_press_diast	True	False
blood_press_syst	True	False
bromide	True	False
build_docs	True	False
build_occup_type	True	False
building_setting	True	False
built_environment_data	False	True
built_struc_age	True	False
built_struc_set	True	False
built_struc_type	True	False
calcium	True	False
carb_dioxide	True	False
carb_monoxide	True	False
carb_nitro_ratio	True	False
ceil_area	True	False
ceil_cond	True	False
ceil_finish_mat	True	False
ceil_struc	True	False
ceil_texture	True	False
ceil_thermal_mass	True	False
ceil_type	True	False
ceil_water_mold	True	False
chem_administration	True	False
chem_mutagen	True	False
chem_oxygen_dem	True	False
chem_treat_method	True	False
chem_treatment	True	False
chimera_check	False	False
chloride	True	False
chlorophyll	True	False
climate_environment	True	False
coll_site_geo_feat	False	False
collection_date	True	False
compl_appr	False	False
compl_score	False	False
compl_software	False	False
conduc	True	False
cons_food_stor_dur	False	False
cons_food_stor_temp	False	False
cons_purch_date	False	False
cons_qty_purchased	False	False
contam_score	False	False
contam_screen_input	False	False
contam_screen_param	False	False
cool_syst_id	True	False
crop_rotation	True	False
crop_yield	False	False
cult_isol_date	False	False
cult_result	False	False
cult_result_org	False	False
cult_root_med	True	False
cult_target	False	False
cur_land_use	True	False
cur_vegetation	True	False
cur_vegetation_meth	True	False
date_extr_weath	False	False
date_last_rain	True	False
decontam_software	False	False
density	True	False
depos_env	True	False
depth	True	False
dermatology_disord	False	False
detec_type	False	False
dew_point	True	False
diet_last_six_month	False	False
dietary_claim_use	False	False
diether_lipids	True	False
diss_carb_dioxide	True	False
diss_hydrogen	True	False
diss_inorg_carb	True	False
diss_inorg_nitro	True	False
diss_inorg_phosp	True	False
diss_iron	True	False
diss_org_carb	True	False
diss_org_nitro	True	False
diss_oxygen	True	False
diss_oxygen_fluid	True	False
dominant_hand	False	False
door_comp_type	True	False
door_cond	True	False
door_direct	True	False
door_loc	True	False
door_mat	True	False
door_move	True	False
door_size	True	False
door_type	True	False
door_type_metal	True	False
door_type_wood	True	False
door_water_mold	True	False
douche	False	False
down_par	True	False
drainage_class	True	False
drawings	True	False
drug_usage	False	False
efficiency_percent	True	False
elev	True	False
elevator	True	False
emulsions	True	False
encoded_traits	False	False
enrichment_protocol	False	False
env_broad_scale	True	False
env_local_scale	True	False
env_medium	True	False
env_monitoring_zone	False	False
escalator	True	False
estimated_size	False	False
ethnicity	False	False
ethylbenzene	True	False
exp_duct	True	False
exp_pipe	True	False
experimental_factor	True	False
ext_door	True	False
ext_wall_orient	True	False
ext_window_orient	True	False
extr_weather_event	False	False
extrachrom_elements	False	False
extreme_event	True	False
facility_type	False	False
fao_class	True	False
farm_equip	False	False
farm_equip_san	False	False
farm_equip_san_freq	False	False
farm_equip_shared	False	False
farm_water_source	False	False
feat_pred	False	False
ferm_chem_add	False	False
ferm_chem_add_perc	False	False
ferm_headspace_oxy	False	False
ferm_medium	False	False
ferm_pH	False	False
ferm_rel_humidity	False	False
ferm_temp	False	False
ferm_time	False	False
ferm_vessel	False	False
fertilizer_admin	False	False
fertilizer_date	False	False
fertilizer_regm	True	False
field	True	False
filter_type	True	False
fire	True	False
fireplace_type	True	False
flooding	True	False
floor_age	True	False
floor_area	True	False
floor_cond	True	False
floor_count	True	False
floor_finish_mat	True	False
floor_struc	True	False
floor_thermal_mass	True	False
floor_water_mold	True	False
fluor	True	False
foetal_health_stat	False	False
food_additive	False	False
food_allergen_label	False	False
food_animal_and_animal_feed_data	False	True
food_clean_proc	False	False
food_contact_surf	False	False
food_contain_wrap	False	False
food_cooking_proc	False	False
food_dis_point	False	False
food_dis_point_city	False	False
food_farm_environment_data	False	True
food_food_production_facility_data	False	True
food_harvest_proc	False	False
food_human_foods_data	False	True
food_ingredient	False	False
food_name_status	False	False
food_origin	False	False
food_pack_capacity	False	False
food_pack_integrity	False	False
food_pack_medium	False	False
food_preserv_proc	False	False
food_prior_contact	False	False
food_prod	False	False
food_prod_char	False	False
food_prod_synonym	False	False
food_product_qual	False	False
food_product_type	False	False
food_quality_date	False	False
food_source	False	False
food_source_age	False	False
food_trace_list	False	False
food_trav_mode	False	False
food_trav_vehic	False	False
food_treat_proc	False	False
freq_clean	True	False
freq_cook	True	False
fungicide_regm	True	False
furniture	True	False
gaseous_environment	True	False
gaseous_substances	True	False
gastrointest_disord	False	False
gender_restroom	True	False
genetic_mod	True	False
geo_loc_name	True	False
gestation_state	False	False
glucosidase_act	True	False
gravidity	True	False
gravity	True	False
growth_facil	True	False
growth_habit	True	False
growth_hormone_regm	True	False
growth_medium	False	False
gynecologic_disord	False	False
hall_count	True	False
handidness	True	False
hc_produced	True	False
hcr	True	False
hcr_fw_salinity	True	False
hcr_geol_age	True	False
hcr_pressure	True	False
hcr_temp	True	False
heat_cool_type	True	False
heat_deliv_loc	True	False
heat_sys_deliv_meth	True	False
heat_system_id	True	False
heavy_metals	True	False
heavy_metals_meth	True	False
height_carper_fiber	True	False
herbicide_regm	True	False
horizon_meth	True	False
host_age	True	False
host_associated_data	False	True
host_body_habitat	True	False
host_body_mass_index	False	False
host_body_product	True	False
host_body_site	True	False
host_body_temp	True	False
host_cellular_loc	False	False
host_color	True	False
host_common_name	True	False
host_dependence	False	False
host_diet	True	False
host_disease_stat	True	False
host_dry_mass	True	False
host_fam_rel	False	False
host_genotype	True	False
host_growth_cond	True	False
host_height	True	False
host_hiv_stat	False	False
host_infra_spec_name	False	False
host_infra_spec_rank	False	False
host_last_meal	True	False
host_length	True	False
host_life_stage	True	False
host_number	False	False
host_occupation	False	False
host_of_host_coinf	False	False
host_of_host_disease	False	False
host_of_host_env_loc	False	False
host_of_host_env_med	False	False
host_of_host_fam_rel	False	False
host_of_host_geno	False	False
host_of_host_gravid	False	False
host_of_host_infname	False	False
host_of_host_infrank	False	False
host_of_host_name	False	False
host_of_host_pheno	False	False
host_of_host_sub_id	False	False
host_of_host_taxid	False	False
host_of_host_totmass	False	False
host_phenotype	True	False
host_pred_appr	False	False
host_pred_est_acc	False	False
host_pulse	False	False
host_sex	True	False
host_shape	True	False
host_spec_range	False	False
host_specificity	False	False
host_subject_id	True	False
host_subspecf_genlin	True	False
host_substrate	True	False
host_symbiont	True	False
host_taxid	True	False
host_tot_mass	True	False
host_wet_mass	True	False
hrt	False	False
human_associated_data	False	True
human_gut_data	False	True
human_oral_data	False	True
human_skin_data	False	True
human_vaginal_data	False	True
humidity	True	False
humidity_regm	True	False
hydrocarbon_resources_cores_data	False	True
hydrocarbon_resources_fluids_swabs_data	False	True
hygienic_area	False	False
hysterectomy	False	False
ihmc_medication_code	False	False
indoor_space	True	False
indoor_surf	True	False
indust_eff_percent	True	False
inorg_particles	True	False
inside_lux	True	False
int_wall_cond	True	False
intended_consumer	False	False
