harmonized_name	total_count
abs_air_humidity	18185
add_recov_method	188
additional_info	812
address	2884
adj_room	44
adjacent_environment	710
affection_status	7
age	4638230
agrochem_addition	34336
air_pm_concen	278
air_temp	20136
air_temp_regm	18782
al_sat	10388
al_sat_meth	9680
alkalinity	16667
alkalinity_method	635
alkyl_diethers	5242
altitude	240738
aminopept_act	5160
ammonium	33612
amniotic_fluid_color	2583
analyte_type	6857334
anamorph	928
ances_data	1632
anim_water_method	105
animal_am_dur	39
animal_am_freq	24
animal_am_route	24
animal_am_use	24
animal_body_cond	163
animal_diet	243
animal_env	12246
animal_feed_equip	25
animal_intrusion	2910
animal_sex	449
annual_precpt	9576
annual_season_precpt	31379
annual_season_temp	29544
annual_temp	9589
antibiotic_regm	2587
antiviral_treatment_agent	15872
api	274
arch_struc	66
area_samp_size	1181
association_duration	67
atmospheric_data	1720
authority	1598
avg_occup	3
avg_temp	667
bac_prod	1959
bac_resp	1524
bacteria_carb_prod	5874
bacterial_density	113
barometric_press	1555
basin_name	275
benzene	115
beta_lactamase_family	969
bio_material	76281
biochem_oxygen_dem	880
biocide_used	3760
biol_stat	9245
biomass	17291
biomaterial_provider	1757828
biospecimen_repository	8632599
biospecimen_repository_sample_id	8632569
biotic_regm	8041
biotic_relationship	57742
biovar	4278
birth_control	5132
birth_date	92173
birth_location	93246
bishomohopanol	4954
blood_blood_disord	1235
blood_press_diast	146
blood_press_syst	146
body_habitat	88174
body_mass_index	110276
body_product	321118
breed	942833
breeding_history	41564
breeding_method	50780
bromide	8222
build_occup_type	19521
building_setting	22471
built_struc_age	252
built_struc_set	66
calcium	18236
carb_dioxide	18287
carb_nitro_ratio	6954
carbapenemase	1043
ceil_struc	16
ceil_texture	16
cell_line	1294243
cell_subtype	108908
cell_type	2301863
chem_administration	108743
chem_mutagen	1782
chem_oxygen_dem	2139
chem_treatment	572
child_of	226
chloride	18335
chlorophyll	25899
climate_environment	11130
clone	12997
clone_lib	74
coll_site_geo_feat	22552
collected_by	7153359
collection_date	25671033
collection_device	2136186
collection_method	2248226
component_organism	10697
compound	56389
conduc	19534
cons_food_stor_dur	205
cons_food_stor_temp	203
cons_purch_date	181
cons_qty_purchased	37
cool_syst_id	86
crop_rotation	23591
crop_yield	98
cult_isol_date	3707
cult_result	2355
cult_result_org	994
cult_root_med	939
cult_target	1173
cultivar	1662023
culture_collection	191950
cur_land_use	28621
cur_vegetation	37523
cur_vegetation_meth	10981
date_of_prior_antiviral_treat	12479
date_of_prior_sars_cov_2_infection	12210
date_of_sars_cov_2_vaccination	25999
death_date	42515
density	18399
depth	1214942
derived_from	442732
dermatology_disord	4641
description	419126
dev_stage	2824682
dew_point	578
diet	114333
diet_last_six_month	2440
dietary_claim_use	15
diether_lipids	6971
disease	857963
disease_stage	158553
diss_carb_dioxide	16653
diss_hydrogen	7182
diss_inorg_carb	14185
diss_inorg_nitro	3071
diss_inorg_phosp	3362
diss_org_carb	18747
diss_org_nitro	7735
diss_oxygen	34266
dominant_hand	41140
dose	32433
douche	3301
down_par	2348
drainage_class	12771
drug_usage	6121
dry_mass	1355
ecotype	1489532
edta_inhibitor_tested	967
efficiency_percent	711
elev	935411
emulsions	367
encoded_traits	3906
enrichment_protocol	588
env_broad_scale	5391553
env_local_scale	4651126
env_medium	5231778
env_monitoring_zone	4500
env_package	339816
estimated_size	168360
ethnicity	249749
ethylbenzene	115
experimental_factor	53281
exposure_event	12623
extr_weather_event	2748
extrachrom_elements	6105
extreme_event	14317
extreme_salinity	9612
facility_type	6484
family_id	48985
family_relationship	35925
fao_class	15865
farm_equip	2842
farm_equip_san	93
farm_equip_shared	95
farm_water_source	2929
ferm_chem_add	326
ferm_chem_add_perc	193
ferm_headspace_oxy	243
ferm_medium	382
ferm_ph	171
ferm_rel_humidity	12
ferm_temp	230
ferm_time	1711
ferm_vessel	121
fertilizer_admin	3436
fertilizer_date	204
fertilizer_regm	11932
field	11579
filter_type	18411
fire	14292
flooding	10258
floor_area	510
floor_struc	510
fluor	9273
foetal_health_stat	1279
food_additive	2854
food_allergen_label	14
food_clean_proc	2742
food_contact_surf	5735
food_contain_wrap	3179
food_cooking_proc	25
food_dis_point	21
food_dis_point_city	8
food_harvest_proc	96
food_industry_class	2839
food_industry_code	2896
food_ingredient	149
food_name_status	14
food_origin	189694
food_pack_capacity	20
food_pack_integrity	2789
food_pack_medium	2779
food_preserv_proc	3586
food_prior_contact	20
food_processing_method	3893
food_prod	2748
food_prod_char	10940
food_prod_synonym	2779
food_product_qual	2974
food_product_type	24905
food_quality_date	3684
food_source	21060
food_source_age	6
food_trace_list	20
food_trav_mode	115
food_trav_vehic	113
food_treat_proc	107
food_type_processed	5082
forma	2062
forma_specialis	3602
freq_clean	2
fungicide_regm	5545
furniture	63
gap_accession	8632551
gap_consent_code	6662242
gap_consent_short_name	6530233
gap_sample_id	8632521
gap_subject_id	8632521
gaseous_environment	2448
gaseous_substances	574
gastrointest_disord	39969
gender_restroom	106
genetic_mod	33194
genotype	1935914
geo_loc_exposure	13324
geo_loc_name	26938482
gestation_state	6589
gisaid_accession	603260
gisaid_virus_name	984695
glucosidase_act	4961
gravidity	7917
gravity	1667
growth_facil	30338
growth_habit	819
growth_hormone_regm	1729
growth_med	9292
growth_medium	3192
growth_protocol	115349
gynecologic_disord	3215
haccp_term	20
haplotype	1558
hc_produced	270
hcr	270
hcr_temp	82
health_state	137478
heat_cool_type	18160
heavy_metals	9716
heavy_metals_meth	9165
height_or_length	55766
herbicide_regm	3104
histological_type	2976644
hiv_stat	6260
horizon_meth	9156
host	17290829
host_age	3414766
host_am	2861
host_anatomical_material	14268
host_anatomical_part	67328
host_animal_breed	3232
host_blood_press_diast	3832
host_blood_press_syst	3434
host_body_habitat	186808
host_body_mass_index	147509
host_body_product	298451
host_body_temp	27483
host_cellular_loc	98
host_color	13026
host_common_name	4695924
host_dependence	3708
host_description	444833
host_diet	128198
host_disease	5799124
host_disease_outcome	137087
host_disease_stage	31036
host_dry_mass	7274
host_family_relationship	33437
host_genotype	153241
host_group_size	3195
host_growth_cond	10780
host_health_state	4681733
host_height	134959
host_hiv_stat	7266
host_housing	4812
host_infra_specific_name	20967
host_infra_specific_rank	15462
host_last_meal	26823
host_length	28423
host_life_stage	178206
host_number	2275
host_occupation	24566
host_of_host_name	54
host_of_host_sub_id	33
host_phenotype	76496
host_pulse	19018
host_recent_travel_loc	26458
host_recent_travel_return_date	11996
host_sex	7503311
host_shape	5850
host_specificity	9
host_specimen_voucher	30785
host_subject_id	5487236
host_subspecf_genlin	4131
host_substrate	9064
host_symbiont	4297
host_taxid	417176
host_tissue_sampled	448327
host_tot_mass	63779
host_variety	3359
host_wet_mass	1915
hrt	1699
humidity	1342
humidity_regm	2750
hygienic_area	2
hysterectomy	1760
identified_by	304812
ifsac_category	140633
ihmc_medication_code	16753
image_file	1178
indoor_space	20558
indoor_surf	7250
indoor_surf_subpart	3676
indust_eff_percent	467
infra_specific_name	39298
infra_specific_rank	211
inorg_particles	461
intended_consumer	19498
investigation_type	1410391
is_tumor	4422626
isol_growth_condt	816935
isolate	14368481
isolate_name_alias	600667
isolation_source	12750342
iwf	188
karyotype	24303
kidney_disord	1532
lab_host	96002
label	103247
label_claims	3388
last_clean	510
last_meal	1085
lat_lon	9930908
life_stage	192495
light_intensity	3620
light_regm	2974
light_type	18463
link_addit_analys	9814
link_class_info	8675
link_climate_info	11266
lithology	77
liver_disord	15879
local_class	16662
local_class_meth	13750
location_in_facility	3828
lot_number	2303
magnesium	15922
material_condition	3605
maternal_health_stat	1852
mating_type	56360
mean_frict_vel	4996
mean_peak_frict_vel	5090
mechanical_damage	5267
medic_hist_perform	22077
menarche	1928
menopause	2745
metagenome_source	508092
methane	10685
microb_cult_med	1498
microb_start	12
microb_start_count	12
microb_start_inoc	12
microb_start_prep	12
microb_start_source	12
microb_start_taxid	326
microbial_biomass	28033
microbial_biomass_meth	27718
mineral_nutr_regm	3426
misc_param	124815
mode_transmission	370
molecular_data_type	2462466
morphology	3561
n_alkanes	5056
narms_isolate_number	3746
neg_cont_type	33079
nitrate	41128
nitrite	26980
nitro	15999
non_mineral_nutr_regm	1768
nose_mouth_teeth_throat_disord	2297
nose_throat_disord	1399
num_replicons	327830
num_samp_collect	14
number_pets	490
occup_document	66
